Year,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,,,,Ausgestellte Dokumente für die Ein- und Ausfuhr von geschützten Arten,2.4
2011,,,,Ausgestellte Dokumente für die Ein- und Ausfuhr von geschützten Arten,2.35
2012,,,,Ausgestellte Dokumente für die Ein- und Ausfuhr von geschützten Arten,2.51
2013,,,,Ausgestellte Dokumente für die Ein- und Ausfuhr von geschützten Arten,2.74
2014,,,,Ausgestellte Dokumente für die Ein- und Ausfuhr von geschützten Arten,2.87
2015,,,,Ausgestellte Dokumente für die Ein- und Ausfuhr von geschützten Arten,2.69
2016,,,,Ausgestellte Dokumente für die Ein- und Ausfuhr von geschützten Arten,2.87
2017,,,,Ausgestellte Dokumente für die Ein- und Ausfuhr von geschützten Arten,2.85
2018,,,,Ausgestellte Dokumente für die Ein- und Ausfuhr von geschützten Arten,2.84
2019,,,,Ausgestellte Dokumente für die Ein- und Ausfuhr von geschützten Arten,2.53
2020,,,,Ausgestellte Dokumente für die Ein- und Ausfuhr von geschützten Arten,2.37
2021,,,,Ausgestellte Dokumente für die Ein- und Ausfuhr von geschützten Arten,2.58
2022,,,,Ausgestellte Dokumente für die Ein- und Ausfuhr von geschützten Arten,2.3
2023,,,,Ausgestellte Dokumente für die Ein- und Ausfuhr von geschützten Arten,2.54
2024,,,,Ausgestellte Dokumente für die Ein- und Ausfuhr von geschützten Arten,2.4
2020,.,,,Beschlagnahmen durch Zollbehörden im Rahmen des Artenschutzes,
2021,,,,Beschlagnahmen durch Zollbehörden im Rahmen des Artenschutzes,100.0
2022,.,,,Beschlagnahmen durch Zollbehörden im Rahmen des Artenschutzes,
2010,,,,Genehmigte Ein- und Ausfuhren geschützter Arten,30.9
2011,,,,Genehmigte Ein- und Ausfuhren geschützter Arten,31.2
2012,,,,Genehmigte Ein- und Ausfuhren geschützter Arten,31.2
2013,,,,Genehmigte Ein- und Ausfuhren geschützter Arten,31.3
2014,,,,Genehmigte Ein- und Ausfuhren geschützter Arten,31.3
2015,,,,Genehmigte Ein- und Ausfuhren geschützter Arten,31.4
2016,|,,,Genehmigte Ein- und Ausfuhren geschützter Arten,31.4
2017,,,,Genehmigte Ein- und Ausfuhren geschützter Arten,31.6
2018,,,,Genehmigte Ein- und Ausfuhren geschützter Arten,31.7
2019,,,,Genehmigte Ein- und Ausfuhren geschützter Arten,31.7
2020,,,,Genehmigte Ein- und Ausfuhren geschützter Arten,31.8
2021,,,,Genehmigte Ein- und Ausfuhren geschützter Arten,31.8
2022,,,,Genehmigte Ein- und Ausfuhren geschützter Arten,31.9
2023,,,,Genehmigte Ein- und Ausfuhren geschützter Arten,31.9
