Year,Units,Zeitreihe,Value
2010,Millionen Tonnen,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC),1292.0
2011,Millionen Tonnen,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC),1377.0
2012,Millionen Tonnen,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC),1258.0
2013,Millionen Tonnen,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC),1274.0
2014,Millionen Tonnen,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC),1303.0
2010,Tonnen pro Kopf,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC),15.8
2011,Tonnen pro Kopf,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC),17.1
2012,Tonnen pro Kopf,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC),15.6
2013,Tonnen pro Kopf,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC),15.8
2014,Tonnen pro Kopf,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC),16.0
2010,2010 = 100,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC) zum realen BIP,100.0
2011,2010 = 100,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC) zum realen BIP,102.8
2012,2010 = 100,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC) zum realen BIP,93.5
2013,2010 = 100,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC) zum realen BIP,94.2
2014,2010 = 100,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC) zum realen BIP,94.3
