Year,Altersklasse,Geschlecht,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,,,.,,,
2011,,,.,,,
2012,,,.,,,
2013,,,.,,,
2014,,,.,,,
2015,,,.,,,
2016,,,.,,,
2017,,,.,,,
2018,,,.,,,
2019,,,.,,,
2020,,,.,,,
2021,,,,,,100.0
2022,,,,,,100.0
2023,,,,,,100.0
2024,,,,,,100.0
2010,17 Jahre und jünger,,.,,,
2011,17 Jahre und jünger,,.,,,
2012,17 Jahre und jünger,,.,,,
2013,17 Jahre und jünger,,.,,,
2014,17 Jahre und jünger,,.,,,
2015,17 Jahre und jünger,,.,,,
2016,17 Jahre und jünger,,.,,,
2017,17 Jahre und jünger,,.,,,
2018,17 Jahre und jünger,,.,,,
2019,17 Jahre und jünger,,.,,,
2020,17 Jahre und jünger,,.,,,
2021,17 Jahre und jünger,,,,,99.8
2022,17 Jahre und jünger,,,,,99.8
2023,17 Jahre und jünger,,,,,99.9
2024,17 Jahre und jünger,,,,,99.9
2010,18 bis unter 65 Jahre,,.,,,
2011,18 bis unter 65 Jahre,,.,,,
2012,18 bis unter 65 Jahre,,.,,,
2013,18 bis unter 65 Jahre,,.,,,
2014,18 bis unter 65 Jahre,,.,,,
2015,18 bis unter 65 Jahre,,.,,,
2016,18 bis unter 65 Jahre,,.,,,
2017,18 bis unter 65 Jahre,,.,,,
2018,18 bis unter 65 Jahre,,.,,,
2019,18 bis unter 65 Jahre,,.,,,
2020,18 bis unter 65 Jahre,,.,,,
2021,18 bis unter 65 Jahre,,,,,100.0
2022,18 bis unter 65 Jahre,,,,,100.0
2023,18 bis unter 65 Jahre,,,,,100.0
2024,18 bis unter 65 Jahre,,,,,100.0
2010,65 Jahre und älter,,.,,,
2011,65 Jahre und älter,,.,,,
2012,65 Jahre und älter,,.,,,
2013,65 Jahre und älter,,.,,,
2014,65 Jahre und älter,,.,,,
2015,65 Jahre und älter,,.,,,
2016,65 Jahre und älter,,.,,,
2017,65 Jahre und älter,,.,,,
2018,65 Jahre und älter,,.,,,
2019,65 Jahre und älter,,.,,,
2020,65 Jahre und älter,,.,,,
2021,65 Jahre und älter,,,,,100.0
2022,65 Jahre und älter,,,,,100.0
2023,65 Jahre und älter,,,,,100.0
2024,65 Jahre und älter,,,,,100.0
2010,,Weiblich,.,,,
2011,,Weiblich,.,,,
2012,,Weiblich,.,,,
2013,,Weiblich,.,,,
2014,,Weiblich,.,,,
2015,,Weiblich,.,,,
2016,,Weiblich,.,,,
2017,,Weiblich,.,,,
2018,,Weiblich,.,,,
2019,,Weiblich,.,,,
2020,,Weiblich,.,,,
2021,,Weiblich,,,,99.7
2022,,Weiblich,,,,99.8
2023,,Weiblich,,,,99.9
2024,,Weiblich,,,,99.9
2010,,Männlich,.,,,
2011,,Männlich,.,,,
2012,,Männlich,.,,,
2013,,Männlich,.,,,
2014,,Männlich,.,,,
2015,,Männlich,.,,,
2016,,Männlich,.,,,
2017,,Männlich,.,,,
2018,,Männlich,.,,,
2019,,Männlich,.,,,
2020,,Männlich,.,,,
2021,,Männlich,,,,99.8
2022,,Männlich,,,,99.9
2023,,Männlich,,,,99.9
2024,,Männlich,,,,99.9
