Year,Units,Zeitreihe,Aufgabenbereiche,Gerichtsebene,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Prozent,Bevölkerung im erwerbsfähigen Alter,,,.,,,
2011,Prozent,Bevölkerung im erwerbsfähigen Alter,,,.,,,
2012,Prozent,Bevölkerung im erwerbsfähigen Alter,,,.,,,
2013,Prozent,Bevölkerung im erwerbsfähigen Alter,,,.,,,
2014,Prozent,Bevölkerung im erwerbsfähigen Alter,,,.,,,
2015,Prozent,Bevölkerung im erwerbsfähigen Alter,,,.,,,
2016,Prozent,Bevölkerung im erwerbsfähigen Alter,,,.,,,
2017,Prozent,Bevölkerung im erwerbsfähigen Alter,,,.,,,
2018,Prozent,Bevölkerung im erwerbsfähigen Alter,,,.,,,
2019,Prozent,Bevölkerung im erwerbsfähigen Alter,,,.,,,
2020,Prozent,Bevölkerung im erwerbsfähigen Alter,,,,,,1.1
2021,Prozent,Bevölkerung im erwerbsfähigen Alter,,,…,,,
2022,Prozent,Bevölkerung im erwerbsfähigen Alter,,,…,,,
2023,Prozent,Bevölkerung im erwerbsfähigen Alter,,,…,,,
2024,Prozent,Bevölkerung im erwerbsfähigen Alter,,,…,,,
2010,Prozent,Deutscher Bundestag,,,.,,,
2011,Prozent,Deutscher Bundestag,,,.,,,
2012,Prozent,Deutscher Bundestag,,,.,,,
2013,Prozent,Deutscher Bundestag,,,.,,,
2014,Prozent,Deutscher Bundestag,,,.,,,
2015,Prozent,Deutscher Bundestag,,,.,,,
2016,Prozent,Deutscher Bundestag,,,.,,,
2017,Prozent,Deutscher Bundestag,,,.,,,
2018,Prozent,Deutscher Bundestag,,,.,,,
2019,Prozent,Deutscher Bundestag,,,.,,,
2020,Prozent,Deutscher Bundestag,,,,,,4.6
2021,Prozent,Deutscher Bundestag,,,…,,,
2022,Prozent,Deutscher Bundestag,,,…,,,
2023,Prozent,Deutscher Bundestag,,,…,,,
2024,Prozent,Deutscher Bundestag,,,…,,,
2010,Prozent,Bundesrat,,,.,,,
2011,Prozent,Bundesrat,,,.,,,
2012,Prozent,Bundesrat,,,.,,,
2013,Prozent,Bundesrat,,,.,,,
2014,Prozent,Bundesrat,,,.,,,
2015,Prozent,Bundesrat,,,.,,,
2016,Prozent,Bundesrat,,,.,,,
2017,Prozent,Bundesrat,,,.,,,
2018,Prozent,Bundesrat,,,.,,,
2019,Prozent,Bundesrat,,,.,,,
2020,Prozent,Bundesrat,,,,,,2.1
2021,Prozent,Bundesrat,,,…,,,
2022,Prozent,Bundesrat,,,…,,,
2023,Prozent,Bundesrat,,,…,,,
2024,Prozent,Bundesrat,,,…,,,
2010,Prozent,Öffentlicher Dienst,,,.,,,
2011,Prozent,Öffentlicher Dienst,,,.,,,
2012,Prozent,Öffentlicher Dienst,,,.,,,
2013,Prozent,Öffentlicher Dienst,,,.,,,
2014,Prozent,Öffentlicher Dienst,,,.,,,
2015,Prozent,Öffentlicher Dienst,,,.,,,
2016,Prozent,Öffentlicher Dienst,,,.,,,
2017,Prozent,Öffentlicher Dienst,,,.,,,
2018,Prozent,Öffentlicher Dienst,,,.,,,
2019,Prozent,Öffentlicher Dienst,,,.,,,
2020,Prozent,Öffentlicher Dienst,,,,,,0.3
2021,Prozent,Öffentlicher Dienst,,,…,,,
2022,Prozent,Öffentlicher Dienst,,,…,,,
2023,Prozent,Öffentlicher Dienst,,,…,,,
2024,Prozent,Öffentlicher Dienst,,,…,,,
2010,Prozent,Öffentlicher Dienst,"Politische Führung und zentrale Verwaltung, Auswärtige Angelegenheiten",,.,,,
2011,Prozent,Öffentlicher Dienst,"Politische Führung und zentrale Verwaltung, Auswärtige Angelegenheiten",,.,,,
2012,Prozent,Öffentlicher Dienst,"Politische Führung und zentrale Verwaltung, Auswärtige Angelegenheiten",,.,,,
2013,Prozent,Öffentlicher Dienst,"Politische Führung und zentrale Verwaltung, Auswärtige Angelegenheiten",,.,,,
2014,Prozent,Öffentlicher Dienst,"Politische Führung und zentrale Verwaltung, Auswärtige Angelegenheiten",,.,,,
2015,Prozent,Öffentlicher Dienst,"Politische Führung und zentrale Verwaltung, Auswärtige Angelegenheiten",,.,,,
2016,Prozent,Öffentlicher Dienst,"Politische Führung und zentrale Verwaltung, Auswärtige Angelegenheiten",,.,,,
2017,Prozent,Öffentlicher Dienst,"Politische Führung und zentrale Verwaltung, Auswärtige Angelegenheiten",,.,,,
2018,Prozent,Öffentlicher Dienst,"Politische Führung und zentrale Verwaltung, Auswärtige Angelegenheiten",,.,,,
2019,Prozent,Öffentlicher Dienst,"Politische Führung und zentrale Verwaltung, Auswärtige Angelegenheiten",,.,,,
2020,Prozent,Öffentlicher Dienst,"Politische Führung und zentrale Verwaltung, Auswärtige Angelegenheiten",,.,,,
2021,Prozent,Öffentlicher Dienst,"Politische Führung und zentrale Verwaltung, Auswärtige Angelegenheiten",,…,,,
2022,Prozent,Öffentlicher Dienst,"Politische Führung und zentrale Verwaltung, Auswärtige Angelegenheiten",,…,,,
2023,Prozent,Öffentlicher Dienst,"Politische Führung und zentrale Verwaltung, Auswärtige Angelegenheiten",,…,,,
2024,Prozent,Öffentlicher Dienst,"Politische Führung und zentrale Verwaltung, Auswärtige Angelegenheiten",,…,,,
2010,Prozent,Öffentlicher Dienst,Polizei,,.,,,
2011,Prozent,Öffentlicher Dienst,Polizei,,.,,,
2012,Prozent,Öffentlicher Dienst,Polizei,,.,,,
2013,Prozent,Öffentlicher Dienst,Polizei,,.,,,
2014,Prozent,Öffentlicher Dienst,Polizei,,.,,,
2015,Prozent,Öffentlicher Dienst,Polizei,,.,,,
2016,Prozent,Öffentlicher Dienst,Polizei,,.,,,
2017,Prozent,Öffentlicher Dienst,Polizei,,.,,,
2018,Prozent,Öffentlicher Dienst,Polizei,,.,,,
2019,Prozent,Öffentlicher Dienst,Polizei,,.,,,
2020,Prozent,Öffentlicher Dienst,Polizei,,.,,,
2021,Prozent,Öffentlicher Dienst,Polizei,,…,,,
2022,Prozent,Öffentlicher Dienst,Polizei,,…,,,
2023,Prozent,Öffentlicher Dienst,Polizei,,…,,,
2024,Prozent,Öffentlicher Dienst,Polizei,,…,,,
2010,Prozent,Öffentlicher Dienst,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",,.,,,
