Year,Units,Zeitreihe,Value
2010,1 000,"Haushalte und Kleinbetriebe, die an das Elektrizitätsnetzwerk angebunden sind",44391.0
2011,1 000,"Haushalte und Kleinbetriebe, die an das Elektrizitätsnetzwerk angebunden sind",44767.0
2012,1 000,"Haushalte und Kleinbetriebe, die an das Elektrizitätsnetzwerk angebunden sind",45723.0
2013,1 000,"Haushalte und Kleinbetriebe, die an das Elektrizitätsnetzwerk angebunden sind",46105.0
2014,1 000,"Haushalte und Kleinbetriebe, die an das Elektrizitätsnetzwerk angebunden sind",46919.0
2015,1 000,"Haushalte und Kleinbetriebe, die an das Elektrizitätsnetzwerk angebunden sind",47283.0
2016,1 000,"Haushalte und Kleinbetriebe, die an das Elektrizitätsnetzwerk angebunden sind",47607.0
2017,1 000,"Haushalte und Kleinbetriebe, die an das Elektrizitätsnetzwerk angebunden sind",47242.0
2010,Prozent (%),Bevölkerung mit Zugang zu Elektrizität,100.0
2011,Prozent (%),Bevölkerung mit Zugang zu Elektrizität,100.0
2012,Prozent (%),Bevölkerung mit Zugang zu Elektrizität,100.0
2013,Prozent (%),Bevölkerung mit Zugang zu Elektrizität,100.0
2014,Prozent (%),Bevölkerung mit Zugang zu Elektrizität,100.0
2015,Prozent (%),Bevölkerung mit Zugang zu Elektrizität,100.0
2016,Prozent (%),Bevölkerung mit Zugang zu Elektrizität,100.0
2017,Prozent (%),Bevölkerung mit Zugang zu Elektrizität,100.0
