Year,Zeitreihe,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Steuern,.,,,
2011,Steuern,.,,,
2012,Steuern,,,,101.1
2013,Steuern,,,,99.5
2014,Steuern,,,,91.7
2015,Steuern,,,,91.3
2016,Steuern,,,,97.0
2017,Steuern,,,,87.9
2018,Steuern,,,,83.0
2019,Steuern,,,,84.4
2020,Steuern,,,,69.2
2021,Steuern,,,,76.4
2022,Steuern,,,,74.0
2023,Steuern,,,,90.8
2024,Steuern,,,,101.1
2010,Steuern und Sozialversicherungsausgaben,.,,,
2011,Steuern und Sozialversicherungsausgaben,.,,,
2012,Steuern und Sozialversicherungsausgaben,.,,,
2013,Steuern und Sozialversicherungsausgaben,.,,,
2014,Steuern und Sozialversicherungsausgaben,.,,,
2015,Steuern und Sozialversicherungsausgaben,,,,93.1
2016,Steuern und Sozialversicherungsausgaben,.,,,
2017,Steuern und Sozialversicherungsausgaben,,,,94.7
2018,Steuern und Sozialversicherungsausgaben,.,,,
2019,Steuern und Sozialversicherungsausgaben,,,,97.0
2020,Steuern und Sozialversicherungsausgaben,.,,,
2021,Steuern und Sozialversicherungsausgaben,,,,96.9
2022,Steuern und Sozialversicherungsausgaben,.,,,
2023,Steuern und Sozialversicherungsausgaben,,,,95.7
2024,Steuern und Sozialversicherungsausgaben,…,,,
