Year,Zeitreihe,Geschlecht,Value
2010,Erwerbstätige im Verarbeitenden Gewerbe (Daten der Volkswirtschaftlichen Gesamtrechnungen),,17.39
2011,Erwerbstätige im Verarbeitenden Gewerbe (Daten der Volkswirtschaftlichen Gesamtrechnungen),,17.54
2012,Erwerbstätige im Verarbeitenden Gewerbe (Daten der Volkswirtschaftlichen Gesamtrechnungen),,17.64
2013,Erwerbstätige im Verarbeitenden Gewerbe (Daten der Volkswirtschaftlichen Gesamtrechnungen),,17.56
2014,Erwerbstätige im Verarbeitenden Gewerbe (Daten der Volkswirtschaftlichen Gesamtrechnungen),,17.51
2015,Erwerbstätige im Verarbeitenden Gewerbe (Daten der Volkswirtschaftlichen Gesamtrechnungen),,17.41
2016,Erwerbstätige im Verarbeitenden Gewerbe (Daten der Volkswirtschaftlichen Gesamtrechnungen),,17.25
2017,Erwerbstätige im Verarbeitenden Gewerbe (Daten der Volkswirtschaftlichen Gesamtrechnungen),,17.16
2018,Erwerbstätige im Verarbeitenden Gewerbe (Daten der Volkswirtschaftlichen Gesamtrechnungen),,17.21
2019,Erwerbstätige im Verarbeitenden Gewerbe (Daten der Volkswirtschaftlichen Gesamtrechnungen),,17.15
2020,Erwerbstätige im Verarbeitenden Gewerbe (Daten der Volkswirtschaftlichen Gesamtrechnungen),,16.86
2021,Erwerbstätige im Verarbeitenden Gewerbe (Daten der Volkswirtschaftlichen Gesamtrechnungen),,16.61
2022,Erwerbstätige im Verarbeitenden Gewerbe (Daten der Volkswirtschaftlichen Gesamtrechnungen),,16.45
2010,Beschäftigte im Verarbeitenden Gewerbe (Daten der Arbeitskräfteerhebung),,19.95
2011,Beschäftigte im Verarbeitenden Gewerbe (Daten der Arbeitskräfteerhebung),,19.84
2012,Beschäftigte im Verarbeitenden Gewerbe (Daten der Arbeitskräfteerhebung),,19.73
2013,Beschäftigte im Verarbeitenden Gewerbe (Daten der Arbeitskräfteerhebung),,19.35
2014,Beschäftigte im Verarbeitenden Gewerbe (Daten der Arbeitskräfteerhebung),,19.58
2015,Beschäftigte im Verarbeitenden Gewerbe (Daten der Arbeitskräfteerhebung),,19.3
2016,Beschäftigte im Verarbeitenden Gewerbe (Daten der Arbeitskräfteerhebung),,19.15
2017,Beschäftigte im Verarbeitenden Gewerbe (Daten der Arbeitskräfteerhebung),,19.04
2018,Beschäftigte im Verarbeitenden Gewerbe (Daten der Arbeitskräfteerhebung),,19.07
2019,Beschäftigte im Verarbeitenden Gewerbe (Daten der Arbeitskräfteerhebung),,18.9
2020,Beschäftigte im Verarbeitenden Gewerbe (Daten der Arbeitskräfteerhebung),,19.92
2021,Beschäftigte im Verarbeitenden Gewerbe (Daten der Arbeitskräfteerhebung),,19.93
2022,Beschäftigte im Verarbeitenden Gewerbe (Daten der Arbeitskräfteerhebung),,
2010,Beschäftigte im Verarbeitenden Gewerbe (Daten der Arbeitskräfteerhebung),Weiblich,11.69
2011,Beschäftigte im Verarbeitenden Gewerbe (Daten der Arbeitskräfteerhebung),Weiblich,11.64
2012,Beschäftigte im Verarbeitenden Gewerbe (Daten der Arbeitskräfteerhebung),Weiblich,11.59
2013,Beschäftigte im Verarbeitenden Gewerbe (Daten der Arbeitskräfteerhebung),Weiblich,11.41
2014,Beschäftigte im Verarbeitenden Gewerbe (Daten der Arbeitskräfteerhebung),Weiblich,11.51
2015,Beschäftigte im Verarbeitenden Gewerbe (Daten der Arbeitskräfteerhebung),Weiblich,11.24
2016,Beschäftigte im Verarbeitenden Gewerbe (Daten der Arbeitskräfteerhebung),Weiblich,11.16
2017,Beschäftigte im Verarbeitenden Gewerbe (Daten der Arbeitskräfteerhebung),Weiblich,11.09
2018,Beschäftigte im Verarbeitenden Gewerbe (Daten der Arbeitskräfteerhebung),Weiblich,11.23
2019,Beschäftigte im Verarbeitenden Gewerbe (Daten der Arbeitskräfteerhebung),Weiblich,11.02
2020,Beschäftigte im Verarbeitenden Gewerbe (Daten der Arbeitskräfteerhebung),Weiblich,11.17
2021,Beschäftigte im Verarbeitenden Gewerbe (Daten der Arbeitskräfteerhebung),Weiblich,11.36
2022,Beschäftigte im Verarbeitenden Gewerbe (Daten der Arbeitskräfteerhebung),Weiblich,
2010,Beschäftigte im Verarbeitenden Gewerbe (Daten der Arbeitskräfteerhebung),Männlich,27.06
2011,Beschäftigte im Verarbeitenden Gewerbe (Daten der Arbeitskräfteerhebung),Männlich,26.92
2012,Beschäftigte im Verarbeitenden Gewerbe (Daten der Arbeitskräfteerhebung),Männlich,26.73
2013,Beschäftigte im Verarbeitenden Gewerbe (Daten der Arbeitskräfteerhebung),Männlich,26.25
2014,Beschäftigte im Verarbeitenden Gewerbe (Daten der Arbeitskräfteerhebung),Männlich,26.62
2015,Beschäftigte im Verarbeitenden Gewerbe (Daten der Arbeitskräfteerhebung),Männlich,26.35
2016,Beschäftigte im Verarbeitenden Gewerbe (Daten der Arbeitskräfteerhebung),Männlich,26.11
2017,Beschäftigte im Verarbeitenden Gewerbe (Daten der Arbeitskräfteerhebung),Männlich,25.94
2018,Beschäftigte im Verarbeitenden Gewerbe (Daten der Arbeitskräfteerhebung),Männlich,25.91
2019,Beschäftigte im Verarbeitenden Gewerbe (Daten der Arbeitskräfteerhebung),Männlich,25.79
2020,Beschäftigte im Verarbeitenden Gewerbe (Daten der Arbeitskräfteerhebung),Männlich,27.62
2021,Beschäftigte im Verarbeitenden Gewerbe (Daten der Arbeitskräfteerhebung),Männlich,27.46
2022,Beschäftigte im Verarbeitenden Gewerbe (Daten der Arbeitskräfteerhebung),Männlich,
