Year,Series,Value
2010,a) Nationale Strategien zur Bekämpfung oder Kontrolle IAS,1.0
2011,a) Nationale Strategien zur Bekämpfung oder Kontrolle IAS,1.0
2012,a) Nationale Strategien zur Bekämpfung oder Kontrolle IAS,1.0
2013,a) Nationale Strategien zur Bekämpfung oder Kontrolle IAS,1.0
2014,a) Nationale Strategien zur Bekämpfung oder Kontrolle IAS,1.0
2015,a) Nationale Strategien zur Bekämpfung oder Kontrolle IAS,1.0
2016,a) Nationale Strategien zur Bekämpfung oder Kontrolle IAS,1.0
2017,a) Nationale Strategien zur Bekämpfung oder Kontrolle IAS,1.0
2018,a) Nationale Strategien zur Bekämpfung oder Kontrolle IAS,1.0
2019,a) Nationale Strategien zur Bekämpfung oder Kontrolle IAS,1.0
2020,a) Nationale Strategien zur Bekämpfung oder Kontrolle IAS,1.0
2021,a) Nationale Strategien zur Bekämpfung oder Kontrolle IAS,1.0
2022,a) Nationale Strategien zur Bekämpfung oder Kontrolle IAS,1.0
2023,a) Nationale Strategien zur Bekämpfung oder Kontrolle IAS,1.0
2010,b) Angleichung der Ziele des NBSAP an das Aichi-Ziel 9 des NSB,1.0
2011,b) Angleichung der Ziele des NBSAP an das Aichi-Ziel 9 des NSB,1.0
2012,b) Angleichung der Ziele des NBSAP an das Aichi-Ziel 9 des NSB,1.0
2013,b) Angleichung der Ziele des NBSAP an das Aichi-Ziel 9 des NSB,1.0
2014,b) Angleichung der Ziele des NBSAP an das Aichi-Ziel 9 des NSB,1.0
2015,b) Angleichung der Ziele des NBSAP an das Aichi-Ziel 9 des NSB,1.0
2016,b) Angleichung der Ziele des NBSAP an das Aichi-Ziel 9 des NSB,1.0
2017,b) Angleichung der Ziele des NBSAP an das Aichi-Ziel 9 des NSB,1.0
2018,b) Angleichung der Ziele des NBSAP an das Aichi-Ziel 9 des NSB,1.0
2019,b) Angleichung der Ziele des NBSAP an das Aichi-Ziel 9 des NSB,1.0
2020,b) Angleichung der Ziele des NBSAP an das Aichi-Ziel 9 des NSB,1.0
2021,b) Angleichung der Ziele des NBSAP an das Aichi-Ziel 9 des NSB,1.0
2022,b) Angleichung der Ziele des NBSAP an das Aichi-Ziel 9 des NSB,1.0
2023,b) Angleichung der Ziele des NBSAP an das Aichi-Ziel 9 des NSB,1.0
2021,b) Angleichung der Ziele des NBSAP an das Aichi-Ziel 9 des NSB,
2022,b) Angleichung der Ziele des NBSAP an das Aichi-Ziel 9 des NSB,1.0
2023,b) Angleichung der Ziele des NBSAP an das Aichi-Ziel 9 des NSB,
