Year,Geschlecht,COMMENT_OBS,Value
2010,,vorläufig,15.6
2011,,vorläufig,15.8
2012,,vorläufig,16.1
2013,,vorläufig,16.1
2014,,vorläufig,16.7
2015,,vorläufig,16.7
2016,,vorläufig,16.5
2017,,vorläufig,16.1
2018,,vorläufig,16.0
2019,,vorläufig,14.8
2020,,vorläufig,16.1
2021,,vorläufig,16.0
2022,,vorläufig,14.8
2023,,vorläufig,14.3
2010,Weiblich,vorläufig,16.4
2011,Weiblich,vorläufig,16.8
2012,Weiblich,vorläufig,17.2
2013,Weiblich,vorläufig,17.2
2014,Weiblich,vorläufig,17.4
2015,Weiblich,vorläufig,17.4
2016,Weiblich,vorläufig,17.8
2017,Weiblich,vorläufig,17.1
2018,Weiblich,vorläufig,16.8
2019,Weiblich,vorläufig,15.7
2020,Weiblich,vorläufig,16.8
2021,Weiblich,vorläufig,16.6
2022,Weiblich,vorläufig,15.5
2023,Weiblich,vorläufig,15.0
2010,Männlich,vorläufig,14.9
2011,Männlich,vorläufig,14.9
2012,Männlich,vorläufig,14.9
2013,Männlich,vorläufig,15.0
2014,Männlich,vorläufig,15.9
2015,Männlich,vorläufig,15.9
2016,Männlich,vorläufig,15.2
2017,Männlich,vorläufig,15.0
2018,Männlich,vorläufig,15.2
2019,Männlich,vorläufig,13.9
2020,Männlich,vorläufig,15.3
2021,Männlich,vorläufig,15.4
2022,Männlich,vorläufig,14.0
2023,Männlich,vorläufig,13.6
