Year,Units,Altersklasse,Geschlecht,Form der Ausbeutung,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2019,Je 100 000 Einwohner/-innen,,,,.,,,
2020,Je 100 000 Einwohner/-innen,,,,,,,71.0
2021,Je 100 000 Einwohner/-innen,,,,…,,,
2019,Je 100 000 Einwohner/-innen,,,Ausbeutung der Arbeitskraft,.,,,
2020,Je 100 000 Einwohner/-innen,,,Ausbeutung der Arbeitskraft,,,,25.4
2021,Je 100 000 Einwohner/-innen,,,Ausbeutung der Arbeitskraft,…,,,
2019,Je 100 000 Einwohner/-innen,,,Sexuelle Ausbeutung,.,,,
2020,Je 100 000 Einwohner/-innen,,,Sexuelle Ausbeutung,,,,3.4
2021,Je 100 000 Einwohner/-innen,,,Sexuelle Ausbeutung,…,,,
2019,Anzahl,,,,.,,,
2020,Anzahl,,,,,,,0.2
2021,Anzahl,,,,…,,,
2019,Anzahl,,,Ausbeutung der Arbeitskraft,.,,,
2020,Anzahl,,,Ausbeutung der Arbeitskraft,,,,70.7
2021,Anzahl,,,Ausbeutung der Arbeitskraft,…,,,
2019,Anzahl,,,Sexuelle Ausbeutung,.,,,
2020,Anzahl,,,Sexuelle Ausbeutung,,,,27.6
2021,Anzahl,,,Sexuelle Ausbeutung,…,,,
2019,Anzahl,13 Jahre und jünger,,Sexuelle Ausbeutung,.,,,
2020,Anzahl,13 Jahre und jünger,,Sexuelle Ausbeutung,,,,1.6
2021,Anzahl,13 Jahre und jünger,,Sexuelle Ausbeutung,…,,,
2019,Anzahl,14 bis unter 18 Jahre,,Sexuelle Ausbeutung,.,,,
2020,Anzahl,14 bis unter 18 Jahre,,Sexuelle Ausbeutung,,,,0.1
2021,Anzahl,14 bis unter 18 Jahre,,Sexuelle Ausbeutung,…,,,
2019,Anzahl,18 bis unter 21 Jahre,,Sexuelle Ausbeutung,.,,,
2020,Anzahl,18 bis unter 21 Jahre,,Sexuelle Ausbeutung,,,,67.2
2021,Anzahl,18 bis unter 21 Jahre,,Sexuelle Ausbeutung,…,,,
2019,Anzahl,21 bis unter 25 Jahre,,Sexuelle Ausbeutung,.,,,
2020,Anzahl,21 bis unter 25 Jahre,,Sexuelle Ausbeutung,,,,30.6
2021,Anzahl,21 bis unter 25 Jahre,,Sexuelle Ausbeutung,…,,,
2019,Anzahl,25 Jahre und älter,,Sexuelle Ausbeutung,.,,,
2020,Anzahl,25 Jahre und älter,,Sexuelle Ausbeutung,,,,2.0
2021,Anzahl,25 Jahre und älter,,Sexuelle Ausbeutung,…,,,
2019,Anzahl,Alter unbekannt,,Sexuelle Ausbeutung,.,,,
2020,Anzahl,Alter unbekannt,,Sexuelle Ausbeutung,,,,0.1
2021,Anzahl,Alter unbekannt,,Sexuelle Ausbeutung,…,,,
2019,Anzahl,,Weiblich,Ausbeutung der Arbeitskraft,.,,,
2020,Anzahl,,Weiblich,Ausbeutung der Arbeitskraft,,,,61.0
2021,Anzahl,,Weiblich,Ausbeutung der Arbeitskraft,…,,,
2019,Anzahl,,Männlich,Ausbeutung der Arbeitskraft,.,,,
2020,Anzahl,,Männlich,Ausbeutung der Arbeitskraft,,,,36.4
2021,Anzahl,,Männlich,Ausbeutung der Arbeitskraft,…,,,
2019,Anzahl,,Unbekannt,Ausbeutung der Arbeitskraft,.,,,
2020,Anzahl,,Unbekannt,Ausbeutung der Arbeitskraft,,,,2.3
2021,Anzahl,,Unbekannt,Ausbeutung der Arbeitskraft,…,,,
2019,Anzahl,,Weiblich,Sexuelle Ausbeutung,.,,,
2020,Anzahl,,Weiblich,Sexuelle Ausbeutung,,,,0.3
2021,Anzahl,,Weiblich,Sexuelle Ausbeutung,…,,,
2019,Anzahl,,Männlich,Sexuelle Ausbeutung,.,,,
2020,Anzahl,,Männlich,Sexuelle Ausbeutung,,,,54.9
2021,Anzahl,,Männlich,Sexuelle Ausbeutung,…,,,
2019,Anzahl,,Unbekannt,Sexuelle Ausbeutung,.,,,
2020,Anzahl,,Unbekannt,Sexuelle Ausbeutung,,,,43.4
2021,Anzahl,,Unbekannt,Sexuelle Ausbeutung,…,,,
