Year,Zeitreihe,Value
2010,Bruttoentwicklungsausgaben (ODA) zur Minderung der Armut,1030.59
2011,Bruttoentwicklungsausgaben (ODA) zur Minderung der Armut,1112.91
2012,Bruttoentwicklungsausgaben (ODA) zur Minderung der Armut,938.01
2013,Bruttoentwicklungsausgaben (ODA) zur Minderung der Armut,1100.18
2014,Bruttoentwicklungsausgaben (ODA) zur Minderung der Armut,1209.53
2015,Bruttoentwicklungsausgaben (ODA) zur Minderung der Armut,516.44
2016,Bruttoentwicklungsausgaben (ODA) zur Minderung der Armut,1832.39
2017,Bruttoentwicklungsausgaben (ODA) zur Minderung der Armut,1840.1
2018,Bruttoentwicklungsausgaben (ODA) zur Minderung der Armut,1984.15
2019,Bruttoentwicklungsausgaben (ODA) zur Minderung der Armut,2087.39
2010,Zusagen (ODA) zur Minderung der Armut,950.97
2011,Zusagen (ODA) zur Minderung der Armut,1377.42
2012,Zusagen (ODA) zur Minderung der Armut,1858.53
2013,Zusagen (ODA) zur Minderung der Armut,1327.06
2014,Zusagen (ODA) zur Minderung der Armut,1716.35
2015,Zusagen (ODA) zur Minderung der Armut,1680.42
2016,Zusagen (ODA) zur Minderung der Armut,1580.36
2017,Zusagen (ODA) zur Minderung der Armut,2205.15
2018,Zusagen (ODA) zur Minderung der Armut,2771.46
2019,Zusagen (ODA) zur Minderung der Armut,2521.72
