Year,Art der Nutzungs- und Besitzrechte,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,,,,,Eigene und gepachtete landwirtschaftlich genutzte Flächen,98.4
2011,,.,,,Eigene und gepachtete landwirtschaftlich genutzte Flächen,
2012,,.,,,Eigene und gepachtete landwirtschaftlich genutzte Flächen,
2013,,,,,Eigene und gepachtete landwirtschaftlich genutzte Flächen,98.4
2014,,.,,,Eigene und gepachtete landwirtschaftlich genutzte Flächen,
2015,,.,,,Eigene und gepachtete landwirtschaftlich genutzte Flächen,
2016,,,,,Eigene und gepachtete landwirtschaftlich genutzte Flächen,98.1
2017,,.,,,Eigene und gepachtete landwirtschaftlich genutzte Flächen,
2018,,.,,,Eigene und gepachtete landwirtschaftlich genutzte Flächen,
2019,,.,,,Eigene und gepachtete landwirtschaftlich genutzte Flächen,
2020,,,,,Eigene und gepachtete landwirtschaftlich genutzte Flächen,98.3
2021,,.,,,Eigene und gepachtete landwirtschaftlich genutzte Flächen,
2022,,.,,,Eigene und gepachtete landwirtschaftlich genutzte Flächen,
2023,,,,,Eigene und gepachtete landwirtschaftlich genutzte Flächen,98.2
2010,Eigentum,,,,Eigene und gepachtete landwirtschaftlich genutzte Flächen,38.6
2011,Eigentum,.,,,Eigene und gepachtete landwirtschaftlich genutzte Flächen,
2012,Eigentum,.,,,Eigene und gepachtete landwirtschaftlich genutzte Flächen,
2013,Eigentum,,,,Eigene und gepachtete landwirtschaftlich genutzte Flächen,38.4
2014,Eigentum,.,,,Eigene und gepachtete landwirtschaftlich genutzte Flächen,
2015,Eigentum,.,,,Eigene und gepachtete landwirtschaftlich genutzte Flächen,
2016,Eigentum,,,,Eigene und gepachtete landwirtschaftlich genutzte Flächen,39.6
2017,Eigentum,.,,,Eigene und gepachtete landwirtschaftlich genutzte Flächen,
2018,Eigentum,.,,,Eigene und gepachtete landwirtschaftlich genutzte Flächen,
2019,Eigentum,.,,,Eigene und gepachtete landwirtschaftlich genutzte Flächen,
2020,Eigentum,,,,Eigene und gepachtete landwirtschaftlich genutzte Flächen,38.2
2021,Eigentum,.,,,Eigene und gepachtete landwirtschaftlich genutzte Flächen,
2022,Eigentum,.,,,Eigene und gepachtete landwirtschaftlich genutzte Flächen,
2023,Eigentum,,,,Eigene und gepachtete landwirtschaftlich genutzte Flächen,38.3
2010,Pacht,,,,Eigene und gepachtete landwirtschaftlich genutzte Flächen,59.8
2011,Pacht,.,,,Eigene und gepachtete landwirtschaftlich genutzte Flächen,
2012,Pacht,.,,,Eigene und gepachtete landwirtschaftlich genutzte Flächen,
