Year,Type of water body,Status class,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2009 - 2014,Running waters,Unclear,,,,2.8
2015 - 2020**,Running waters,Unclear,,,,1.7
2009 - 2014,Running waters,Bad,,,,19.9
2015 - 2020**,Running waters,Bad,,,,19.1
2009 - 2014,Running waters,Poor,,,,34.4
2015 - 2020**,Running waters,Poor,,,,34.9
2009 - 2014,Running waters,Moderate,,,,36.2
2015 - 2020**,Running waters,Moderate,,,,36.3
2009 - 2014,Running waters,Good or very good,,,,6.7
2015 - 2020**,Running waters,Good or very good,,,,8.0
2009 - 2014,Lakes,Unclear,,,,2.9
2015 - 2020**,Lakes,Unclear,,,,4.0
2009 - 2014,Lakes,Bad,,,,10.5
2015 - 2020**,Lakes,Bad,,,,9.4
2009 - 2014,Lakes,Poor,,,,26.2
2015 - 2020**,Lakes,Poor,,,,25.8
2009 - 2014,Lakes,Moderate,,,,34.0
2015 - 2020**,Lakes,Moderate,,,,36.1
2009 - 2014,Lakes,Good or very good,,,,26.4
2015 - 2020**,Lakes,Good or very good,,,,24.7
2008*,Water bodies in transitional and coastal waters - North sea,Unclear,‒,,,0.0
2009 - 2014,Water bodies in transitional and coastal waters - North sea,Unclear,,,,14.0
2015 - 2020**,Water bodies in transitional and coastal waters - North sea,Unclear,‒,,,0.0
2008*,Water bodies in transitional and coastal waters - North sea,Bad,,,,4.0
2009 - 2014,Water bodies in transitional and coastal waters - North sea,Bad,,,,11.0
2015 - 2020**,Water bodies in transitional and coastal waters - North sea,Bad,,,,14.0
2008*,Water bodies in transitional and coastal waters - North sea,Poor,,,,32.0
2009 - 2014,Water bodies in transitional and coastal waters - North sea,Poor,,,,31.0
2015 - 2020**,Water bodies in transitional and coastal waters - North sea,Poor,,,,32.0
2008*,Water bodies in transitional and coastal waters - North sea,Moderate,,,,64.0
2009 - 2014,Water bodies in transitional and coastal waters - North sea,Moderate,,,,44.0
2015 - 2020**,Water bodies in transitional and coastal waters - North sea,Moderate,,,,54.0
2008*,Water bodies in transitional and coastal waters - North sea,Good or very good,‒,,,0.0
2009 - 2014,Water bodies in transitional and coastal waters - North sea,Good or very good,‒,,,0.0
2015 - 2020**,Water bodies in transitional and coastal waters - North sea,Good or very good,‒,,,0.0
2008*,Water bodies in transitional and coastal waters - Baltic sea,Unclear,‒,,,0.0
2009 - 2014,Water bodies in transitional and coastal waters - Baltic sea,Unclear,,,,4.0
2015 - 2020**,Water bodies in transitional and coastal waters - Baltic sea,Unclear,‒,,,0.0
2008*,Water bodies in transitional and coastal waters - Baltic sea,Bad,,,,16.0
2009 - 2014,Water bodies in transitional and coastal waters - Baltic sea,Bad,,,,32.0
2015 - 2020**,Water bodies in transitional and coastal waters - Baltic sea,Bad,,,,27.0
2008*,Water bodies in transitional and coastal waters - Baltic sea,Poor,,,,50.0
2009 - 2014,Water bodies in transitional and coastal waters - Baltic sea,Poor,,,,32.0
2015 - 2020**,Water bodies in transitional and coastal waters - Baltic sea,Poor,,,,40.0
2008*,Water bodies in transitional and coastal waters - Baltic sea,Moderate,,,,32.0
2009 - 2014,Water bodies in transitional and coastal waters - Baltic sea,Moderate,,,,33.0
2015 - 2020**,Water bodies in transitional and coastal waters - Baltic sea,Moderate,,,,33.0
2008*,Water bodies in transitional and coastal waters - Baltic sea,Good or very good,,,,2.0
2009 - 2014,Water bodies in transitional and coastal waters - Baltic sea,Good or very good,‒,,,0.0
2015 - 2020**,Water bodies in transitional and coastal waters - Baltic sea,Good or very good,‒,,,0.0
