Year,Units,Time series,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Percentage,Marine Key Biodiversity Areas (KBAs) covered by protected areas,.,,,
2011,Percentage,Marine Key Biodiversity Areas (KBAs) covered by protected areas,.,,,
2012,Percentage,Marine Key Biodiversity Areas (KBAs) covered by protected areas,.,,,
2013,Percentage,Marine Key Biodiversity Areas (KBAs) covered by protected areas,.,,,
2014,Percentage,Marine Key Biodiversity Areas (KBAs) covered by protected areas,,,,
2015,Percentage,Marine Key Biodiversity Areas (KBAs) covered by protected areas,r,,,5930.0
2016,Percentage,Marine Key Biodiversity Areas (KBAs) covered by protected areas,,,,5900.123
2017,Percentage,Marine Key Biodiversity Areas (KBAs) covered by protected areas,,,,5687.281
2018,Percentage,Marine Key Biodiversity Areas (KBAs) covered by protected areas,,,,5775.046
2019,Percentage,Marine Key Biodiversity Areas (KBAs) covered by protected areas,,,,4414.115
2020,Percentage,Marine Key Biodiversity Areas (KBAs) covered by protected areas,,,,3996.652
2010,Hectare,Marine Key Biodiversity Areas (KBAs) covered by protected areas,.,,,
2011,Hectare,Marine Key Biodiversity Areas (KBAs) covered by protected areas,.,,,
2012,Hectare,Marine Key Biodiversity Areas (KBAs) covered by protected areas,.,,,
2013,Hectare,Marine Key Biodiversity Areas (KBAs) covered by protected areas,.,,,
2014,Hectare,Marine Key Biodiversity Areas (KBAs) covered by protected areas,.,,,
2015,Hectare,Marine Key Biodiversity Areas (KBAs) covered by protected areas,,,,4679.637
2016,Hectare,Marine Key Biodiversity Areas (KBAs) covered by protected areas,,,,4451.453
2017,Hectare,Marine Key Biodiversity Areas (KBAs) covered by protected areas,,,,4486.55
2018,Hectare,Marine Key Biodiversity Areas (KBAs) covered by protected areas,,,,4666.09
2019,Hectare,Marine Key Biodiversity Areas (KBAs) covered by protected areas,,,,4414.115
2020,Hectare,Marine Key Biodiversity Areas (KBAs) covered by protected areas,,,,3996.652
2010,Hectare,Marine areas covered by protected areas,.,,,
2011,Hectare,Marine areas covered by protected areas,.,,,
2012,Hectare,Marine areas covered by protected areas,.,,,
2013,Hectare,Marine areas covered by protected areas,.,,,
2014,Hectare,Marine areas covered by protected areas,.,,,
2015,Hectare,Marine areas covered by protected areas,r,,,1250.0
2016,Hectare,Marine areas covered by protected areas,,,,1448.67
2017,Hectare,Marine areas covered by protected areas,,,,1200.731
2018,Hectare,Marine areas covered by protected areas,,,,1108.956
2019,Hectare,Marine areas covered by protected areas,-,,,0.0
2020,Hectare,Marine areas covered by protected areas,-,,,0.0
2010,Percentage,Marine areas covered by protected areas,.,,,
2011,Percentage,Marine areas covered by protected areas,.,,,
2012,Percentage,Marine areas covered by protected areas,.,,,
2013,Percentage,Marine areas covered by protected areas,.,,,
2014,Percentage,Marine areas covered by protected areas,.,,,
2015,Percentage,Marine areas covered by protected areas,r,,,0.196
2016,Percentage,Marine areas covered by protected areas,,,,0.188
2017,Percentage,Marine areas covered by protected areas,,,,0.174
2018,Percentage,Marine areas covered by protected areas,,,,0.172
2019,Percentage,Marine areas covered by protected areas,,,,0.127
2020,Percentage,Marine areas covered by protected areas,,,,0.117
2010,Hectare,Marine areas covered by effective protected areas,.,,,
2011,Hectare,Marine areas covered by effective protected areas,.,,,
2012,Hectare,Marine areas covered by effective protected areas,.,,,
2013,Hectare,Marine areas covered by effective protected areas,.,,,
2014,Hectare,Marine areas covered by effective protected areas,.,,,
2015,Hectare,Marine areas covered by effective protected areas,,,,0.155
2016,Hectare,Marine areas covered by effective protected areas,,,,0.142
2017,Hectare,Marine areas covered by effective protected areas,,,,0.137
2018,Hectare,Marine areas covered by effective protected areas,,,,0.139
2019,Hectare,Marine areas covered by effective protected areas,,,,0.127
2020,Hectare,Marine areas covered by effective protected areas,,,,0.117
2010,Percentage,Marine areas covered by effective protected areas,.,,,
2011,Percentage,Marine areas covered by effective protected areas,.,,,
2012,Percentage,Marine areas covered by effective protected areas,.,,,
2013,Percentage,Marine areas covered by effective protected areas,.,,,
2014,Percentage,Marine areas covered by effective protected areas,.,,,
2015,Percentage,Marine areas covered by effective protected areas,r,,,0.041
2016,Percentage,Marine areas covered by effective protected areas,,,,0.046
2017,Percentage,Marine areas covered by effective protected areas,,,,0.037
2018,Percentage,Marine areas covered by effective protected areas,,,,0.033
2019,Percentage,Marine areas covered by effective protected areas,-,,,0.0
2020,Percentage,Marine areas covered by effective protected areas,-,,,0.0
