Year,Units,Zeitreihe,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Prozent,"Schlüsselgebiete der biologischen Vielfalt in Gebirgen, die unter Schutz stehen",,,,1.0
2011,Prozent,"Schlüsselgebiete der biologischen Vielfalt in Gebirgen, die unter Schutz stehen",,,,1.0
2012,Prozent,"Schlüsselgebiete der biologischen Vielfalt in Gebirgen, die unter Schutz stehen",,,,1.0
2013,Prozent,"Schlüsselgebiete der biologischen Vielfalt in Gebirgen, die unter Schutz stehen",,,,1.0
2014,Prozent,"Schlüsselgebiete der biologischen Vielfalt in Gebirgen, die unter Schutz stehen",,,,1.0
2015,Prozent,"Schlüsselgebiete der biologischen Vielfalt in Gebirgen, die unter Schutz stehen",,,,1.0
2016,Prozent,"Schlüsselgebiete der biologischen Vielfalt in Gebirgen, die unter Schutz stehen",,,,1.0
2017,Prozent,"Schlüsselgebiete der biologischen Vielfalt in Gebirgen, die unter Schutz stehen",,,,1.0
2018,Prozent,"Schlüsselgebiete der biologischen Vielfalt in Gebirgen, die unter Schutz stehen",,,,1.0
2019,Prozent,"Schlüsselgebiete der biologischen Vielfalt in Gebirgen, die unter Schutz stehen",,,,1.0
2020,Prozent,"Schlüsselgebiete der biologischen Vielfalt in Gebirgen, die unter Schutz stehen",,,,1.0
2021,Prozent,"Schlüsselgebiete der biologischen Vielfalt in Gebirgen, die unter Schutz stehen",,,,1.0
2022,Prozent,"Schlüsselgebiete der biologischen Vielfalt in Gebirgen, die unter Schutz stehen",,,,1.0
2023,Prozent,"Schlüsselgebiete der biologischen Vielfalt in Gebirgen, die unter Schutz stehen",,,,1.0
2024,Prozent,"Schlüsselgebiete der biologischen Vielfalt in Gebirgen, die unter Schutz stehen",,,,1.0
2010,Hektar,"Schlüsselgebiete der biologischen Vielfalt in Gebirgen, die unter Schutz stehen",.,,,
2011,Hektar,"Schlüsselgebiete der biologischen Vielfalt in Gebirgen, die unter Schutz stehen",.,,,
2012,Hektar,"Schlüsselgebiete der biologischen Vielfalt in Gebirgen, die unter Schutz stehen",.,,,
2013,Hektar,"Schlüsselgebiete der biologischen Vielfalt in Gebirgen, die unter Schutz stehen",.,,,
