Year,timeseries,Value
2010,proportion flowing water with good ecological status for total phosphorous,32.1
2011,proportion flowing water with good ecological status for total phosphorous,38.2
2012,proportion flowing water with good ecological status for total phosphorous,35.7
2013,proportion flowing water with good ecological status for total phosphorous,36.1
2014,proportion flowing water with good ecological status for total phosphorous,34.8
2015,proportion flowing water with good ecological status for total phosphorous,30.6
2016,proportion flowing water with good ecological status for total phosphorous,37.1
2017,proportion flowing water with good ecological status for total phosphorous,35.5
2018,proportion flowing water with good ecological status for total phosphorous,44.3
2019,proportion flowing water with good ecological status for total phosphorous,42.8
2020,proportion flowing water with good ecological status for total phosphorous,
2010,proportion groundwater below threshold for nitrate,81.7
2011,proportion groundwater below threshold for nitrate,82.0
2012,proportion groundwater below threshold for nitrate,81.0
2013,proportion groundwater below threshold for nitrate,81.4
2014,proportion groundwater below threshold for nitrate,81.8
2015,proportion groundwater below threshold for nitrate,81.0
2016,proportion groundwater below threshold for nitrate,81.8
2017,proportion groundwater below threshold for nitrate,83.1
2018,proportion groundwater below threshold for nitrate,82.7
2019,proportion groundwater below threshold for nitrate,84.2
2020,proportion groundwater below threshold for nitrate,84.1
