Year,Units,Measurement parameter,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,Million EUR,Commitments,,,,Commitments and gross disbursements of official development assistance for biodiversity,440.9
2011,Million EUR,Commitments,,,,Commitments and gross disbursements of official development assistance for biodiversity,877.7
2012,Million EUR,Commitments,,,,Commitments and gross disbursements of official development assistance for biodiversity,755.3
2013,Million EUR,Commitments,,,,Commitments and gross disbursements of official development assistance for biodiversity,754.0
2014,Million EUR,Commitments,,,,Commitments and gross disbursements of official development assistance for biodiversity,926.2
2015,Million EUR,Commitments,,,,Commitments and gross disbursements of official development assistance for biodiversity,1050.8
2016,Million EUR,Commitments,,,,Commitments and gross disbursements of official development assistance for biodiversity,1004.9
2017,Million EUR,Commitments,,,,Commitments and gross disbursements of official development assistance for biodiversity,1602.2
2018,Million EUR,Commitments,,,,Commitments and gross disbursements of official development assistance for biodiversity,1350.6
2019,Million EUR,Commitments,,,,Commitments and gross disbursements of official development assistance for biodiversity,1990.5
2020,Million EUR,Commitments,,,,Commitments and gross disbursements of official development assistance for biodiversity,2084.9
2021,Million EUR,Commitments,,,,Commitments and gross disbursements of official development assistance for biodiversity,2107.5
2022,Million EUR,Commitments,,,,Commitments and gross disbursements of official development assistance for biodiversity,2850.2
2023,Million EUR,Commitments,,,,Commitments and gross disbursements of official development assistance for biodiversity,2161.0
2024,Million EUR,Commitments,,,,Commitments and gross disbursements of official development assistance for biodiversity,2394.7
2010,Million EUR,Gross disbursements,,,,Commitments and gross disbursements of official development assistance for biodiversity,318.6
2011,Million EUR,Gross disbursements,,,,Commitments and gross disbursements of official development assistance for biodiversity,440.7
2012,Million EUR,Gross disbursements,,,,Commitments and gross disbursements of official development assistance for biodiversity,601.6
2013,Million EUR,Gross disbursements,,,,Commitments and gross disbursements of official development assistance for biodiversity,616.5
2014,Million EUR,Gross disbursements,,,,Commitments and gross disbursements of official development assistance for biodiversity,702.4
2015,Million EUR,Gross disbursements,,,,Commitments and gross disbursements of official development assistance for biodiversity,687.2
2016,Million EUR,Gross disbursements,,,,Commitments and gross disbursements of official development assistance for biodiversity,935.1
2017,Million EUR,Gross disbursements,,,,Commitments and gross disbursements of official development assistance for biodiversity,1321.5
2018,Million EUR,Gross disbursements,,,,Commitments and gross disbursements of official development assistance for biodiversity,1216.5
2019,Million EUR,Gross disbursements,,,,Commitments and gross disbursements of official development assistance for biodiversity,1449.9
2020,Million EUR,Gross disbursements,,,,Commitments and gross disbursements of official development assistance for biodiversity,1787.8
2021,Million EUR,Gross disbursements,,,,Commitments and gross disbursements of official development assistance for biodiversity,2107.5
2022,Million EUR,Gross disbursements,,,,Commitments and gross disbursements of official development assistance for biodiversity,2850.2
2010,Million EUR,,,,,Environmental protection expenditure,52116.0
2011,Million EUR,,,,,Environmental protection expenditure,54918.0
2012,Million EUR,,,,,Environmental protection expenditure,57022.0
2013,Million EUR,,,,,Environmental protection expenditure,58937.0
2014,Million EUR,,,,,Environmental protection expenditure,63026.0
2015,Million EUR,,,,,Environmental protection expenditure,64748.0
2016,Million EUR,,,,,Environmental protection expenditure,67478.0
2017,Million EUR,,,,,Environmental protection expenditure,70053.0
2018,Million EUR,,,,,Environmental protection expenditure,74164.0
2019,Million EUR,,,,,Environmental protection expenditure,77773.0
2020,Million EUR,,r,,,Environmental protection expenditure,79084.0
2021,Million EUR,,,,,Environmental protection expenditure,80334.0
2022,Million EUR,,r,,,Environmental protection expenditure,82583.0
2023,Million EUR,,p,,,Environmental protection expenditure,85310.0
