Year,Zeitreihe,Altersklasse,Geschlecht,Art der physischen Gewalt,Art der sexuellen Gewalt,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,a) Anzeigequote bei physischer Gewalt,,,,,.,,,
2011,a) Anzeigequote bei physischer Gewalt,,,,,.,,,
2012,a) Anzeigequote bei physischer Gewalt,,,,,.,,,
2013,a) Anzeigequote bei physischer Gewalt,,,,,.,,,
2014,a) Anzeigequote bei physischer Gewalt,,,,,.,,,
2015,a) Anzeigequote bei physischer Gewalt,,,,,.,,,
2016,a) Anzeigequote bei physischer Gewalt,,,,,.,,,
2017,a) Anzeigequote bei physischer Gewalt,,,,,.,,,
2018,a) Anzeigequote bei physischer Gewalt,,,,,.,,,
2019,a) Anzeigequote bei physischer Gewalt,,,,,.,,,
2020,a) Anzeigequote bei physischer Gewalt,,,,,,,,1.5
2021,a) Anzeigequote bei physischer Gewalt,,,,,…,,,
2022,a) Anzeigequote bei physischer Gewalt,,,,,…,,,
2023,a) Anzeigequote bei physischer Gewalt,,,,,…,,,
2010,a) Anzeigequote bei physischer Gewalt,16 bis unter 25 Jahre,,,,.,,,
2011,a) Anzeigequote bei physischer Gewalt,16 bis unter 25 Jahre,,,,.,,,
2012,a) Anzeigequote bei physischer Gewalt,16 bis unter 25 Jahre,,,,.,,,
2013,a) Anzeigequote bei physischer Gewalt,16 bis unter 25 Jahre,,,,.,,,
2014,a) Anzeigequote bei physischer Gewalt,16 bis unter 25 Jahre,,,,.,,,
2015,a) Anzeigequote bei physischer Gewalt,16 bis unter 25 Jahre,,,,.,,,
2016,a) Anzeigequote bei physischer Gewalt,16 bis unter 25 Jahre,,,,.,,,
2017,a) Anzeigequote bei physischer Gewalt,16 bis unter 25 Jahre,,,,.,,,
2018,a) Anzeigequote bei physischer Gewalt,16 bis unter 25 Jahre,,,,.,,,
2019,a) Anzeigequote bei physischer Gewalt,16 bis unter 25 Jahre,,,,.,,,
2020,a) Anzeigequote bei physischer Gewalt,16 bis unter 25 Jahre,,,,,,,0.2
2021,a) Anzeigequote bei physischer Gewalt,16 bis unter 25 Jahre,,,,…,,,
2022,a) Anzeigequote bei physischer Gewalt,16 bis unter 25 Jahre,,,,…,,,
2023,a) Anzeigequote bei physischer Gewalt,16 bis unter 25 Jahre,,,,…,,,
2010,a) Anzeigequote bei physischer Gewalt,25 bis unter 35 Jahre,,,,.,,,
2011,a) Anzeigequote bei physischer Gewalt,25 bis unter 35 Jahre,,,,.,,,
2012,a) Anzeigequote bei physischer Gewalt,25 bis unter 35 Jahre,,,,.,,,
2013,a) Anzeigequote bei physischer Gewalt,25 bis unter 35 Jahre,,,,.,,,
2014,a) Anzeigequote bei physischer Gewalt,25 bis unter 35 Jahre,,,,.,,,
2015,a) Anzeigequote bei physischer Gewalt,25 bis unter 35 Jahre,,,,.,,,
2016,a) Anzeigequote bei physischer Gewalt,25 bis unter 35 Jahre,,,,.,,,
2017,a) Anzeigequote bei physischer Gewalt,25 bis unter 35 Jahre,,,,.,,,
2018,a) Anzeigequote bei physischer Gewalt,25 bis unter 35 Jahre,,,,.,,,
2019,a) Anzeigequote bei physischer Gewalt,25 bis unter 35 Jahre,,,,.,,,
2020,a) Anzeigequote bei physischer Gewalt,25 bis unter 35 Jahre,,,,,,,44.6
2021,a) Anzeigequote bei physischer Gewalt,25 bis unter 35 Jahre,,,,…,,,
2022,a) Anzeigequote bei physischer Gewalt,25 bis unter 35 Jahre,,,,…,,,
2023,a) Anzeigequote bei physischer Gewalt,25 bis unter 35 Jahre,,,,…,,,
2010,a) Anzeigequote bei physischer Gewalt,35 bis unter 45 Jahre,,,,.,,,
2011,a) Anzeigequote bei physischer Gewalt,35 bis unter 45 Jahre,,,,.,,,
2012,a) Anzeigequote bei physischer Gewalt,35 bis unter 45 Jahre,,,,.,,,
2013,a) Anzeigequote bei physischer Gewalt,35 bis unter 45 Jahre,,,,.,,,
