Year,Value,Units,Series
2015,4.65,Prozent,"Bevölkerung, die den Eindruck hatte, das Beschäftigte des öffentlichen Dienstes bestechlich waren"
2017,3.66,Prozent,"Bevölkerung, die den Eindruck hatte, das Beschäftigte des öffentlichen Dienstes bestechlich waren"
2019,4.67,Prozent,"Bevölkerung, die den Eindruck hatte, das Beschäftigte des öffentlichen Dienstes bestechlich waren"
2021,3.86,Prozent,"Bevölkerung, die den Eindruck hatte, das Beschäftigte des öffentlichen Dienstes bestechlich waren"
2023,11.56,Prozent,"Bevölkerung, die den Eindruck hatte, das Beschäftigte des öffentlichen Dienstes bestechlich waren"
2011,295.0,Anzahl,
2012,163.0,Anzahl,
2013,222.0,Anzahl,
2014,121.0,Anzahl,
2015,148.0,Anzahl,
