Year,Value,Units,Series
2010,585.4,"Millionen USD, konstante Preise (2018)",Zusagen (ODA) für Biodiversität
2011,1153.0,"Millionen USD, konstante Preise (2018)",Zusagen (ODA) für Biodiversität
2012,977.6,"Millionen USD, konstante Preise (2018)",Zusagen (ODA) für Biodiversität
2013,957.1,"Millionen USD, konstante Preise (2018)",Zusagen (ODA) für Biodiversität
2014,1154.1,"Millionen USD, konstante Preise (2018)",Zusagen (ODA) für Biodiversität
2015,1287.2,"Millionen USD, konstante Preise (2018)",Zusagen (ODA) für Biodiversität
2016,1216.6,"Millionen USD, konstante Preise (2018)",Zusagen (ODA) für Biodiversität
2017,1919.5,"Millionen USD, konstante Preise (2018)",Zusagen (ODA) für Biodiversität
2018,1594.0,"Millionen USD, konstante Preise (2018)",Zusagen (ODA) für Biodiversität
2019,2305.1,"Millionen USD, konstante Preise (2018)",Zusagen (ODA) für Biodiversität
2010,63.0,"Millionen USD, konstante Preise (2019)",Bruttoentwicklungsausgaben (ODA) für den Forstsektor
2011,59.0,"Millionen USD, konstante Preise (2019)",Bruttoentwicklungsausgaben (ODA) für den Forstsektor
2012,97.3,"Millionen USD, konstante Preise (2019)",Bruttoentwicklungsausgaben (ODA) für den Forstsektor
2013,89.1,"Millionen USD, konstante Preise (2019)",Bruttoentwicklungsausgaben (ODA) für den Forstsektor
2014,74.6,"Millionen USD, konstante Preise (2019)",Bruttoentwicklungsausgaben (ODA) für den Forstsektor
2015,74.6,"Millionen USD, konstante Preise (2019)",Bruttoentwicklungsausgaben (ODA) für den Forstsektor
2016,70.8,"Millionen USD, konstante Preise (2019)",Bruttoentwicklungsausgaben (ODA) für den Forstsektor
2017,80.2,"Millionen USD, konstante Preise (2019)",Bruttoentwicklungsausgaben (ODA) für den Forstsektor
2018,120.0,"Millionen USD, konstante Preise (2019)",Bruttoentwicklungsausgaben (ODA) für den Forstsektor
2019,120.6,"Millionen USD, konstante Preise (2019)",Bruttoentwicklungsausgaben (ODA) für den Forstsektor
