Year,Value,Units,Series,COMMENT_OBS
2010,100.0,Prozent,"Abwasser, das sicher behandelt wird oder nicht behandlungsbedürftig ist",
2011,100.0,Prozent,"Abwasser, das sicher behandelt wird oder nicht behandlungsbedürftig ist",s
2012,100.0,Prozent,"Abwasser, das sicher behandelt wird oder nicht behandlungsbedürftig ist",s
2013,100.0,Prozent,"Abwasser, das sicher behandelt wird oder nicht behandlungsbedürftig ist",
2014,100.0,Prozent,"Abwasser, das sicher behandelt wird oder nicht behandlungsbedürftig ist",s
2015,100.0,Prozent,"Abwasser, das sicher behandelt wird oder nicht behandlungsbedürftig ist",s
2016,100.0,Prozent,"Abwasser, das sicher behandelt wird oder nicht behandlungsbedürftig ist",s
2017,100.0,Prozent,"Abwasser, das sicher behandelt wird oder nicht behandlungsbedürftig ist",s
2018,100.0,Prozent,"Abwasser, das sicher behandelt wird oder nicht behandlungsbedürftig ist",s
2019,100.0,Prozent,"Abwasser, das sicher behandelt wird oder nicht behandlungsbedürftig ist",s
2020,100.0,Prozent,"Abwasser, das sicher behandelt wird oder nicht behandlungsbedürftig ist",s
2021,100.0,Prozent,"Abwasser, das sicher behandelt wird oder nicht behandlungsbedürftig ist",s
