Year,Value,Units,Series
2010,1117240,Millionen Personenkilometer,passenger transport
2011,1131004,Millionen Personenkilometer,passenger transport
2012,1135558,Millionen Personenkilometer,passenger transport
2013,1143475,Millionen Personenkilometer,passenger transport
2014,1162942,Millionen Personenkilometer,passenger transport
2015,1180646,Millionen Personenkilometer,passenger transport
2016,1204775,Millionen Personenkilometer,passenger transport
2017,1155136,Millionen Personenkilometer,passenger transport
2018,1161885,Millionen Personenkilometer,passenger transport
2019,1170186,Millionen Personenkilometer,passenger transport
2020,945755,Millionen Personenkilometer,passenger transport
2010,627882,Millionen Tonnenkilometer,freight transport
2011,628083,Millionen Tonnenkilometer,freight transport
2012,618179,Millionen Tonnenkilometer,freight transport
2013,634973,Millionen Tonnenkilometer,freight transport
2014,642604,Millionen Tonnenkilometer,freight transport
2015,655708,Millionen Tonnenkilometer,freight transport
2016,676893,Millionen Tonnenkilometer,freight transport
2017,692578,Millionen Tonnenkilometer,freight transport
2018,694963,Millionen Tonnenkilometer,freight transport
2019,697942,Millionen Tonnenkilometer,freight transport
2020,670460,Millionen Tonnenkilometer,freight transport
