Year,Value,Series
2010,,Von Armut oder sozialer Ausgrenzung bedrohte Personen
2011,,Von Armut oder sozialer Ausgrenzung bedrohte Personen
2012,,Von Armut oder sozialer Ausgrenzung bedrohte Personen
2013,,Von Armut oder sozialer Ausgrenzung bedrohte Personen
2014,,Von Armut oder sozialer Ausgrenzung bedrohte Personen
2015,20.0,Von Armut oder sozialer Ausgrenzung bedrohte Personen
2016,19.8,Von Armut oder sozialer Ausgrenzung bedrohte Personen
2017,18.8,Von Armut oder sozialer Ausgrenzung bedrohte Personen
2018,18.5,Von Armut oder sozialer Ausgrenzung bedrohte Personen
2019,17.3,Von Armut oder sozialer Ausgrenzung bedrohte Personen
2020,20.4,Von Armut oder sozialer Ausgrenzung bedrohte Personen
2021,21.0,Von Armut oder sozialer Ausgrenzung bedrohte Personen
2022,21.1,Von Armut oder sozialer Ausgrenzung bedrohte Personen
2010,15.6,Armutsgefährdungsquote
2011,15.8,Armutsgefährdungsquote
2012,16.1,Armutsgefährdungsquote
2013,16.1,Armutsgefährdungsquote
2014,16.7,Armutsgefährdungsquote
2015,16.7,Armutsgefährdungsquote
2016,16.5,Armutsgefährdungsquote
2017,16.1,Armutsgefährdungsquote
2018,16.0,Armutsgefährdungsquote
2019,14.8,Armutsgefährdungsquote
2020,16.1,Armutsgefährdungsquote
2021,16.0,Armutsgefährdungsquote
2022,14.8,Armutsgefährdungsquote
2023,14.3,Armutsgefährdungsquote
2010,,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen
2011,,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen
2012,,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen
2013,,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen
2014,,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen
2015,9.5,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen
2016,9.4,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen
2017,8.7,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen
2018,8.0,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen
2019,7.6,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen
2020,8.3,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen
2021,9.5,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen
2022,9.8,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen
2023,,In Haushalten mit sehr niedriger Erwerbstätigkeit lebende Personen
2010,,Unter erheblicher materieller und sozialer Deprivation leidende Personen
2011,,Unter erheblicher materieller und sozialer Deprivation leidende Personen
2012,,Unter erheblicher materieller und sozialer Deprivation leidende Personen
2013,,Unter erheblicher materieller und sozialer Deprivation leidende Personen
2014,,Unter erheblicher materieller und sozialer Deprivation leidende Personen
2015,5.7,Unter erheblicher materieller und sozialer Deprivation leidende Personen
2016,4.7,Unter erheblicher materieller und sozialer Deprivation leidende Personen
2017,3.7,Unter erheblicher materieller und sozialer Deprivation leidende Personen
2018,3.4,Unter erheblicher materieller und sozialer Deprivation leidende Personen
2019,3.0,Unter erheblicher materieller und sozialer Deprivation leidende Personen
2020,4.4,Unter erheblicher materieller und sozialer Deprivation leidende Personen
2021,4.3,Unter erheblicher materieller und sozialer Deprivation leidende Personen
2022,6.2,Unter erheblicher materieller und sozialer Deprivation leidende Personen
2023,6.9,Unter erheblicher materieller und sozialer Deprivation leidende Personen
