Year,Value,Series
Stationäre Behandlung bei Störungen durch Substanzgebrauch,37107.0,Drogen
Stationäre Behandlung bei Störungen durch Substanzgebrauch,36848.0,Drogen
Stationäre Behandlung bei Störungen durch Substanzgebrauch,36166.0,Drogen
Stationäre Behandlung bei Störungen durch Substanzgebrauch,40556.0,Drogen
Stationäre Behandlung bei Störungen durch Substanzgebrauch,49795.0,Drogen
Stationäre Behandlung bei Störungen durch Substanzgebrauch,51919.0,Drogen
Stationäre Behandlung bei Störungen durch Substanzgebrauch,52621.0,Drogen
Stationäre Behandlung bei Störungen durch Substanzgebrauch,51806.0,Drogen
Stationäre Behandlung bei Störungen durch Substanzgebrauch,52380.0,Drogen
Stationäre Behandlung bei Störungen durch Substanzgebrauch,53490.0,Drogen
