Year,timeseries,sex,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,data from na from federal statistical office,,…,,,
2011,data from na from federal statistical office,,…,,,
2012,data from na from federal statistical office,,…,,,
2013,data from na from federal statistical office,,…,,,
2014,data from na from federal statistical office,,…,,,
2015,data from na from federal statistical office,,…,,,
2016,data from na from federal statistical office,,…,,,
2017,data from na from federal statistical office,,…,,,
2018,data from na from federal statistical office,,…,,,
2019,data from na from federal statistical office,,…,,,
2020,data from na from federal statistical office,,,,,6722.0
2021,data from na from federal statistical office,,,,,7346.0
2022,data from na from federal statistical office,,,,,7746.0
2023,data from na from federal statistical office,,,,,7414.0
2010,data from lfs from federal statistical office,,…,,,
2011,data from lfs from federal statistical office,,…,,,
2012,data from lfs from federal statistical office,,…,,,
2013,data from lfs from federal statistical office,,…,,,
2014,data from lfs from federal statistical office,,…,,,
2015,data from lfs from federal statistical office,,…,,,
2016,data from lfs from federal statistical office,,…,,,
2017,data from lfs from federal statistical office,,…,,,
2018,data from lfs from federal statistical office,,…,,,
2019,data from lfs from federal statistical office,,…,,,
2020,data from lfs from federal statistical office,,,,,45264.0
2021,data from lfs from federal statistical office,,,,,45513.0
2022,data from lfs from federal statistical office,,,,,44077.0
2023,data from lfs from federal statistical office,,,,,47678.0
2010,data from lfs from federal statistical office,female,…,,,
2011,data from lfs from federal statistical office,female,…,,,
2012,data from lfs from federal statistical office,female,…,,,
2013,data from lfs from federal statistical office,female,…,,,
2014,data from lfs from federal statistical office,female,…,,,
2015,data from lfs from federal statistical office,female,…,,,
2016,data from lfs from federal statistical office,female,…,,,
2017,data from lfs from federal statistical office,female,…,,,
2018,data from lfs from federal statistical office,female,…,,,
2019,data from lfs from federal statistical office,female,…,,,
2020,data from lfs from federal statistical office,female,,,,24773.0
2021,data from lfs from federal statistical office,female,,,,29873.0
2022,data from lfs from federal statistical office,female,,,,33751.0
2023,data from lfs from federal statistical office,female,,,,31106.0
2010,data from lfs from federal statistical office,male,…,,,
2011,data from lfs from federal statistical office,male,…,,,
2012,data from lfs from federal statistical office,male,…,,,
2013,data from lfs from federal statistical office,male,…,,,
2014,data from lfs from federal statistical office,male,…,,,
2015,data from lfs from federal statistical office,male,…,,,
2016,data from lfs from federal statistical office,male,…,,,
2017,data from lfs from federal statistical office,male,…,,,
2018,data from lfs from federal statistical office,male,…,,,
2019,data from lfs from federal statistical office,male,…,,,
2020,data from lfs from federal statistical office,male,,,,59091.0
2021,data from lfs from federal statistical office,male,,,,61658.0
2022,data from lfs from federal statistical office,male,,,,66304.0
2023,data from lfs from federal statistical office,male,,,,63200.0
