Year,Units,Type of flow,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Million EUR,,.,,,
2011,Million EUR,,.,,,
2012,Million EUR,,.,,,
2013,Million EUR,,.,,,
2014,Million EUR,,.,,,
2015,Million EUR,,.,,,
2016,Million EUR,,.,,,
2017,Million EUR,,.,,,
2018,Million EUR,,.,,,
2019,Million EUR,,.,,,
2020,Million EUR,,.,,,
2021,Million EUR,,,,,2.8
2022,Million EUR,,,,,67.0
2023,Million EUR,,,,,96.9
2024,Million EUR,,,,,99.3
2010,Million EUR,ODA (net disbursements),.,,,
2011,Million EUR,ODA (net disbursements),.,,,
2012,Million EUR,ODA (net disbursements),.,,,
2013,Million EUR,ODA (net disbursements),.,,,
2014,Million EUR,ODA (net disbursements),.,,,
2015,Million EUR,ODA (net disbursements),.,,,
2016,Million EUR,ODA (net disbursements),.,,,
2017,Million EUR,ODA (net disbursements),.,,,
2018,Million EUR,ODA (net disbursements),.,,,
2019,Million EUR,ODA (net disbursements),.,,,
2020,Million EUR,ODA (net disbursements),.,,,
2021,Million EUR,ODA (net disbursements),,,,7.2
2022,Million EUR,ODA (net disbursements),,,,69.9
2023,Million EUR,ODA (net disbursements),,,,98.9
2024,Million EUR,ODA (net disbursements),,,,99.5
2010,Million EUR,OOF (net disbursements),.,,,
2011,Million EUR,OOF (net disbursements),.,,,
2012,Million EUR,OOF (net disbursements),.,,,
2013,Million EUR,OOF (net disbursements),.,,,
2014,Million EUR,OOF (net disbursements),.,,,
2015,Million EUR,OOF (net disbursements),.,,,
2016,Million EUR,OOF (net disbursements),.,,,
2017,Million EUR,OOF (net disbursements),.,,,
2018,Million EUR,OOF (net disbursements),.,,,
2019,Million EUR,OOF (net disbursements),.,,,
2020,Million EUR,OOF (net disbursements),.,,,
2021,Million EUR,OOF (net disbursements),,,,8.5
2022,Million EUR,OOF (net disbursements),,,,75.5
2023,Million EUR,OOF (net disbursements),,,,96.0
2024,Million EUR,OOF (net disbursements),,,,98.3
2010,Million EUR,Officially supported export credits (net disbursements),,,,1.9
2011,Million EUR,Officially supported export credits (net disbursements),,,,-0.4
2012,Million EUR,Officially supported export credits (net disbursements),,,,2.0
2013,Million EUR,Officially supported export credits (net disbursements),,,,2.4
2014,Million EUR,Officially supported export credits (net disbursements),,,,0.7
2015,Million EUR,Officially supported export credits (net disbursements),,,,4.4
2016,Million EUR,Officially supported export credits (net disbursements),,,,1.9
2017,Million EUR,Officially supported export credits (net disbursements),,,,3.1
2018,Million EUR,Officially supported export credits (net disbursements),,,,4.7
2019,Million EUR,Officially supported export credits (net disbursements),,,,1.3
2020,Million EUR,Officially supported export credits (net disbursements),|,,,13.2
2021,Million EUR,Officially supported export credits (net disbursements),,,,-2.1
2022,Million EUR,Officially supported export credits (net disbursements),,,,-2.2
2023,Million EUR,Officially supported export credits (net disbursements),,,,5.9
2024,Million EUR,Officially supported export credits (net disbursements),,,,4.9
2010,Million EUR,Private sector flows at market terms (net disbursement),,,,2.4
2011,Million EUR,Private sector flows at market terms (net disbursement),,,,-1.0
2012,Million EUR,Private sector flows at market terms (net disbursement),,,,3.8
2013,Million EUR,Private sector flows at market terms (net disbursement),,,,1.1
2014,Million EUR,Private sector flows at market terms (net disbursement),,,,-2.0
2015,Million EUR,Private sector flows at market terms (net disbursement),,,,5.5
2016,Million EUR,Private sector flows at market terms (net disbursement),,,,3.1
2017,Million EUR,Private sector flows at market terms (net disbursement),,,,4.4
2018,Million EUR,Private sector flows at market terms (net disbursement),,,,3.3
2019,Million EUR,Private sector flows at market terms (net disbursement),,,,4.6
2020,Million EUR,Private sector flows at market terms (net disbursement),|,,,8.3
2021,Million EUR,Private sector flows at market terms (net disbursement),,,,-4.9
2022,Million EUR,Private sector flows at market terms (net disbursement),,,,2.5
2023,Million EUR,Private sector flows at market terms (net disbursement),,,,6.2
2024,Million EUR,Private sector flows at market terms (net disbursement),,,,4.8
2010,Million EUR,Private concessional flows (net disbursements),,,,9.2
2011,Million EUR,Private concessional flows (net disbursements),,,,9.7
2012,Million EUR,Private concessional flows (net disbursements),,,,9.6
2013,Million EUR,Private concessional flows (net disbursements),,,,9.4
2014,Million EUR,Private concessional flows (net disbursements),,,,10.5
2015,Million EUR,Private concessional flows (net disbursements),,,,10.2
2016,Million EUR,Private concessional flows (net disbursements),,,,9.7
2017,Million EUR,Private concessional flows (net disbursements),,,,9.4
2018,Million EUR,Private concessional flows (net disbursements),,,,9.8
2019,Million EUR,Private concessional flows (net disbursements),,,,9.0
2020,Million EUR,Private concessional flows (net disbursements),|,,,10.2
2021,Million EUR,Private concessional flows (net disbursements),,,,9.9
2022,Million EUR,Private concessional flows (net disbursements),,,,8.5
2023,Million EUR,Private concessional flows (net disbursements),,,,8.3
2024,Million EUR,Private concessional flows (net disbursements),,,,9.0
2010,"Million USD, constant prices (2023)",,,,,9.4
2011,"Million USD, constant prices (2023)",,,,,8.0
