Year,Units,Zeitreihe,Wirtschaftszweig,Value
2010,2010 = 100,Veränderung der Wassernutzungseffizienz,,
2011,2010 = 100,Veränderung der Wassernutzungseffizienz,,9.6
2012,2010 = 100,Veränderung der Wassernutzungseffizienz,,7.9
2013,2010 = 100,Veränderung der Wassernutzungseffizienz,,7.4
2014,2010 = 100,Veränderung der Wassernutzungseffizienz,,2.8
2015,2010 = 100,Veränderung der Wassernutzungseffizienz,,7.2
2016,2010 = 100,Veränderung der Wassernutzungseffizienz,,6.1
2017,2010 = 100,Veränderung der Wassernutzungseffizienz,,12.3
2018,2010 = 100,Veränderung der Wassernutzungseffizienz,,6.2
2019,2010 = 100,Veränderung der Wassernutzungseffizienz,,7.8
2010,2010 = 100,Veränderung der Wassernutzungseffizienz,"Land- und Forstwirtschaft, Fischerei",
2011,2010 = 100,Veränderung der Wassernutzungseffizienz,"Land- und Forstwirtschaft, Fischerei",23.8
2012,2010 = 100,Veränderung der Wassernutzungseffizienz,"Land- und Forstwirtschaft, Fischerei",6.1
2013,2010 = 100,Veränderung der Wassernutzungseffizienz,"Land- und Forstwirtschaft, Fischerei",5.9
2014,2010 = 100,Veränderung der Wassernutzungseffizienz,"Land- und Forstwirtschaft, Fischerei",6.8
2015,2010 = 100,Veränderung der Wassernutzungseffizienz,"Land- und Forstwirtschaft, Fischerei",-10.0
2016,2010 = 100,Veränderung der Wassernutzungseffizienz,"Land- und Forstwirtschaft, Fischerei",7.9
2017,2010 = 100,Veränderung der Wassernutzungseffizienz,"Land- und Forstwirtschaft, Fischerei",3.4
2018,2010 = 100,Veränderung der Wassernutzungseffizienz,"Land- und Forstwirtschaft, Fischerei",-20.2
2019,2010 = 100,Veränderung der Wassernutzungseffizienz,"Land- und Forstwirtschaft, Fischerei",-14.5
2010,2010 = 100,Veränderung der Wassernutzungseffizienz,MIMEC,
2011,2010 = 100,Veränderung der Wassernutzungseffizienz,MIMEC,12.6
2012,2010 = 100,Veränderung der Wassernutzungseffizienz,MIMEC,11.5
2013,2010 = 100,Veränderung der Wassernutzungseffizienz,MIMEC,8.4
2014,2010 = 100,Veränderung der Wassernutzungseffizienz,MIMEC,2.2
2015,2010 = 100,Veränderung der Wassernutzungseffizienz,MIMEC,9.2
2016,2010 = 100,Veränderung der Wassernutzungseffizienz,MIMEC,8.3
2017,2010 = 100,Veränderung der Wassernutzungseffizienz,MIMEC,6.1
2018,2010 = 100,Veränderung der Wassernutzungseffizienz,MIMEC,8.6
2019,2010 = 100,Veränderung der Wassernutzungseffizienz,MIMEC,8.9
2010,2010 = 100,Veränderung der Wassernutzungseffizienz,Dienstleistungen,
2011,2010 = 100,Veränderung der Wassernutzungseffizienz,Dienstleistungen,6.7
2012,2010 = 100,Veränderung der Wassernutzungseffizienz,Dienstleistungen,2.9
2013,2010 = 100,Veränderung der Wassernutzungseffizienz,Dienstleistungen,1.6
2014,2010 = 100,Veränderung der Wassernutzungseffizienz,Dienstleistungen,5.9
2015,2010 = 100,Veränderung der Wassernutzungseffizienz,Dienstleistungen,5.5
2016,2010 = 100,Veränderung der Wassernutzungseffizienz,Dienstleistungen,3.9
