Year,Units,Type of biomass,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,Million tonnes carbon,,,,,Above-ground biomass stock in forest,51.2
2011,Million tonnes carbon,,,,,Above-ground biomass stock in forest,49.0
2012,Million tonnes carbon,,,,,Above-ground biomass stock in forest,50.8
2013,Million tonnes carbon,,,,,Above-ground biomass stock in forest,53.4
2014,Million tonnes carbon,,r,,,Above-ground biomass stock in forest,52.6
2015,Million tonnes carbon,,r,,,Above-ground biomass stock in forest,51.5
2016,Million tonnes carbon,,r,,,Above-ground biomass stock in forest,51.8
2017,Million tonnes carbon,,r,,,Above-ground biomass stock in forest,53.5
2018,Million tonnes carbon,,,,,Above-ground biomass stock in forest,53.0
2019,Million tonnes carbon,,,,,Above-ground biomass stock in forest,49.4
2020,Million tonnes carbon,,,,,Above-ground biomass stock in forest,45.2
2021,Million tonnes carbon,,,,,Above-ground biomass stock in forest,49.3
2010,Percentage,,r,,,Forest area located within protected areas,37.0
2011,Percentage,,r,,,Forest area located within protected areas,36.7
2012,Percentage,,r,,,Forest area located within protected areas,37.1
2013,Percentage,,r,,,Forest area located within protected areas,36.5
2014,Percentage,,r,,,Forest area located within protected areas,34.6
2015,Percentage,,r,,,Forest area located within protected areas,33.8
2016,Percentage,,r,,,Forest area located within protected areas,32.8
2017,Percentage,,r,,,Forest area located within protected areas,33.0
2018,Percentage,,r,,,Forest area located within protected areas,34.3
2019,Percentage,,r,,,Forest area located within protected areas,31.0
2020,Percentage,,,,,Forest area located within protected areas,29.1
2021,Percentage,,,,,Forest area located within protected areas,30.8
2010,Percentage,,,,,Forest area net change rate,27.5
2011,Percentage,,,,,Forest area net change rate,25.9
2012,Percentage,,r,,,Forest area net change rate,27.3
2013,Percentage,,,,,Forest area net change rate,27.6
2014,Percentage,,,,,Forest area net change rate,26.4
2015,Percentage,,,,,Forest area net change rate,26.1
2016,Percentage,,,,,Forest area net change rate,26.0
2017,Percentage,,,,,Forest area net change rate,26.0
2018,Percentage,,r,,,Forest area net change rate,25.6
2019,Percentage,,r,,,Forest area net change rate,24.0
2020,Percentage,,,,,Forest area net change rate,23.6
2021,Percentage,,,,,Forest area net change rate,23.5
2010,Percentage,,,,,Forest area under an independently verified forest management certification scheme,13.9
2011,Percentage,,,,,Forest area under an independently verified forest management certification scheme,13.2
2012,Percentage,,,,,Forest area under an independently verified forest management certification scheme,13.5
2013,Percentage,,,,,Forest area under an independently verified forest management certification scheme,13.6
2014,Percentage,,,,,Forest area under an independently verified forest management certification scheme,13.0
2015,Percentage,,,,,Forest area under an independently verified forest management certification scheme,13.0
2016,Percentage,,,,,Forest area under an independently verified forest management certification scheme,13.3
