Year,Units,type of waste treatment,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,kilogram per capita,,.,,,a) hazardous waste generated per capita,
2011,kilogram per capita,,.,,,a) hazardous waste generated per capita,
2012,kilogram per capita,,,,,a) hazardous waste generated per capita,10.1
2013,kilogram per capita,,,,,a) hazardous waste generated per capita,10.1
2014,kilogram per capita,,,,,a) hazardous waste generated per capita,10.3
2015,kilogram per capita,,,,,a) hazardous waste generated per capita,10.2
2016,kilogram per capita,,,,,a) hazardous waste generated per capita,10.5
2017,kilogram per capita,,,,,a) hazardous waste generated per capita,10.1
2018,kilogram per capita,,,,,a) hazardous waste generated per capita,10.6
2019,kilogram per capita,,,,,a) hazardous waste generated per capita,9.7
2020,kilogram per capita,,,,,a) hazardous waste generated per capita,11.2
2021,kilogram per capita,,|,,,a) hazardous waste generated per capita,10.9
2022,kilogram per capita,,,,,a) hazardous waste generated per capita,11.6
2023,kilogram per capita,,,,,a) hazardous waste generated per capita,12.1
2024,kilogram per capita,,|,,,a) hazardous waste generated per capita,12.9
2010,percentage,,.,,,b) hazardous waste treated,
2011,percentage,,.,,,b) hazardous waste treated,
2012,percentage,,,,,b) hazardous waste treated,17.8
2013,percentage,,,,,b) hazardous waste treated,17.7
2014,percentage,,,,,b) hazardous waste treated,17.9
2015,percentage,,,,,b) hazardous waste treated,17.6
2016,percentage,,,,,b) hazardous waste treated,18.1
2017,percentage,,,,,b) hazardous waste treated,17.4
2018,percentage,,,,,b) hazardous waste treated,18.2
2019,percentage,,,,,b) hazardous waste treated,16.3
2020,percentage,,,,,b) hazardous waste treated,18.9
2021,percentage,,|,,,b) hazardous waste treated,18.2
2022,percentage,,,,,b) hazardous waste treated,19.3
2023,percentage,,,,,b) hazardous waste treated,19.7
2024,percentage,,|,,,b) hazardous waste treated,20.9
2010,percentage,energy recovery,.,,,b) hazardous waste treated,
2011,percentage,energy recovery,.,,,b) hazardous waste treated,
2012,percentage,energy recovery,,,,b) hazardous waste treated,2.3
2013,percentage,energy recovery,,,,b) hazardous waste treated,2.3
2014,percentage,energy recovery,,,,b) hazardous waste treated,2.5
2015,percentage,energy recovery,,,,b) hazardous waste treated,2.4
2016,percentage,energy recovery,,,,b) hazardous waste treated,2.7
2017,percentage,energy recovery,,,,b) hazardous waste treated,2.6
2018,percentage,energy recovery,,,,b) hazardous waste treated,2.9
2019,percentage,energy recovery,,,,b) hazardous waste treated,2.9
