Year,Zeitreihe,Geschlecht,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Daten der VGR des Statistischen Bundesamtes,,…,,,
2011,Daten der VGR des Statistischen Bundesamtes,,…,,,
2012,Daten der VGR des Statistischen Bundesamtes,,…,,,
2013,Daten der VGR des Statistischen Bundesamtes,,…,,,
2014,Daten der VGR des Statistischen Bundesamtes,,…,,,
2015,Daten der VGR des Statistischen Bundesamtes,,…,,,
2016,Daten der VGR des Statistischen Bundesamtes,,…,,,
2017,Daten der VGR des Statistischen Bundesamtes,,…,,,
2018,Daten der VGR des Statistischen Bundesamtes,,…,,,
2019,Daten der VGR des Statistischen Bundesamtes,,…,,,
2020,Daten der VGR des Statistischen Bundesamtes,,,,,6722.0
2021,Daten der VGR des Statistischen Bundesamtes,,,,,7346.0
2022,Daten der VGR des Statistischen Bundesamtes,,,,,7746.0
2023,Daten der VGR des Statistischen Bundesamtes,,,,,7414.0
2010,Daten der AKE des Statistischen Bundesamtes,,…,,,
2011,Daten der AKE des Statistischen Bundesamtes,,…,,,
2012,Daten der AKE des Statistischen Bundesamtes,,…,,,
2013,Daten der AKE des Statistischen Bundesamtes,,…,,,
2014,Daten der AKE des Statistischen Bundesamtes,,…,,,
2015,Daten der AKE des Statistischen Bundesamtes,,…,,,
2016,Daten der AKE des Statistischen Bundesamtes,,…,,,
2017,Daten der AKE des Statistischen Bundesamtes,,…,,,
2018,Daten der AKE des Statistischen Bundesamtes,,…,,,
2019,Daten der AKE des Statistischen Bundesamtes,,…,,,
2020,Daten der AKE des Statistischen Bundesamtes,,,,,45264.0
2021,Daten der AKE des Statistischen Bundesamtes,,,,,45513.0
2022,Daten der AKE des Statistischen Bundesamtes,,,,,44077.0
2023,Daten der AKE des Statistischen Bundesamtes,,,,,47678.0
2010,Daten der AKE des Statistischen Bundesamtes,Weiblich,…,,,
2011,Daten der AKE des Statistischen Bundesamtes,Weiblich,…,,,
2012,Daten der AKE des Statistischen Bundesamtes,Weiblich,…,,,
2013,Daten der AKE des Statistischen Bundesamtes,Weiblich,…,,,
2014,Daten der AKE des Statistischen Bundesamtes,Weiblich,…,,,
2015,Daten der AKE des Statistischen Bundesamtes,Weiblich,…,,,
2016,Daten der AKE des Statistischen Bundesamtes,Weiblich,…,,,
2017,Daten der AKE des Statistischen Bundesamtes,Weiblich,…,,,
2018,Daten der AKE des Statistischen Bundesamtes,Weiblich,…,,,
2019,Daten der AKE des Statistischen Bundesamtes,Weiblich,…,,,
2020,Daten der AKE des Statistischen Bundesamtes,Weiblich,,,,24773.0
2021,Daten der AKE des Statistischen Bundesamtes,Weiblich,,,,29873.0
2022,Daten der AKE des Statistischen Bundesamtes,Weiblich,,,,33751.0
2023,Daten der AKE des Statistischen Bundesamtes,Weiblich,,,,31106.0
2010,Daten der AKE des Statistischen Bundesamtes,Männlich,…,,,
2011,Daten der AKE des Statistischen Bundesamtes,Männlich,…,,,
2012,Daten der AKE des Statistischen Bundesamtes,Männlich,…,,,
2013,Daten der AKE des Statistischen Bundesamtes,Männlich,…,,,
2014,Daten der AKE des Statistischen Bundesamtes,Männlich,…,,,
2015,Daten der AKE des Statistischen Bundesamtes,Männlich,…,,,
2016,Daten der AKE des Statistischen Bundesamtes,Männlich,…,,,
2017,Daten der AKE des Statistischen Bundesamtes,Männlich,…,,,
2018,Daten der AKE des Statistischen Bundesamtes,Männlich,…,,,
2019,Daten der AKE des Statistischen Bundesamtes,Männlich,…,,,
2020,Daten der AKE des Statistischen Bundesamtes,Männlich,,,,59091.0
2021,Daten der AKE des Statistischen Bundesamtes,Männlich,,,,61658.0
2022,Daten der AKE des Statistischen Bundesamtes,Männlich,,,,66304.0
2023,Daten der AKE des Statistischen Bundesamtes,Männlich,,,,63200.0
