Year,Time series,Sex,Value
2010,Manufacturing persons employed (Data from National Accounts),,17.39
2011,Manufacturing persons employed (Data from National Accounts),,17.54
2012,Manufacturing persons employed (Data from National Accounts),,17.64
2013,Manufacturing persons employed (Data from National Accounts),,17.56
2014,Manufacturing persons employed (Data from National Accounts),,17.51
2015,Manufacturing persons employed (Data from National Accounts),,17.41
2016,Manufacturing persons employed (Data from National Accounts),,17.25
2017,Manufacturing persons employed (Data from National Accounts),,17.16
2018,Manufacturing persons employed (Data from National Accounts),,17.21
2019,Manufacturing persons employed (Data from National Accounts),,17.15
2020,Manufacturing persons employed (Data from National Accounts),,16.86
2021,Manufacturing persons employed (Data from National Accounts),,16.61
2022,Manufacturing persons employed (Data from National Accounts),,16.45
2010,Manufacturing persons employed (Data from labor force survey),,19.95
2011,Manufacturing persons employed (Data from labor force survey),,19.84
2012,Manufacturing persons employed (Data from labor force survey),,19.73
2013,Manufacturing persons employed (Data from labor force survey),,19.35
2014,Manufacturing persons employed (Data from labor force survey),,19.58
2015,Manufacturing persons employed (Data from labor force survey),,19.3
2016,Manufacturing persons employed (Data from labor force survey),,19.15
2017,Manufacturing persons employed (Data from labor force survey),,19.04
2018,Manufacturing persons employed (Data from labor force survey),,19.07
2019,Manufacturing persons employed (Data from labor force survey),,18.9
2020,Manufacturing persons employed (Data from labor force survey),,19.92
2021,Manufacturing persons employed (Data from labor force survey),,19.93
2022,Manufacturing persons employed (Data from labor force survey),,
2010,Manufacturing persons employed (Data from labor force survey),Female,11.69
2011,Manufacturing persons employed (Data from labor force survey),Female,11.64
2012,Manufacturing persons employed (Data from labor force survey),Female,11.59
2013,Manufacturing persons employed (Data from labor force survey),Female,11.41
2014,Manufacturing persons employed (Data from labor force survey),Female,11.51
2015,Manufacturing persons employed (Data from labor force survey),Female,11.24
2016,Manufacturing persons employed (Data from labor force survey),Female,11.16
2017,Manufacturing persons employed (Data from labor force survey),Female,11.09
2018,Manufacturing persons employed (Data from labor force survey),Female,11.23
2019,Manufacturing persons employed (Data from labor force survey),Female,11.02
2020,Manufacturing persons employed (Data from labor force survey),Female,11.17
2021,Manufacturing persons employed (Data from labor force survey),Female,11.36
2022,Manufacturing persons employed (Data from labor force survey),Female,
2010,Manufacturing persons employed (Data from labor force survey),Male,27.06
2011,Manufacturing persons employed (Data from labor force survey),Male,26.92
2012,Manufacturing persons employed (Data from labor force survey),Male,26.73
2013,Manufacturing persons employed (Data from labor force survey),Male,26.25
2014,Manufacturing persons employed (Data from labor force survey),Male,26.62
2015,Manufacturing persons employed (Data from labor force survey),Male,26.35
2016,Manufacturing persons employed (Data from labor force survey),Male,26.11
2017,Manufacturing persons employed (Data from labor force survey),Male,25.94
2018,Manufacturing persons employed (Data from labor force survey),Male,25.91
2019,Manufacturing persons employed (Data from labor force survey),Male,25.79
2020,Manufacturing persons employed (Data from labor force survey),Male,27.62
2021,Manufacturing persons employed (Data from labor force survey),Male,27.46
2022,Manufacturing persons employed (Data from labor force survey),Male,
