Year,Time series,Sex,Economic activity,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Fatal occupational accidents,,,,,,1.2
2011,Fatal occupational accidents,,,,,,1.2
2012,Fatal occupational accidents,,,,,,1.2
2013,Fatal occupational accidents,,,,,,1.0
2014,Fatal occupational accidents,,,,,,1.2
2015,Fatal occupational accidents,,,,,,1.0
2016,Fatal occupational accidents,,,,,,1.0
2017,Fatal occupational accidents,,,|,,,0.9
2018,Fatal occupational accidents,,,,,,0.8
2019,Fatal occupational accidents,,,,,,0.8
2020,Fatal occupational accidents,,,|,,,0.7
2021,Fatal occupational accidents,,,,,,0.8
2022,Fatal occupational accidents,,,,,,0.7
2023,Fatal occupational accidents,,,,,,0.7
2024,Fatal occupational accidents,,,,,,0.6
2010,Fatal occupational accidents,Female,,,,,0.2
2011,Fatal occupational accidents,Female,,,,,0.1
2012,Fatal occupational accidents,Female,,,,,0.2
2013,Fatal occupational accidents,Female,,,,,0.1
2014,Fatal occupational accidents,Female,,,,,0.2
2015,Fatal occupational accidents,Female,,,,,0.1
2016,Fatal occupational accidents,Female,,,,,0.1
2017,Fatal occupational accidents,Female,,|,,,0.1
2018,Fatal occupational accidents,Female,,,,,0.1
2019,Fatal occupational accidents,Female,,,,,0.1
2020,Fatal occupational accidents,Female,,|,,,0.1
2021,Fatal occupational accidents,Female,,,,,0.1
2022,Fatal occupational accidents,Female,,,,,0.1
2023,Fatal occupational accidents,Female,,,,,0.1
2024,Fatal occupational accidents,Female,,,,,0.1
2010,Fatal occupational accidents,Male,,,,,2.1
2011,Fatal occupational accidents,Male,,,,,2.2
2012,Fatal occupational accidents,Male,,,,,2.1
2013,Fatal occupational accidents,Male,,,,,1.9
2014,Fatal occupational accidents,Male,,,,,2.1
2015,Fatal occupational accidents,Male,,,,,1.8
2016,Fatal occupational accidents,Male,,,,,1.8
2017,Fatal occupational accidents,Male,,|,,,1.6
2018,Fatal occupational accidents,Male,,,,,1.4
2019,Fatal occupational accidents,Male,,,,,1.4
2020,Fatal occupational accidents,Male,,|,,,1.3
2021,Fatal occupational accidents,Male,,,,,1.5
2022,Fatal occupational accidents,Male,,,,,1.3
