Year,COMMENT_OBS,sea,Series,Value
2010,r,,sustainably managed fish stocks in the north and baltic seas on all msy examined stocks,38.7
2011,r,,sustainably managed fish stocks in the north and baltic seas on all msy examined stocks,38.7
2012,r,,sustainably managed fish stocks in the north and baltic seas on all msy examined stocks,41.9
2013,r,,sustainably managed fish stocks in the north and baltic seas on all msy examined stocks,41.9
2014,r,,sustainably managed fish stocks in the north and baltic seas on all msy examined stocks,35.5
2015,r,,sustainably managed fish stocks in the north and baltic seas on all msy examined stocks,41.9
2016,r,,sustainably managed fish stocks in the north and baltic seas on all msy examined stocks,45.2
2017,r,,sustainably managed fish stocks in the north and baltic seas on all msy examined stocks,46.9
2018,r,,sustainably managed fish stocks in the north and baltic seas on all msy examined stocks,50.0
2019,r,,sustainably managed fish stocks in the north and baltic seas on all msy examined stocks,43.8
2020,r,,sustainably managed fish stocks in the north and baltic seas on all msy examined stocks,53.1
2021,,,sustainably managed fish stocks in the north and baltic seas on all msy examined stocks,65.6
2010,r,greater north sea,sustainably managed fish stocks in the north and baltic seas on all msy examined stocks,36.4
2011,r,greater north sea,sustainably managed fish stocks in the north and baltic seas on all msy examined stocks,36.4
2012,r,greater north sea,sustainably managed fish stocks in the north and baltic seas on all msy examined stocks,36.4
2013,r,greater north sea,sustainably managed fish stocks in the north and baltic seas on all msy examined stocks,36.4
2014,r,greater north sea,sustainably managed fish stocks in the north and baltic seas on all msy examined stocks,31.8
2015,r,greater north sea,sustainably managed fish stocks in the north and baltic seas on all msy examined stocks,40.9
2016,r,greater north sea,sustainably managed fish stocks in the north and baltic seas on all msy examined stocks,45.5
2017,r,greater north sea,sustainably managed fish stocks in the north and baltic seas on all msy examined stocks,47.8
2018,r,greater north sea,sustainably managed fish stocks in the north and baltic seas on all msy examined stocks,52.2
2019,r,greater north sea,sustainably managed fish stocks in the north and baltic seas on all msy examined stocks,39.1
2020,r,greater north sea,sustainably managed fish stocks in the north and baltic seas on all msy examined stocks,52.2
2021,,greater north sea,sustainably managed fish stocks in the north and baltic seas on all msy examined stocks,65.2
2010,,baltic sea,sustainably managed fish stocks in the north and baltic seas on all msy examined stocks,44.4
2011,r,baltic sea,sustainably managed fish stocks in the north and baltic seas on all msy examined stocks,44.4
2012,r,baltic sea,sustainably managed fish stocks in the north and baltic seas on all msy examined stocks,55.6
2013,r,baltic sea,sustainably managed fish stocks in the north and baltic seas on all msy examined stocks,55.6
2014,r,baltic sea,sustainably managed fish stocks in the north and baltic seas on all msy examined stocks,44.4
2015,r,baltic sea,sustainably managed fish stocks in the north and baltic seas on all msy examined stocks,44.4
2016,r,baltic sea,sustainably managed fish stocks in the north and baltic seas on all msy examined stocks,44.4
2017,r,baltic sea,sustainably managed fish stocks in the north and baltic seas on all msy examined stocks,44.4
2018,r,baltic sea,sustainably managed fish stocks in the north and baltic seas on all msy examined stocks,44.4
2019,r,baltic sea,sustainably managed fish stocks in the north and baltic seas on all msy examined stocks,55.6
2020,r,baltic sea,sustainably managed fish stocks in the north and baltic seas on all msy examined stocks,55.6
2021,,baltic sea,sustainably managed fish stocks in the north and baltic seas on all msy examined stocks,66.7
2010,r,,msy examined fish stocks in all managed stocks,39.7
2011,r,,msy examined fish stocks in all managed stocks,39.7
2012,r,,msy examined fish stocks in all managed stocks,39.7
2013,r,,msy examined fish stocks in all managed stocks,39.7
2014,r,,msy examined fish stocks in all managed stocks,39.7
2015,r,,msy examined fish stocks in all managed stocks,39.7
2016,r,,msy examined fish stocks in all managed stocks,39.7
2017,r,,msy examined fish stocks in all managed stocks,41.0
2018,r,,msy examined fish stocks in all managed stocks,41.0
2019,r,,msy examined fish stocks in all managed stocks,41.0
2020,r,,msy examined fish stocks in all managed stocks,41.0
2021,,,msy examined fish stocks in all managed stocks,41.0
