Year,form of abuse,age group,sex,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,,1 to under 18 years,,,,,
2011,,1 to under 18 years,,,,,
2012,,1 to under 18 years,,,,,
2013,,1 to under 18 years,,,,,
2014,,1 to under 18 years,,,,,
2015,,1 to under 18 years,,,,,
2016,,1 to under 18 years,,,,,
2017,,1 to under 18 years,,,,,
2018,,1 to under 18 years,,,,,
2019,,1 to under 18 years,,,,,
2020,,1 to under 18 years,,,,,
2021,,1 to under 18 years,,,,,
2022,,1 to under 18 years,,,,,
2023,,1 to under 18 years,,,,,
2024,,1 to under 18 years,,,,,
2010,,1 to under 18 years,female,.,,,
2011,,1 to under 18 years,female,.,,,
2012,,1 to under 18 years,female,,,,0.08
2013,,1 to under 18 years,female,,,,0.08
2014,,1 to under 18 years,female,,,,0.08
2015,,1 to under 18 years,female,,,,0.09
2016,,1 to under 18 years,female,,,,0.1
2017,,1 to under 18 years,female,,,,0.1
2018,,1 to under 18 years,female,,,,0.12
2019,,1 to under 18 years,female,,,,0.14
2020,,1 to under 18 years,female,,,,0.15
2021,,1 to under 18 years,female,,,,0.16
2022,,1 to under 18 years,female,r,,,0.18
2023,,1 to under 18 years,female,,,,0.17
2024,,1 to under 18 years,female,,,,0.22
2010,,1 to under 18 years,male,.,,,
2011,,1 to under 18 years,male,.,,,
2012,,1 to under 18 years,male,,,,0.07
2013,,1 to under 18 years,male,,,,0.07
2014,,1 to under 18 years,male,,,,0.07
2015,,1 to under 18 years,male,,,,0.08
2016,,1 to under 18 years,male,,,,0.09
2017,,1 to under 18 years,male,,,,0.09
2018,,1 to under 18 years,male,,,,0.11
2019,,1 to under 18 years,male,,,,0.13
2020,,1 to under 18 years,male,r,,,0.14
2021,,1 to under 18 years,male,r,,,0.14
2022,,1 to under 18 years,male,,,,0.15
2023,,1 to under 18 years,male,,,,0.16
2024,,1 to under 18 years,male,,,,0.19
2010,,1 to under 15 years,,,,,
2011,,1 to under 15 years,,,,,
2012,,1 to under 15 years,,,,,
2013,,1 to under 15 years,,,,,
2014,,1 to under 15 years,,,,,
2015,,1 to under 15 years,,,,,
2016,,1 to under 15 years,,,,,
2017,,1 to under 15 years,,,,,
2018,,1 to under 15 years,,,,,
2019,,1 to under 15 years,,,,,
2020,,1 to under 15 years,,,,,
2021,,1 to under 15 years,,,,,
2022,,1 to under 15 years,,,,,
2023,,1 to under 15 years,,,,,
2024,,1 to under 15 years,,,,,
2010,,1 to under 15 years,female,,,,
2011,,1 to under 15 years,female,,,,
2012,,1 to under 15 years,female,,,,
2013,,1 to under 15 years,female,,,,
2014,,1 to under 15 years,female,,,,
2015,,1 to under 15 years,female,,,,
2016,,1 to under 15 years,female,,,,
2017,,1 to under 15 years,female,,,,
2018,,1 to under 15 years,female,,,,
2019,,1 to under 15 years,female,,,,
2020,,1 to under 15 years,female,,,,
2021,,1 to under 15 years,female,,,,
2022,,1 to under 15 years,female,,,,
2023,,1 to under 15 years,female,,,,
2024,,1 to under 15 years,female,,,,
2010,,1 to under 15 years,male,,,,
2011,,1 to under 15 years,male,,,,
2012,,1 to under 15 years,male,,,,
2013,,1 to under 15 years,male,,,,
2014,,1 to under 15 years,male,,,,
2015,,1 to under 15 years,male,,,,
2016,,1 to under 15 years,male,,,,
2017,,1 to under 15 years,male,,,,
2018,,1 to under 15 years,male,,,,
2019,,1 to under 15 years,male,,,,
2020,,1 to under 15 years,male,,,,
2021,,1 to under 15 years,male,,,,
2022,,1 to under 15 years,male,,,,
2023,,1 to under 15 years,male,,,,
2024,,1 to under 15 years,male,,,,
2010,,15 to under 18 years,,,,,
2011,,15 to under 18 years,,,,,
2012,,15 to under 18 years,,,,,
2013,,15 to under 18 years,,,,,
2014,,15 to under 18 years,,,,,
2015,,15 to under 18 years,,,,,
2016,,15 to under 18 years,,,,,
2017,,15 to under 18 years,,,,,
2018,,15 to under 18 years,,,,,
2019,,15 to under 18 years,,,,,
2020,,15 to under 18 years,,,,,
2021,,15 to under 18 years,,,,,
2022,,15 to under 18 years,,,,,
2023,,15 to under 18 years,,,,,
2024,,15 to under 18 years,,,,,
2010,,15 to under 18 years,female,,,,
2011,,15 to under 18 years,female,,,,
2012,,15 to under 18 years,female,,,,
2013,,15 to under 18 years,female,,,,
2014,,15 to under 18 years,female,,,,
2015,,15 to under 18 years,female,,,,
2016,,15 to under 18 years,female,,,,
2017,,15 to under 18 years,female,,,,
2018,,15 to under 18 years,female,,,,
2019,,15 to under 18 years,female,,,,
2020,,15 to under 18 years,female,,,,
2021,,15 to under 18 years,female,,,,
2022,,15 to under 18 years,female,,,,
2023,,15 to under 18 years,female,,,,
2024,,15 to under 18 years,female,,,,
2010,,15 to under 18 years,male,,,,
2011,,15 to under 18 years,male,,,,
2012,,15 to under 18 years,male,,,,
2013,,15 to under 18 years,male,,,,
2014,,15 to under 18 years,male,,,,
2015,,15 to under 18 years,male,,,,
2016,,15 to under 18 years,male,,,,
2017,,15 to under 18 years,male,,,,
2018,,15 to under 18 years,male,,,,
2019,,15 to under 18 years,male,,,,
