Year,Units,Domain,Field of work,Level of court,Series,Value
2010,Percentage,Working age population,,,Proportion of women,49.5
2011,Percentage,Working age population,,,Proportion of women,49.8
2012,Percentage,Working age population,,,Proportion of women,49.8
2013,Percentage,Working age population,,,Proportion of women,49.7
2014,Percentage,Working age population,,,Proportion of women,49.6
2015,Percentage,Working age population,,,Proportion of women,49.4
2016,Percentage,Working age population,,,Proportion of women,49.4
2017,Percentage,Working age population,,,Proportion of women,49.4
2018,Percentage,Working age population,,,Proportion of women,49.4
2019,Percentage,Working age population,,,Proportion of women,49.4
2020,Percentage,Working age population,,,Proportion of women,49.4
2021,Percentage,Working age population,,,Proportion of women,49.4
2022,Percentage,Working age population,,,Proportion of women,
2010,Percentage,Bundestag (Lower chamber),,,Proportion of women,32.8
2011,Percentage,Bundestag (Lower chamber),,,Proportion of women,33.1
2012,Percentage,Bundestag (Lower chamber),,,Proportion of women,32.9
2013,Percentage,Bundestag (Lower chamber),,,Proportion of women,32.9
2014,Percentage,Bundestag (Lower chamber),,,Proportion of women,36.5
2015,Percentage,Bundestag (Lower chamber),,,Proportion of women,36.3
2016,Percentage,Bundestag (Lower chamber),,,Proportion of women,36.8
2017,Percentage,Bundestag (Lower chamber),,,Proportion of women,37.1
2018,Percentage,Bundestag (Lower chamber),,,Proportion of women,30.9
2019,Percentage,Bundestag (Lower chamber),,,Proportion of women,31.2
2020,Percentage,Bundestag (Lower chamber),,,Proportion of women,31.3
2021,Percentage,Bundestag (Lower chamber),,,Proportion of women,31.5
2022,Percentage,Bundestag (Lower chamber),,,Proportion of women,34.9
2010,Percentage,Bundesrat (Upper chamber),,,Proportion of women,18.8
2011,Percentage,Bundesrat (Upper chamber),,,Proportion of women,24.6
2012,Percentage,Bundesrat (Upper chamber),,,Proportion of women,27.5
2013,Percentage,Bundesrat (Upper chamber),,,Proportion of women,29.0
2014,Percentage,Bundesrat (Upper chamber),,,Proportion of women,34.8
2015,Percentage,Bundesrat (Upper chamber),,,Proportion of women,40.6
2016,Percentage,Bundesrat (Upper chamber),,,Proportion of women,37.7
