Year,Age group,Sex,Value
2010,16 to under 75 years,,80.0
2011,16 to under 75 years,,81.0
2012,16 to under 75 years,,82.0
2013,16 to under 75 years,,84.0
2014,16 to under 75 years,,86.0
2015,16 to under 75 years,,88.0
2016,16 to under 75 years,,90.0
2017,16 to under 75 years,,90.0
2018,16 to under 75 years,,92.0
2019,16 to under 75 years,,93.0
2020,16 to under 75 years,,94.0
2021,16 to under 75 years,,
2010,16 to under 75 years,Female,76.0
2011,16 to under 75 years,Female,78.0
2012,16 to under 75 years,Female,79.0
2013,16 to under 75 years,Female,81.0
2014,16 to under 75 years,Female,84.0
2015,16 to under 75 years,Female,85.0
2016,16 to under 75 years,Female,88.0
2017,16 to under 75 years,Female,89.0
2018,16 to under 75 years,Female,91.0
2019,16 to under 75 years,Female,92.0
2020,16 to under 75 years,Female,93.0
2021,16 to under 75 years,Female,91.0
2010,16 to under 75 years,Male,84.0
2011,16 to under 75 years,Male,84.0
2012,16 to under 75 years,Male,85.0
2013,16 to under 75 years,Male,87.0
2014,16 to under 75 years,Male,89.0
2015,16 to under 75 years,Male,90.0
2016,16 to under 75 years,Male,91.0
2017,16 to under 75 years,Male,92.0
2018,16 to under 75 years,Male,94.0
2019,16 to under 75 years,Male,94.0
2020,16 to under 75 years,Male,95.0
2021,16 to under 75 years,Male,92.0
2010,16 to under 25 years,,98.0
2011,16 to under 25 years,,99.0
2012,16 to under 25 years,,98.0
2013,16 to under 25 years,,98.0
2014,16 to under 25 years,,99.0
2015,16 to under 25 years,,99.0
2016,16 to under 25 years,,99.0
2017,16 to under 25 years,,99.0
2018,16 to under 25 years,,99.0
2019,16 to under 25 years,,99.0
2020,16 to under 25 years,,99.0
2021,16 to under 25 years,,98.0
2010,25 to under 65 years,,85.0
2011,25 to under 65 years,,87.0
2012,25 to under 65 years,,88.0
2013,25 to under 65 years,,89.0
2014,25 to under 65 years,,91.0
2015,25 to under 65 years,,92.0
2016,25 to under 65 years,,93.0
2017,25 to under 65 years,,93.0
2018,25 to under 65 years,,95.0
2019,25 to under 65 years,,96.0
2020,25 to under 65 years,,97.0
2021,25 to under 65 years,,94.0
2010,65 to under 75 years,,41.0
2011,65 to under 75 years,,41.0
2012,65 to under 75 years,,43.0
2013,65 to under 75 years,,50.0
2014,65 to under 75 years,,53.0
2015,65 to under 75 years,,56.0
2016,65 to under 75 years,,62.0
2017,65 to under 75 years,,64.0
2018,65 to under 75 years,,71.0
2019,65 to under 75 years,,72.0
2020,65 to under 75 years,,76.0
2021,65 to under 75 years,,74.0
