Year,Units,Art des Finanzstroms,Art der öffentlichen Entwicklungsleistung,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Millionen EUR,Öffentliche Entwicklungsleistungen,Zusagen,,,,999
2011,Millionen EUR,Öffentliche Entwicklungsleistungen,Zusagen,,,,999
2012,Millionen EUR,Öffentliche Entwicklungsleistungen,Zusagen,,,,999
2013,Millionen EUR,Öffentliche Entwicklungsleistungen,Zusagen,,,,999
2014,Millionen EUR,Öffentliche Entwicklungsleistungen,Zusagen,,,,999
2015,Millionen EUR,Öffentliche Entwicklungsleistungen,Zusagen,,,,999
2016,Millionen EUR,Öffentliche Entwicklungsleistungen,Zusagen,,,,999
2017,Millionen EUR,Öffentliche Entwicklungsleistungen,Zusagen,,,,999
2018,Millionen EUR,Öffentliche Entwicklungsleistungen,Zusagen,,,,999
2019,Millionen EUR,Öffentliche Entwicklungsleistungen,Zusagen,,,,999
2020,Millionen EUR,Öffentliche Entwicklungsleistungen,Zusagen,,,,999
2021,Millionen EUR,Öffentliche Entwicklungsleistungen,Zusagen,,,,999
2022,Millionen EUR,Öffentliche Entwicklungsleistungen,Zusagen,,,,999
2023,Millionen EUR,Öffentliche Entwicklungsleistungen,Zusagen,,,,999
2024,Millionen EUR,Öffentliche Entwicklungsleistungen,Zusagen,,,,999
2010,Millionen EUR,Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,999
2011,Millionen EUR,Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,999
2012,Millionen EUR,Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,999
2013,Millionen EUR,Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,999
2014,Millionen EUR,Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,999
2015,Millionen EUR,Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,999
2016,Millionen EUR,Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,999
2017,Millionen EUR,Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,999
2018,Millionen EUR,Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,999
2019,Millionen EUR,Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,999
2020,Millionen EUR,Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,999
2021,Millionen EUR,Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,999
2022,Millionen EUR,Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,999
2023,Millionen EUR,Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,999
2024,Millionen EUR,Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,999
2010,Millionen EUR,Sonstige öffentliche Leistungen,Zusagen,,,,999
2011,Millionen EUR,Sonstige öffentliche Leistungen,Zusagen,,,,999
2012,Millionen EUR,Sonstige öffentliche Leistungen,Zusagen,,,,999
2013,Millionen EUR,Sonstige öffentliche Leistungen,Zusagen,,,,999
2014,Millionen EUR,Sonstige öffentliche Leistungen,Zusagen,,,,999
2015,Millionen EUR,Sonstige öffentliche Leistungen,Zusagen,,,,999
2016,Millionen EUR,Sonstige öffentliche Leistungen,Zusagen,,,,999
2017,Millionen EUR,Sonstige öffentliche Leistungen,Zusagen,,,,999
2018,Millionen EUR,Sonstige öffentliche Leistungen,Zusagen,,,,999
2019,Millionen EUR,Sonstige öffentliche Leistungen,Zusagen,,,,999
2020,Millionen EUR,Sonstige öffentliche Leistungen,Zusagen,,,,999
2021,Millionen EUR,Sonstige öffentliche Leistungen,Zusagen,,,,999
2022,Millionen EUR,Sonstige öffentliche Leistungen,Zusagen,,,,999
2023,Millionen EUR,Sonstige öffentliche Leistungen,Zusagen,,,,999
2024,Millionen EUR,Sonstige öffentliche Leistungen,Zusagen,,,,999
2010,Millionen EUR,Sonstige öffentliche Leistungen,Bruttoauszahlungen,,,,999
2011,Millionen EUR,Sonstige öffentliche Leistungen,Bruttoauszahlungen,,,,999
2012,Millionen EUR,Sonstige öffentliche Leistungen,Bruttoauszahlungen,,,,999
2013,Millionen EUR,Sonstige öffentliche Leistungen,Bruttoauszahlungen,,,,999
2014,Millionen EUR,Sonstige öffentliche Leistungen,Bruttoauszahlungen,,,,999
2015,Millionen EUR,Sonstige öffentliche Leistungen,Bruttoauszahlungen,,,,999
2016,Millionen EUR,Sonstige öffentliche Leistungen,Bruttoauszahlungen,,,,999
2017,Millionen EUR,Sonstige öffentliche Leistungen,Bruttoauszahlungen,,,,999
2018,Millionen EUR,Sonstige öffentliche Leistungen,Bruttoauszahlungen,,,,999
2019,Millionen EUR,Sonstige öffentliche Leistungen,Bruttoauszahlungen,,,,999
2020,Millionen EUR,Sonstige öffentliche Leistungen,Bruttoauszahlungen,,,,999
2021,Millionen EUR,Sonstige öffentliche Leistungen,Bruttoauszahlungen,,,,999
2022,Millionen EUR,Sonstige öffentliche Leistungen,Bruttoauszahlungen,,,,999
2023,Millionen EUR,Sonstige öffentliche Leistungen,Bruttoauszahlungen,,,,999
2024,Millionen EUR,Sonstige öffentliche Leistungen,Bruttoauszahlungen,,,,999
2010,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Zusagen,,,,999
2011,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Zusagen,,,,999
2012,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Zusagen,,,,999
2013,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Zusagen,,,,999
2014,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Zusagen,,,,999
2015,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Zusagen,,,,999
2016,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Zusagen,,,,999
2017,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Zusagen,,,,999
2018,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Zusagen,,,,999
2019,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Zusagen,,,,999
2020,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Zusagen,,,,999
2021,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Zusagen,,,,999
2022,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Zusagen,,,,999
2023,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Zusagen,,,,999
2024,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Zusagen,,,,999
2010,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,999
2011,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,999
2012,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,999
2013,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,999
2014,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,999
2015,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,999
2016,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,999
2017,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,999
2018,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,999
2019,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,999
2020,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,999
2021,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,999
2022,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,999
2023,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,999
2024,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,999
2010,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Zusagen,,,,999
2011,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Zusagen,,,,999
2012,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Zusagen,,,,999
2013,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Zusagen,,,,999
2014,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Zusagen,,,,999
2015,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Zusagen,,,,999
2016,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Zusagen,,,,999
2017,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Zusagen,,,,999
2018,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Zusagen,,,,999
2019,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Zusagen,,,,999
2020,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Zusagen,,,,999
2021,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Zusagen,,,,999
2022,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Zusagen,,,,999
2023,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Zusagen,,,,999
2024,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Zusagen,,,,999
2010,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Bruttoauszahlungen,,,,999
2011,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Bruttoauszahlungen,,,,999
