Year,Series,substance,sex,border,Value
2010,inpatient treatment of substance use disorders,a) drugs,,,37107.0
2011,inpatient treatment of substance use disorders,a) drugs,,,36848.0
2012,inpatient treatment of substance use disorders,a) drugs,,,36166.0
2013,inpatient treatment of substance use disorders,a) drugs,,,40556.0
2014,inpatient treatment of substance use disorders,a) drugs,,,49795.0
2015,inpatient treatment of substance use disorders,a) drugs,,,51919.0
2016,inpatient treatment of substance use disorders,a) drugs,,,52621.0
2017,inpatient treatment of substance use disorders,a) drugs,,,51806.0
2018,inpatient treatment of substance use disorders,a) drugs,,,52380.0
2019,inpatient treatment of substance use disorders,a) drugs,,,53490.0
2010,inpatient treatment of substance use disorders,a) drugs,female,,10451.0
2011,inpatient treatment of substance use disorders,a) drugs,female,,10607.0
2012,inpatient treatment of substance use disorders,a) drugs,female,,10600.0
2013,inpatient treatment of substance use disorders,a) drugs,female,,11290.0
2014,inpatient treatment of substance use disorders,a) drugs,female,,13280.0
2015,inpatient treatment of substance use disorders,a) drugs,female,,13230.0
2016,inpatient treatment of substance use disorders,a) drugs,female,,13303.0
2017,inpatient treatment of substance use disorders,a) drugs,female,,12881.0
2018,inpatient treatment of substance use disorders,a) drugs,female,,12858.0
2019,inpatient treatment of substance use disorders,a) drugs,female,,12921.0
2010,inpatient treatment of substance use disorders,a) drugs,male,,26656.0
2011,inpatient treatment of substance use disorders,a) drugs,male,,26241.0
2012,inpatient treatment of substance use disorders,a) drugs,male,,25566.0
2013,inpatient treatment of substance use disorders,a) drugs,male,,29266.0
2014,inpatient treatment of substance use disorders,a) drugs,male,,36515.0
2015,inpatient treatment of substance use disorders,a) drugs,male,,38689.0
2016,inpatient treatment of substance use disorders,a) drugs,male,,39318.0
2017,inpatient treatment of substance use disorders,a) drugs,male,,38925.0
2018,inpatient treatment of substance use disorders,a) drugs,male,,39522.0
2019,inpatient treatment of substance use disorders,a) drugs,male,,40569.0
2010,inpatient treatment of substance use disorders,a) drugs,unknown,,
2011,inpatient treatment of substance use disorders,a) drugs,unknown,,
2012,inpatient treatment of substance use disorders,a) drugs,unknown,,
2013,inpatient treatment of substance use disorders,a) drugs,unknown,,
2014,inpatient treatment of substance use disorders,a) drugs,unknown,,
2015,inpatient treatment of substance use disorders,a) drugs,unknown,,
2016,inpatient treatment of substance use disorders,a) drugs,unknown,,
2017,inpatient treatment of substance use disorders,a) drugs,unknown,,
2018,inpatient treatment of substance use disorders,a) drugs,unknown,,
2019,inpatient treatment of substance use disorders,a) drugs,unknown,,
2010,inpatient treatment of substance use disorders,b) alcohol and other psychoactive substances,,,191512.0
2011,inpatient treatment of substance use disorders,b) alcohol and other psychoactive substances,,,192159.0
2012,inpatient treatment of substance use disorders,b) alcohol and other psychoactive substances,,,195976.0
2013,inpatient treatment of substance use disorders,b) alcohol and other psychoactive substances,,,194412.0
2014,inpatient treatment of substance use disorders,b) alcohol and other psychoactive substances,,,185305.0
2015,inpatient treatment of substance use disorders,b) alcohol and other psychoactive substances,,,176185.0
2016,inpatient treatment of substance use disorders,b) alcohol and other psychoactive substances,,,170467.0
2017,inpatient treatment of substance use disorders,b) alcohol and other psychoactive substances,,,165834.0
2018,inpatient treatment of substance use disorders,b) alcohol and other psychoactive substances,,,161247.0
