Year,Zeitreihe,Verstädterungsgrad,Geschlecht,Series,Value
2010,Überbelegungsquote,Städte,,Wohnverhältnisse,9.6
2011,Überbelegungsquote,Städte,,Wohnverhältnisse,9.5
2012,Überbelegungsquote,Städte,,Wohnverhältnisse,10.8
2013,Überbelegungsquote,Städte,,Wohnverhältnisse,10.4
2014,Überbelegungsquote,Städte,,Wohnverhältnisse,9.9
2015,Überbelegungsquote,Städte,,Wohnverhältnisse,10.5
2016,Überbelegungsquote,Städte,,Wohnverhältnisse,11.0
2017,Überbelegungsquote,Städte,,Wohnverhältnisse,11.4
2018,Überbelegungsquote,Städte,,Wohnverhältnisse,11.5
2019,Überbelegungsquote,Städte,,Wohnverhältnisse,12.7
2020,Überbelegungsquote,Städte,,Wohnverhältnisse,15.0
2010,Überbelegungsquote,Kleinere Städte und Vororte,,Wohnverhältnisse,4.7
2011,Überbelegungsquote,Kleinere Städte und Vororte,,Wohnverhältnisse,4.1
2012,Überbelegungsquote,Kleinere Städte und Vororte,,Wohnverhältnisse,4.8
2013,Überbelegungsquote,Kleinere Städte und Vororte,,Wohnverhältnisse,5.2
2014,Überbelegungsquote,Kleinere Städte und Vororte,,Wohnverhältnisse,5.2
2015,Überbelegungsquote,Kleinere Städte und Vororte,,Wohnverhältnisse,5.6
2016,Überbelegungsquote,Kleinere Städte und Vororte,,Wohnverhältnisse,5.9
2017,Überbelegungsquote,Kleinere Städte und Vororte,,Wohnverhältnisse,5.3
2018,Überbelegungsquote,Kleinere Städte und Vororte,,Wohnverhältnisse,5.5
2019,Überbelegungsquote,Kleinere Städte und Vororte,,Wohnverhältnisse,5.5
2020,Überbelegungsquote,Kleinere Städte und Vororte,,Wohnverhältnisse,7.9
2010,Überbelegungsquote,Ländliche Gebiete,,Wohnverhältnisse,4.7
2011,Überbelegungsquote,Ländliche Gebiete,,Wohnverhältnisse,4.1
2012,Überbelegungsquote,Ländliche Gebiete,,Wohnverhältnisse,3.7
2013,Überbelegungsquote,Ländliche Gebiete,,Wohnverhältnisse,4.0
2014,Überbelegungsquote,Ländliche Gebiete,,Wohnverhältnisse,4.1
