Year,Geschlecht,Altersklasse,Migrationsstatus,Einkommensquintil,Verstädterungsgrad,Ausbildungsgrad,Herkunftsland,Familienstand,Value
2015,,,,,,,,,13
2017,,,,,,,,,10
2019,,,,,,,,,9
2015,Weiblich,,,,,,,,13
2017,Weiblich,,,,,,,,10
2019,Weiblich,,,,,,,,8
2015,Männlich,,,,,,,,13
2017,Männlich,,,,,,,,10
2019,Männlich,,,,,,,,9
2019,Divers,,,,,,,,23
2015,,15 bis unter 20 Jahre,,,,,,,8
2017,,15 bis unter 20 Jahre,,,,,,,8
2019,,15 bis unter 20 Jahre,,,,,,,7
2015,,20 bis unter 25 Jahre,,,,,,,14
2017,,20 bis unter 25 Jahre,,,,,,,9
2019,,20 bis unter 25 Jahre,,,,,,,8
2015,,25 bis unter 30 Jahre,,,,,,,15
2017,,25 bis unter 30 Jahre,,,,,,,10
2019,,25 bis unter 30 Jahre,,,,,,,11
2015,,30 bis unter 35 Jahre,,,,,,,10
2017,,30 bis unter 35 Jahre,,,,,,,9
2019,,30 bis unter 35 Jahre,,,,,,,10
2015,,35 bis unter 40 Jahre,,,,,,,13
2017,,35 bis unter 40 Jahre,,,,,,,6
2019,,35 bis unter 40 Jahre,,,,,,,9
2015,,40 bis unter 45 Jahre,,,,,,,11
2017,,40 bis unter 45 Jahre,,,,,,,8
2019,,40 bis unter 45 Jahre,,,,,,,7
2015,,45 bis unter 50 Jahre,,,,,,,10
2017,,45 bis unter 50 Jahre,,,,,,,10
2019,,45 bis unter 50 Jahre,,,,,,,8
2015,,50 bis unter 55 Jahre,,,,,,,14
2017,,50 bis unter 55 Jahre,,,,,,,8
2019,,50 bis unter 55 Jahre,,,,,,,7
2015,,55 bis unter 60 Jahre,,,,,,,14
2017,,55 bis unter 60 Jahre,,,,,,,8
2019,,55 bis unter 60 Jahre,,,,,,,6
2015,,60 bis unter 65 Jahre,,,,,,,14
2017,,60 bis unter 65 Jahre,,,,,,,14
2019,,60 bis unter 65 Jahre,,,,,,,9
2015,,65 Jahre und älter,,,,,,,14
2017,,65 Jahre und älter,,,,,,,13
2019,,65 Jahre und älter,,,,,,,11
2015,,,Kein Migrationshintergrund,,,,,,9
2017,,,Kein Migrationshintergrund,,,,,,7
2019,,,Kein Migrationshintergrund,,,,,,8
2015,,,Migrationshintergrund,,,,,,14
2017,,,Migrationshintergrund,,,,,,13
2019,,,Migrationshintergrund,,,,,,15
2015,,,Keine Angabe,,,,,,14
2017,,,Keine Angabe,,,,,,7
2019,,,Keine Angabe,,,,,,17
2019,,,,Ärmstes Quintil,,,,,17
2019,,,,Zweitärmstes Quintil,,,,,6
2019,,,,Mittleres Quintil,,,,,6
2019,,,,Viertes Quintil,,,,,5
2019,,,,Reichstes Quintil,,,,,4
2019,,,,Keine Angabe,,,,,11
2015,,,,,Städte,,,,12
2017,,,,,Städte,,,,10
2019,,,,,Städte,,,,8
2015,,,,,Ländliche Gebiete,,,,13
2017,,,,,Ländliche Gebiete,,,,10
2019,,,,,Ländliche Gebiete,,,,10
2019,,,,,Keine Angabe,,,,15
2015,,,,,,Abgeschlossene Grundschulausbildung,,,39
2017,,,,,,Abgeschlossene Grundschulausbildung,,,16
2019,,,,,,Abgeschlossene Grundschulausbildung,,,40
2015,,,,,,Abgeschlossene Sekundarstufe I,,,16
2017,,,,,,Abgeschlossene Sekundarstufe I,,,12
2019,,,,,,Abgeschlossene Sekundarstufe I,,,11
2015,,,,,,Abschluss der Sekundarstufe II oder postsekundärer nicht-tertiärer Bildung,,,10
2017,,,,,,Abschluss der Sekundarstufe II oder postsekundärer nicht-tertiärer Bildung,,,9
2019,,,,,,Abschluss der Sekundarstufe II oder postsekundärer nicht-tertiärer Bildung,,,5
2015,,,,,,Abschluss eines Bachelor- oder gleichwertigen Studiums oder eines Master- oder gleichwertigen Studiums oder höher,,,8
2017,,,,,,Abschluss eines Bachelor- oder gleichwertigen Studiums oder eines Master- oder gleichwertigen Studiums oder höher,,,8
2019,,,,,,Abschluss eines Bachelor- oder gleichwertigen Studiums oder eines Master- oder gleichwertigen Studiums oder höher,,,6
2015,,,,,,Keine Angabe,,,4
