Year,typification,sex,timesereis,Series,Value
2010,cities,,overcrowding rate,Wohnverhältnisse,9.6
2011,cities,,overcrowding rate,Wohnverhältnisse,9.5
2012,cities,,overcrowding rate,Wohnverhältnisse,10.8
2013,cities,,overcrowding rate,Wohnverhältnisse,10.4
2014,cities,,overcrowding rate,Wohnverhältnisse,9.9
2015,cities,,overcrowding rate,Wohnverhältnisse,10.5
2016,cities,,overcrowding rate,Wohnverhältnisse,11.0
2017,cities,,overcrowding rate,Wohnverhältnisse,11.4
2018,cities,,overcrowding rate,Wohnverhältnisse,11.5
2019,cities,,overcrowding rate,Wohnverhältnisse,12.7
2010,smaller towns and suburbs,,overcrowding rate,Wohnverhältnisse,4.7
2011,smaller towns and suburbs,,overcrowding rate,Wohnverhältnisse,4.1
2012,smaller towns and suburbs,,overcrowding rate,Wohnverhältnisse,4.8
2013,smaller towns and suburbs,,overcrowding rate,Wohnverhältnisse,5.2
2014,smaller towns and suburbs,,overcrowding rate,Wohnverhältnisse,5.2
2015,smaller towns and suburbs,,overcrowding rate,Wohnverhältnisse,5.6
2016,smaller towns and suburbs,,overcrowding rate,Wohnverhältnisse,5.9
2017,smaller towns and suburbs,,overcrowding rate,Wohnverhältnisse,5.3
2018,smaller towns and suburbs,,overcrowding rate,Wohnverhältnisse,5.5
2019,smaller towns and suburbs,,overcrowding rate,Wohnverhältnisse,5.5
2010,rural areas,,overcrowding rate,Wohnverhältnisse,4.7
2011,rural areas,,overcrowding rate,Wohnverhältnisse,4.1
2012,rural areas,,overcrowding rate,Wohnverhältnisse,3.7
2013,rural areas,,overcrowding rate,Wohnverhältnisse,4.0
2014,rural areas,,overcrowding rate,Wohnverhältnisse,4.1
2015,rural areas,,overcrowding rate,Wohnverhältnisse,3.9
2016,rural areas,,overcrowding rate,Wohnverhältnisse,3.5
2017,rural areas,,overcrowding rate,Wohnverhältnisse,3.9
2018,rural areas,,overcrowding rate,Wohnverhältnisse,4.2
2019,rural areas,,overcrowding rate,Wohnverhältnisse,4.0
2010,cities,,rate of overburdening by housing costs,Wohnverhältnisse,16.2
2011,cities,,rate of overburdening by housing costs,Wohnverhältnisse,18.0
2012,cities,,rate of overburdening by housing costs,Wohnverhältnisse,19.8
2013,cities,,rate of overburdening by housing costs,Wohnverhältnisse,18.9
2014,cities,,rate of overburdening by housing costs,Wohnverhältnisse,19.3
2015,cities,,rate of overburdening by housing costs,Wohnverhältnisse,19.1
2016,cities,,rate of overburdening by housing costs,Wohnverhältnisse,19.6
2017,cities,,rate of overburdening by housing costs,Wohnverhältnisse,17.9
2018,cities,,rate of overburdening by housing costs,Wohnverhältnisse,17.6
2019,cities,,rate of overburdening by housing costs,Wohnverhältnisse,16.2
2010,smaller towns and suburbs,,rate of overburdening by housing costs,Wohnverhältnisse,13.0
2011,smaller towns and suburbs,,rate of overburdening by housing costs,Wohnverhältnisse,14.5
2012,smaller towns and suburbs,,rate of overburdening by housing costs,Wohnverhältnisse,15.5
2013,smaller towns and suburbs,,rate of overburdening by housing costs,Wohnverhältnisse,16.1
2014,smaller towns and suburbs,,rate of overburdening by housing costs,Wohnverhältnisse,14.9
2015,smaller towns and suburbs,,rate of overburdening by housing costs,Wohnverhältnisse,14.5
2016,smaller towns and suburbs,,rate of overburdening by housing costs,Wohnverhältnisse,14.5
2017,smaller towns and suburbs,,rate of overburdening by housing costs,Wohnverhältnisse,13.4
2018,smaller towns and suburbs,,rate of overburdening by housing costs,Wohnverhältnisse,13.3
2019,smaller towns and suburbs,,rate of overburdening by housing costs,Wohnverhältnisse,12.7
2010,rural areas,,rate of overburdening by housing costs,Wohnverhältnisse,12.3
2011,rural areas,,rate of overburdening by housing costs,Wohnverhältnisse,13.6
2012,rural areas,,rate of overburdening by housing costs,Wohnverhältnisse,13.9
2013,rural areas,,rate of overburdening by housing costs,Wohnverhältnisse,13.3
2014,rural areas,,rate of overburdening by housing costs,Wohnverhältnisse,12.7
2015,rural areas,,rate of overburdening by housing costs,Wohnverhältnisse,12.0
2016,rural areas,,rate of overburdening by housing costs,Wohnverhältnisse,12.2
2017,rural areas,,rate of overburdening by housing costs,Wohnverhältnisse,11.0
2018,rural areas,,rate of overburdening by housing costs,Wohnverhältnisse,10.4
2019,rural areas,,rate of overburdening by housing costs,Wohnverhältnisse,12.4
2010,,,"population living in a dwelling with a leaky roof, moisture in the walls, floors, foundation, or rot in the window frames or floor",Deprivation der Unterkunft,13.3
2011,,,"population living in a dwelling with a leaky roof, moisture in the walls, floors, foundation, or rot in the window frames or floor",Deprivation der Unterkunft,13.7
2012,,,"population living in a dwelling with a leaky roof, moisture in the walls, floors, foundation, or rot in the window frames or floor",Deprivation der Unterkunft,13.5
2013,,,"population living in a dwelling with a leaky roof, moisture in the walls, floors, foundation, or rot in the window frames or floor",Deprivation der Unterkunft,13.1
2014,,,"population living in a dwelling with a leaky roof, moisture in the walls, floors, foundation, or rot in the window frames or floor",Deprivation der Unterkunft,12.3
2015,,,"population living in a dwelling with a leaky roof, moisture in the walls, floors, foundation, or rot in the window frames or floor",Deprivation der Unterkunft,12.8
2016,,,"population living in a dwelling with a leaky roof, moisture in the walls, floors, foundation, or rot in the window frames or floor",Deprivation der Unterkunft,13.1
2017,,,"population living in a dwelling with a leaky roof, moisture in the walls, floors, foundation, or rot in the window frames or floor",Deprivation der Unterkunft,12.5
2018,,,"population living in a dwelling with a leaky roof, moisture in the walls, floors, foundation, or rot in the window frames or floor",Deprivation der Unterkunft,13.4
2019,,,"population living in a dwelling with a leaky roof, moisture in the walls, floors, foundation, or rot in the window frames or floor",Deprivation der Unterkunft,12.0
2010,,female,"population living in a dwelling with a leaky roof, moisture in the walls, floors, foundation, or rot in the window frames or floor",Deprivation der Unterkunft,13.7
2011,,female,"population living in a dwelling with a leaky roof, moisture in the walls, floors, foundation, or rot in the window frames or floor",Deprivation der Unterkunft,14.1
2012,,female,"population living in a dwelling with a leaky roof, moisture in the walls, floors, foundation, or rot in the window frames or floor",Deprivation der Unterkunft,13.7
2013,,female,"population living in a dwelling with a leaky roof, moisture in the walls, floors, foundation, or rot in the window frames or floor",Deprivation der Unterkunft,13.1
2014,,female,"population living in a dwelling with a leaky roof, moisture in the walls, floors, foundation, or rot in the window frames or floor",Deprivation der Unterkunft,12.6
2015,,female,"population living in a dwelling with a leaky roof, moisture in the walls, floors, foundation, or rot in the window frames or floor",Deprivation der Unterkunft,13.1
2016,,female,"population living in a dwelling with a leaky roof, moisture in the walls, floors, foundation, or rot in the window frames or floor",Deprivation der Unterkunft,13.5
2017,,female,"population living in a dwelling with a leaky roof, moisture in the walls, floors, foundation, or rot in the window frames or floor",Deprivation der Unterkunft,12.7
2018,,female,"population living in a dwelling with a leaky roof, moisture in the walls, floors, foundation, or rot in the window frames or floor",Deprivation der Unterkunft,13.7
2019,,female,"population living in a dwelling with a leaky roof, moisture in the walls, floors, foundation, or rot in the window frames or floor",Deprivation der Unterkunft,12.3
2010,,male,"population living in a dwelling with a leaky roof, moisture in the walls, floors, foundation, or rot in the window frames or floor",Deprivation der Unterkunft,13.0
2011,,male,"population living in a dwelling with a leaky roof, moisture in the walls, floors, foundation, or rot in the window frames or floor",Deprivation der Unterkunft,13.4
2012,,male,"population living in a dwelling with a leaky roof, moisture in the walls, floors, foundation, or rot in the window frames or floor",Deprivation der Unterkunft,13.2
2013,,male,"population living in a dwelling with a leaky roof, moisture in the walls, floors, foundation, or rot in the window frames or floor",Deprivation der Unterkunft,13.1
2014,,male,"population living in a dwelling with a leaky roof, moisture in the walls, floors, foundation, or rot in the window frames or floor",Deprivation der Unterkunft,12.1
2015,,male,"population living in a dwelling with a leaky roof, moisture in the walls, floors, foundation, or rot in the window frames or floor",Deprivation der Unterkunft,12.4
2016,,male,"population living in a dwelling with a leaky roof, moisture in the walls, floors, foundation, or rot in the window frames or floor",Deprivation der Unterkunft,12.7
2017,,male,"population living in a dwelling with a leaky roof, moisture in the walls, floors, foundation, or rot in the window frames or floor",Deprivation der Unterkunft,12.2
2018,,male,"population living in a dwelling with a leaky roof, moisture in the walls, floors, foundation, or rot in the window frames or floor",Deprivation der Unterkunft,13.2
2019,,male,"population living in a dwelling with a leaky roof, moisture in the walls, floors, foundation, or rot in the window frames or floor",Deprivation der Unterkunft,11.7
2010,,,"population that has neither a bath, nor a shower in their home",Deprivation der Unterkunft,0.5
2011,,,"population that has neither a bath, nor a shower in their home",Deprivation der Unterkunft,0.1
2012,,,"population that has neither a bath, nor a shower in their home",Deprivation der Unterkunft,0.1
2013,,,"population that has neither a bath, nor a shower in their home",Deprivation der Unterkunft,
2014,,,"population that has neither a bath, nor a shower in their home",Deprivation der Unterkunft,
2015,,,"population that has neither a bath, nor a shower in their home",Deprivation der Unterkunft,
2016,,,"population that has neither a bath, nor a shower in their home",Deprivation der Unterkunft,
2017,,,"population that has neither a bath, nor a shower in their home",Deprivation der Unterkunft,
2018,,,"population that has neither a bath, nor a shower in their home",Deprivation der Unterkunft,
2019,,,"population that has neither a bath, nor a shower in their home",Deprivation der Unterkunft,
2010,,female,"population that has neither a bath, nor a shower in their home",Deprivation der Unterkunft,0.5
2011,,female,"population that has neither a bath, nor a shower in their home",Deprivation der Unterkunft,0.1
2012,,female,"population that has neither a bath, nor a shower in their home",Deprivation der Unterkunft,0.1
2013,,female,"population that has neither a bath, nor a shower in their home",Deprivation der Unterkunft,
2014,,female,"population that has neither a bath, nor a shower in their home",Deprivation der Unterkunft,
2015,,female,"population that has neither a bath, nor a shower in their home",Deprivation der Unterkunft,
2016,,female,"population that has neither a bath, nor a shower in their home",Deprivation der Unterkunft,
2017,,female,"population that has neither a bath, nor a shower in their home",Deprivation der Unterkunft,
2018,,female,"population that has neither a bath, nor a shower in their home",Deprivation der Unterkunft,
2019,,female,"population that has neither a bath, nor a shower in their home",Deprivation der Unterkunft,
2010,,male,"population that has neither a bath, nor a shower in their home",Deprivation der Unterkunft,0.6
2011,,male,"population that has neither a bath, nor a shower in their home",Deprivation der Unterkunft,0.1
2012,,male,"population that has neither a bath, nor a shower in their home",Deprivation der Unterkunft,0.1
2013,,male,"population that has neither a bath, nor a shower in their home",Deprivation der Unterkunft,
2014,,male,"population that has neither a bath, nor a shower in their home",Deprivation der Unterkunft,
2015,,male,"population that has neither a bath, nor a shower in their home",Deprivation der Unterkunft,
2016,,male,"population that has neither a bath, nor a shower in their home",Deprivation der Unterkunft,
2017,,male,"population that has neither a bath, nor a shower in their home",Deprivation der Unterkunft,
2018,,male,"population that has neither a bath, nor a shower in their home",Deprivation der Unterkunft,
2019,,male,"population that has neither a bath, nor a shower in their home",Deprivation der Unterkunft,
2010,,,population that does not have a toilet for the sole use of their household,Deprivation der Unterkunft,1.6
2011,,,population that does not have a toilet for the sole use of their household,Deprivation der Unterkunft,0.9
2012,,,population that does not have a toilet for the sole use of their household,Deprivation der Unterkunft,0.9
2013,,,population that does not have a toilet for the sole use of their household,Deprivation der Unterkunft,0.1
2014,,,population that does not have a toilet for the sole use of their household,Deprivation der Unterkunft,
2015,,,population that does not have a toilet for the sole use of their household,Deprivation der Unterkunft,0.1
2016,,,population that does not have a toilet for the sole use of their household,Deprivation der Unterkunft,0.1
2017,,,population that does not have a toilet for the sole use of their household,Deprivation der Unterkunft,0.1
2018,,,population that does not have a toilet for the sole use of their household,Deprivation der Unterkunft,
2019,,,population that does not have a toilet for the sole use of their household,Deprivation der Unterkunft,0.2
2010,,female,population that does not have a toilet for the sole use of their household,Deprivation der Unterkunft,1.7
2011,,female,population that does not have a toilet for the sole use of their household,Deprivation der Unterkunft,0.9
2012,,female,population that does not have a toilet for the sole use of their household,Deprivation der Unterkunft,1.0
2013,,female,population that does not have a toilet for the sole use of their household,Deprivation der Unterkunft,0.2
2014,,female,population that does not have a toilet for the sole use of their household,Deprivation der Unterkunft,
2015,,female,population that does not have a toilet for the sole use of their household,Deprivation der Unterkunft,0.1
2016,,female,population that does not have a toilet for the sole use of their household,Deprivation der Unterkunft,0.1
2017,,female,population that does not have a toilet for the sole use of their household,Deprivation der Unterkunft,0.1
2018,,female,population that does not have a toilet for the sole use of their household,Deprivation der Unterkunft,0.1
2019,,female,population that does not have a toilet for the sole use of their household,Deprivation der Unterkunft,0.2
2010,,male,population that does not have a toilet for the sole use of their household,Deprivation der Unterkunft,1.6
2011,,male,population that does not have a toilet for the sole use of their household,Deprivation der Unterkunft,0.8
2012,,male,population that does not have a toilet for the sole use of their household,Deprivation der Unterkunft,0.9
2013,,male,population that does not have a toilet for the sole use of their household,Deprivation der Unterkunft,0.1
2014,,male,population that does not have a toilet for the sole use of their household,Deprivation der Unterkunft,
2015,,male,population that does not have a toilet for the sole use of their household,Deprivation der Unterkunft,0.1
2016,,male,population that does not have a toilet for the sole use of their household,Deprivation der Unterkunft,0.1
2017,,male,population that does not have a toilet for the sole use of their household,Deprivation der Unterkunft,0.1
2018,,male,population that does not have a toilet for the sole use of their household,Deprivation der Unterkunft,
2019,,male,population that does not have a toilet for the sole use of their household,Deprivation der Unterkunft,0.3
2010,,,population that considers their accommodation too dark,Deprivation der Unterkunft,4.2
2011,,,population that considers their accommodation too dark,Deprivation der Unterkunft,4.1
2012,,,population that considers their accommodation too dark,Deprivation der Unterkunft,3.9
2013,,,population that considers their accommodation too dark,Deprivation der Unterkunft,4.4
2014,,,population that considers their accommodation too dark,Deprivation der Unterkunft,4.4
2015,,,population that considers their accommodation too dark,Deprivation der Unterkunft,4.0
2016,,,population that considers their accommodation too dark,Deprivation der Unterkunft,3.9
2017,,,population that considers their accommodation too dark,Deprivation der Unterkunft,4.0
2018,,,population that considers their accommodation too dark,Deprivation der Unterkunft,4.4
2019,,,population that considers their accommodation too dark,Deprivation der Unterkunft,4.0
2010,,female,population that considers their accommodation too dark,Deprivation der Unterkunft,3.9
2011,,female,population that considers their accommodation too dark,Deprivation der Unterkunft,3.9
2012,,female,population that considers their accommodation too dark,Deprivation der Unterkunft,3.9
2013,,female,population that considers their accommodation too dark,Deprivation der Unterkunft,4.5
2014,,female,population that considers their accommodation too dark,Deprivation der Unterkunft,4.3
2015,,female,population that considers their accommodation too dark,Deprivation der Unterkunft,3.9
2016,,female,population that considers their accommodation too dark,Deprivation der Unterkunft,3.8
2017,,female,population that considers their accommodation too dark,Deprivation der Unterkunft,3.9
2018,,female,population that considers their accommodation too dark,Deprivation der Unterkunft,4.4
2019,,female,population that considers their accommodation too dark,Deprivation der Unterkunft,4.2
2010,,male,population that considers their accommodation too dark,Deprivation der Unterkunft,4.5
2011,,male,population that considers their accommodation too dark,Deprivation der Unterkunft,4.2
2012,,male,population that considers their accommodation too dark,Deprivation der Unterkunft,3.9
2013,,male,population that considers their accommodation too dark,Deprivation der Unterkunft,4.3
2014,,male,population that considers their accommodation too dark,Deprivation der Unterkunft,4.5
2015,,male,population that considers their accommodation too dark,Deprivation der Unterkunft,4.1
2016,,male,population that considers their accommodation too dark,Deprivation der Unterkunft,3.9
2017,,male,population that considers their accommodation too dark,Deprivation der Unterkunft,4.0
2018,,male,population that considers their accommodation too dark,Deprivation der Unterkunft,4.4
2019,,male,population that considers their accommodation too dark,Deprivation der Unterkunft,3.8
