Year,Units,Sector,Type of official development assistance,Type of flow,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2019,"Million USD, constant prices (2024)",Transport and storage,Gross disbursements,Other official flows,,,,68.919
2020,"Million USD, constant prices (2024)",Transport and storage,Gross disbursements,Other official flows,,,,24.535
2021,"Million USD, constant prices (2024)",Transport and storage,Gross disbursements,Other official flows,,,,49.928
2022,"Million USD, constant prices (2024)",Transport and storage,Gross disbursements,Other official flows,,,,46.996
2023,"Million USD, constant prices (2024)",Transport and storage,Gross disbursements,Other official flows,,,,4.953
2024,"Million USD, constant prices (2024)",Transport and storage,Gross disbursements,Other official flows,,,,
2010,"Million USD, constant prices (2024)",Communications,Gross disbursements,Other official flows,,,,
2011,"Million USD, constant prices (2024)",Communications,Gross disbursements,Other official flows,,,,
2012,"Million USD, constant prices (2024)",Communications,Gross disbursements,Other official flows,,,,
2013,"Million USD, constant prices (2024)",Communications,Gross disbursements,Other official flows,,,,
2014,"Million USD, constant prices (2024)",Communications,Gross disbursements,Other official flows,,,,
2015,"Million USD, constant prices (2024)",Communications,Gross disbursements,Other official flows,,,,
2016,"Million USD, constant prices (2024)",Communications,Gross disbursements,Other official flows,,,,
2017,"Million USD, constant prices (2024)",Communications,Gross disbursements,Other official flows,,,,
2018,"Million USD, constant prices (2024)",Communications,Gross disbursements,Other official flows,,,,26.521
2019,"Million USD, constant prices (2024)",Communications,Gross disbursements,Other official flows,,,,37.054
2020,"Million USD, constant prices (2024)",Communications,Gross disbursements,Other official flows,,,,28.915
2021,"Million USD, constant prices (2024)",Communications,Gross disbursements,Other official flows,,,,26.363
2022,"Million USD, constant prices (2024)",Communications,Gross disbursements,Other official flows,,,,60.407
2023,"Million USD, constant prices (2024)",Communications,Gross disbursements,Other official flows,,,,
2024,"Million USD, constant prices (2024)",Communications,Gross disbursements,Other official flows,,,,
2010,"Million USD, constant prices (2024)",Energy,Gross disbursements,Other official flows,,,,
2011,"Million USD, constant prices (2024)",Energy,Gross disbursements,Other official flows,,,,
2012,"Million USD, constant prices (2024)",Energy,Gross disbursements,Other official flows,,,,
2013,"Million USD, constant prices (2024)",Energy,Gross disbursements,Other official flows,,,,
2014,"Million USD, constant prices (2024)",Energy,Gross disbursements,Other official flows,,,,
2015,"Million USD, constant prices (2024)",Energy,Gross disbursements,Other official flows,,,,
2016,"Million USD, constant prices (2024)",Energy,Gross disbursements,Other official flows,,,,
2017,"Million USD, constant prices (2024)",Energy,Gross disbursements,Other official flows,,,,
2018,"Million USD, constant prices (2024)",Energy,Gross disbursements,Other official flows,,,,208.3
2019,"Million USD, constant prices (2024)",Energy,Gross disbursements,Other official flows,,,,193.815
2020,"Million USD, constant prices (2024)",Energy,Gross disbursements,Other official flows,,,,122.965
2021,"Million USD, constant prices (2024)",Energy,Gross disbursements,Other official flows,,,,113.356
2022,"Million USD, constant prices (2024)",Energy,Gross disbursements,Other official flows,,,,210.515
2023,"Million USD, constant prices (2024)",Energy,Gross disbursements,Other official flows,,,,32.606
2024,"Million USD, constant prices (2024)",Energy,Gross disbursements,Other official flows,,,,152.536
2010,"Million USD, constant prices (2024)",Urban development and management,Gross disbursements,Other official flows,,,,
2011,"Million USD, constant prices (2024)",Urban development and management,Gross disbursements,Other official flows,,,,
2012,"Million USD, constant prices (2024)",Urban development and management,Gross disbursements,Other official flows,,,,
2013,"Million USD, constant prices (2024)",Urban development and management,Gross disbursements,Other official flows,,,,
2014,"Million USD, constant prices (2024)",Urban development and management,Gross disbursements,Other official flows,,,,
2015,"Million USD, constant prices (2024)",Urban development and management,Gross disbursements,Other official flows,,,,
2016,"Million USD, constant prices (2024)",Urban development and management,Gross disbursements,Other official flows,,,,
2017,"Million USD, constant prices (2024)",Urban development and management,Gross disbursements,Other official flows,,,,
2018,"Million USD, constant prices (2024)",Urban development and management,Gross disbursements,Other official flows,,,,
2019,"Million USD, constant prices (2024)",Urban development and management,Gross disbursements,Other official flows,,,,
2020,"Million USD, constant prices (2024)",Urban development and management,Gross disbursements,Other official flows,,,,
2021,"Million USD, constant prices (2024)",Urban development and management,Gross disbursements,Other official flows,,,,
2022,"Million USD, constant prices (2024)",Urban development and management,Gross disbursements,Other official flows,,,,
2023,"Million USD, constant prices (2024)",Urban development and management,Gross disbursements,Other official flows,,,,
2024,"Million USD, constant prices (2024)",Urban development and management,Gross disbursements,Other official flows,,,,
