Year,timeseries,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,a) branches of payment service providers,…,,,
2011,a) branches of payment service providers,…,,,
2012,a) branches of payment service providers,…,,,
2013,a) branches of payment service providers,…,,,
2014,a) branches of payment service providers,…,,,
2015,a) branches of payment service providers,…,,,
2016,a) branches of payment service providers,…,,,
2017,a) branches of payment service providers,…,,,
2018,a) branches of payment service providers,…,,,
2019,a) branches of payment service providers,…,,,
2020,a) branches of payment service providers,,,,433154.0
2021,a) branches of payment service providers,,,,458101.0
2022,a) branches of payment service providers,,,,493938.0
2023,a) branches of payment service providers,,,,498001.0
2010,b) atms of national payment service providers,…,,,
2011,b) atms of national payment service providers,…,,,
2012,b) atms of national payment service providers,…,,,
2013,b) atms of national payment service providers,…,,,
2014,b) atms of national payment service providers,…,,,
2015,b) atms of national payment service providers,…,,,
2016,b) atms of national payment service providers,…,,,
2017,b) atms of national payment service providers,…,,,
2018,b) atms of national payment service providers,…,,,
2019,b) atms of national payment service providers,…,,,
2020,b) atms of national payment service providers,,,,521462.0
2021,b) atms of national payment service providers,,,,691160.0
2022,b) atms of national payment service providers,,,,667494.0
2023,b) atms of national payment service providers,,,,664668.0
