Year,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,,,,a) Nationale Strategien zur Bekämpfung oder Kontrolle IAS,68.743
2011,,,,a) Nationale Strategien zur Bekämpfung oder Kontrolle IAS,68.879
2012,,,,a) Nationale Strategien zur Bekämpfung oder Kontrolle IAS,68.895
2013,,,,a) Nationale Strategien zur Bekämpfung oder Kontrolle IAS,68.895
2014,,,,a) Nationale Strategien zur Bekämpfung oder Kontrolle IAS,68.999
2015,,,,a) Nationale Strategien zur Bekämpfung oder Kontrolle IAS,69.035
2016,,,,a) Nationale Strategien zur Bekämpfung oder Kontrolle IAS,69.035
2017,,,,a) Nationale Strategien zur Bekämpfung oder Kontrolle IAS,69.134
2018,,,,a) Nationale Strategien zur Bekämpfung oder Kontrolle IAS,69.432
2019,,,,a) Nationale Strategien zur Bekämpfung oder Kontrolle IAS,70.152
2020,,,,a) Nationale Strategien zur Bekämpfung oder Kontrolle IAS,70.152
2021,,,,a) Nationale Strategien zur Bekämpfung oder Kontrolle IAS,71.476
2022,,,,a) Nationale Strategien zur Bekämpfung oder Kontrolle IAS,71.566
2023,,,,a) Nationale Strategien zur Bekämpfung oder Kontrolle IAS,71.566
2024,,,,a) Nationale Strategien zur Bekämpfung oder Kontrolle IAS,71.566
2010,,,,b) Angleichung der Ziele des NBSAP an das Aichi-Ziel 9 des NSB,3999698.924
2011,,,,b) Angleichung der Ziele des NBSAP an das Aichi-Ziel 9 des NSB,4007560.836
2012,,,,b) Angleichung der Ziele des NBSAP an das Aichi-Ziel 9 des NSB,4008502.894
2013,,,,b) Angleichung der Ziele des NBSAP an das Aichi-Ziel 9 des NSB,4008502.894
2014,,,,b) Angleichung der Ziele des NBSAP an das Aichi-Ziel 9 des NSB,4014581.599
2015,,,,b) Angleichung der Ziele des NBSAP an das Aichi-Ziel 9 des NSB,4016635.106
2016,,,,b) Angleichung der Ziele des NBSAP an das Aichi-Ziel 9 des NSB,4016635.106
2017,,,,b) Angleichung der Ziele des NBSAP an das Aichi-Ziel 9 des NSB,4022416.328
2018,,,,b) Angleichung der Ziele des NBSAP an das Aichi-Ziel 9 des NSB,4039782.721
2019,,,,b) Angleichung der Ziele des NBSAP an das Aichi-Ziel 9 des NSB,4081651.296
2020,,,,b) Angleichung der Ziele des NBSAP an das Aichi-Ziel 9 des NSB,4081651.296
2021,,,,b) Angleichung der Ziele des NBSAP an das Aichi-Ziel 9 des NSB,4158660.757
2022,,,,b) Angleichung der Ziele des NBSAP an das Aichi-Ziel 9 des NSB,4163924.472
2023,,,,b) Angleichung der Ziele des NBSAP an das Aichi-Ziel 9 des NSB,4163924.472
2024,,,,b) Angleichung der Ziele des NBSAP an das Aichi-Ziel 9 des NSB,4163924.47
