Year,Zeitreihe,Verfügbarkeit,Value
2010,Zugang zu einer Toilette,Vorhanden,98.4
2011,Zugang zu einer Toilette,Vorhanden,99.1
2012,Zugang zu einer Toilette,Vorhanden,99.1
2013,Zugang zu einer Toilette,Vorhanden,99.9
2014,Zugang zu einer Toilette,Vorhanden,100.0
2015,Zugang zu einer Toilette,Vorhanden,99.9
2016,Zugang zu einer Toilette,Vorhanden,99.9
2017,Zugang zu einer Toilette,Vorhanden,99.9
2018,Zugang zu einer Toilette,Vorhanden,100.0
2019,Zugang zu einer Toilette,Vorhanden,99.8
2010,Zugang zu Badewanne oder Dusche,Vorhanden,99.5
2011,Zugang zu Badewanne oder Dusche,Vorhanden,99.9
2012,Zugang zu Badewanne oder Dusche,Vorhanden,99.9
2013,Zugang zu Badewanne oder Dusche,Vorhanden,100.0
2014,Zugang zu Badewanne oder Dusche,Vorhanden,100.0
2015,Zugang zu Badewanne oder Dusche,Vorhanden,100.0
2016,Zugang zu Badewanne oder Dusche,Vorhanden,100.0
2017,Zugang zu Badewanne oder Dusche,Vorhanden,100.0
2018,Zugang zu Badewanne oder Dusche,Vorhanden,100.0
2019,Zugang zu Badewanne oder Dusche,Vorhanden,100.0
2010,Zugang zu einer Toilette,Nicht vorhanden,1.6
2011,Zugang zu einer Toilette,Nicht vorhanden,0.9
2012,Zugang zu einer Toilette,Nicht vorhanden,0.9
2013,Zugang zu einer Toilette,Nicht vorhanden,0.1
2014,Zugang zu einer Toilette,Nicht vorhanden,0.0
2015,Zugang zu einer Toilette,Nicht vorhanden,0.1
2016,Zugang zu einer Toilette,Nicht vorhanden,0.1
2017,Zugang zu einer Toilette,Nicht vorhanden,0.1
2018,Zugang zu einer Toilette,Nicht vorhanden,0.0
2019,Zugang zu einer Toilette,Nicht vorhanden,0.2
2010,Zugang zu Badewanne oder Dusche,Nicht vorhanden,0.5
2011,Zugang zu Badewanne oder Dusche,Nicht vorhanden,0.1
2012,Zugang zu Badewanne oder Dusche,Nicht vorhanden,0.1
2013,Zugang zu Badewanne oder Dusche,Nicht vorhanden,0.0
2014,Zugang zu Badewanne oder Dusche,Nicht vorhanden,0.0
2015,Zugang zu Badewanne oder Dusche,Nicht vorhanden,0.0
2016,Zugang zu Badewanne oder Dusche,Nicht vorhanden,0.0
2017,Zugang zu Badewanne oder Dusche,Nicht vorhanden,0.0
2018,Zugang zu Badewanne oder Dusche,Nicht vorhanden,0.0
2019,Zugang zu Badewanne oder Dusche,Nicht vorhanden,0.0
