Year,Series,Substanz,Geschlecht,Grenze,Value
2010,Stationäre Behandlung bei Störungen durch Substanzgebrauch,Drogen,,,37107.0
2011,Stationäre Behandlung bei Störungen durch Substanzgebrauch,Drogen,,,36848.0
2012,Stationäre Behandlung bei Störungen durch Substanzgebrauch,Drogen,,,36166.0
2013,Stationäre Behandlung bei Störungen durch Substanzgebrauch,Drogen,,,40556.0
2014,Stationäre Behandlung bei Störungen durch Substanzgebrauch,Drogen,,,49795.0
2015,Stationäre Behandlung bei Störungen durch Substanzgebrauch,Drogen,,,51919.0
2016,Stationäre Behandlung bei Störungen durch Substanzgebrauch,Drogen,,,52621.0
2017,Stationäre Behandlung bei Störungen durch Substanzgebrauch,Drogen,,,51806.0
2018,Stationäre Behandlung bei Störungen durch Substanzgebrauch,Drogen,,,52380.0
2019,Stationäre Behandlung bei Störungen durch Substanzgebrauch,Drogen,,,53490.0
2010,Stationäre Behandlung bei Störungen durch Substanzgebrauch,Drogen,Weiblich,,10451.0
2011,Stationäre Behandlung bei Störungen durch Substanzgebrauch,Drogen,Weiblich,,10607.0
2012,Stationäre Behandlung bei Störungen durch Substanzgebrauch,Drogen,Weiblich,,10600.0
2013,Stationäre Behandlung bei Störungen durch Substanzgebrauch,Drogen,Weiblich,,11290.0
2014,Stationäre Behandlung bei Störungen durch Substanzgebrauch,Drogen,Weiblich,,13280.0
2015,Stationäre Behandlung bei Störungen durch Substanzgebrauch,Drogen,Weiblich,,13230.0
2016,Stationäre Behandlung bei Störungen durch Substanzgebrauch,Drogen,Weiblich,,13303.0
2017,Stationäre Behandlung bei Störungen durch Substanzgebrauch,Drogen,Weiblich,,12881.0
2018,Stationäre Behandlung bei Störungen durch Substanzgebrauch,Drogen,Weiblich,,12858.0
2019,Stationäre Behandlung bei Störungen durch Substanzgebrauch,Drogen,Weiblich,,12921.0
2010,Stationäre Behandlung bei Störungen durch Substanzgebrauch,Drogen,Männlich,,26656.0
2011,Stationäre Behandlung bei Störungen durch Substanzgebrauch,Drogen,Männlich,,26241.0
2012,Stationäre Behandlung bei Störungen durch Substanzgebrauch,Drogen,Männlich,,25566.0
2013,Stationäre Behandlung bei Störungen durch Substanzgebrauch,Drogen,Männlich,,29266.0
2014,Stationäre Behandlung bei Störungen durch Substanzgebrauch,Drogen,Männlich,,36515.0
