Year,Units,Type of official development assistance,Type of flow,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Million EUR,Commitments,Official development assistance,,,,915.979
2011,Million EUR,Commitments,Official development assistance,,,,809.223
2012,Million EUR,Commitments,Official development assistance,,,,740.52
2013,Million EUR,Commitments,Official development assistance,,,,835.927
2014,Million EUR,Commitments,Official development assistance,,,,1115.451
2015,Million EUR,Commitments,Official development assistance,,,,1578.019
2016,Million EUR,Commitments,Official development assistance,,,,1278.447
2017,Million EUR,Commitments,Official development assistance,,,,2141.104
2018,Million EUR,Commitments,Official development assistance,,,,1733.447
2019,Million EUR,Commitments,Official development assistance,,,,1873.352
2020,Million EUR,Commitments,Official development assistance,,,,3043.442
2021,Million EUR,Commitments,Official development assistance,,,,2889.194
2022,Million EUR,Commitments,Official development assistance,,,,2922.855
2023,Million EUR,Commitments,Official development assistance,,,,3486.589
2024,Million EUR,Commitments,Official development assistance,,,,2512.359
2010,Million EUR,Gross disbursements,Official development assistance,,,,674.991
2011,Million EUR,Gross disbursements,Official development assistance,,,,703.802
2012,Million EUR,Gross disbursements,Official development assistance,,,,743.479
2013,Million EUR,Gross disbursements,Official development assistance,,,,819.911
2014,Million EUR,Gross disbursements,Official development assistance,,,,929.041
2015,Million EUR,Gross disbursements,Official development assistance,,,,1301.967
2016,Million EUR,Gross disbursements,Official development assistance,,,,1210.381
2017,Million EUR,Gross disbursements,Official development assistance,,,,1536.772
2018,Million EUR,Gross disbursements,Official development assistance,,,,1777.038
2019,Million EUR,Gross disbursements,Official development assistance,,,,1571.422
2020,Million EUR,Gross disbursements,Official development assistance,,,,2213.092
2021,Million EUR,Gross disbursements,Official development assistance,,,,2363.1
2022,Million EUR,Gross disbursements,Official development assistance,,,,2751.262
2023,Million EUR,Gross disbursements,Official development assistance,,,,2322.643
2024,Million EUR,Gross disbursements,Official development assistance,,,,3495.474
2010,Million EUR,Commitments,Other official flows,,,,0.0
2011,Million EUR,Commitments,Other official flows,,,,0.0
2012,Million EUR,Commitments,Other official flows,,,,0.0
2013,Million EUR,Commitments,Other official flows,,,,0.0
2014,Million EUR,Commitments,Other official flows,,,,0.0
2015,Million EUR,Commitments,Other official flows,,,,0.0
2016,Million EUR,Commitments,Other official flows,,,,0.0
2017,Million EUR,Commitments,Other official flows,,,,0.0
2018,Million EUR,Commitments,Other official flows,,,,373.855
2019,Million EUR,Commitments,Other official flows,,,,155.77
2020,Million EUR,Commitments,Other official flows,,,,182.196
2021,Million EUR,Commitments,Other official flows,,,,52.668
2022,Million EUR,Commitments,Other official flows,,,,50.0
2023,Million EUR,Commitments,Other official flows,,,,0.0
2024,Million EUR,Commitments,Other official flows,,,,0.0
2010,Million EUR,Gross disbursements,Other official flows,,,,0.0
2011,Million EUR,Gross disbursements,Other official flows,,,,0.0
2012,Million EUR,Gross disbursements,Other official flows,,,,0.0
2013,Million EUR,Gross disbursements,Other official flows,,,,0.0
2014,Million EUR,Gross disbursements,Other official flows,,,,0.0
2015,Million EUR,Gross disbursements,Other official flows,,,,0.0
2016,Million EUR,Gross disbursements,Other official flows,,,,0.0
2017,Million EUR,Gross disbursements,Other official flows,,,,0.0
2018,Million EUR,Gross disbursements,Other official flows,,,,373.855
2019,Million EUR,Gross disbursements,Other official flows,,,,155.77
2020,Million EUR,Gross disbursements,Other official flows,,,,182.196
2021,Million EUR,Gross disbursements,Other official flows,,,,52.668
2022,Million EUR,Gross disbursements,Other official flows,,,,50.0
2023,Million EUR,Gross disbursements,Other official flows,,,,0.0
2024,Million EUR,Gross disbursements,Other official flows,,,,0.0
2010,"Million USD, constant prices (2024)",Commitments,Official development assistance,,,,1405.173
2011,"Million USD, constant prices (2024)",Commitments,Official development assistance,,,,1226.298
2012,"Million USD, constant prices (2024)",Commitments,Official development assistance,,,,1106.311
2013,"Million USD, constant prices (2024)",Commitments,Official development assistance,,,,1224.397
2014,"Million USD, constant prices (2024)",Commitments,Official development assistance,,,,1603.408
2015,"Million USD, constant prices (2024)",Commitments,Official development assistance,,,,2229.462
2016,"Million USD, constant prices (2024)",Commitments,Official development assistance,,,,1783.725
2017,"Million USD, constant prices (2024)",Commitments,Official development assistance,,,,2944.007
2018,"Million USD, constant prices (2024)",Commitments,Official development assistance,,,,2339.682
2019,"Million USD, constant prices (2024)",Commitments,Official development assistance,,,,2478.61
2020,"Million USD, constant prices (2024)",Commitments,Official development assistance,,,,3957.389
2021,"Million USD, constant prices (2024)",Commitments,Official development assistance,,,,3658.377
2022,"Million USD, constant prices (2024)",Commitments,Official development assistance,,,,3477.692
2023,"Million USD, constant prices (2024)",Commitments,Official development assistance,,,,3888.109
2024,"Million USD, constant prices (2024)",Commitments,Official development assistance,,,,2717.239
2010,"Million USD, constant prices (2024)",Gross disbursements,Official development assistance,,,,1035.482
2011,"Million USD, constant prices (2024)",Gross disbursements,Official development assistance,,,,1066.543
2012,"Million USD, constant prices (2024)",Gross disbursements,Official development assistance,,,,1110.732
2013,"Million USD, constant prices (2024)",Gross disbursements,Official development assistance,,,,1200.938
2014,"Million USD, constant prices (2024)",Gross disbursements,Official development assistance,,,,1335.452
2015,"Million USD, constant prices (2024)",Gross disbursements,Official development assistance,,,,1839.449
2016,"Million USD, constant prices (2024)",Gross disbursements,Official development assistance,,,,1688.757
2017,"Million USD, constant prices (2024)",Gross disbursements,Official development assistance,,,,2113.054
2018,"Million USD, constant prices (2024)",Gross disbursements,Official development assistance,,,,2398.518
2019,"Million USD, constant prices (2024)",Gross disbursements,Official development assistance,,,,2079.13
