Year,Units,age group,sex,victim-suspect relationship,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,"per 100,000 inhabitants",,,,,,,0.99
2011,"per 100,000 inhabitants",,,,,,,0.92
2012,"per 100,000 inhabitants",,,,,,,0.82
2013,"per 100,000 inhabitants",,,,,,,0.85
2014,"per 100,000 inhabitants",,,,,,,0.88
2015,"per 100,000 inhabitants",,,,,,,0.83
2016,"per 100,000 inhabitants",,,,,,,1.17
2017,"per 100,000 inhabitants",,,,,,,0.98
2018,"per 100,000 inhabitants",,,,,,,0.95
2019,"per 100,000 inhabitants",,,,,,,0.75
2020,"per 100,000 inhabitants",,,,,,,0.94
2021,"per 100,000 inhabitants",,,,,,,0.84
2022,"per 100,000 inhabitants",,,,r,,,0.83
2023,"per 100,000 inhabitants",,,,r,,,0.92
2024,"per 100,000 inhabitants",,,,…,,,
2010,"per 100,000 inhabitants",13 years and younger,,,.,,,
2011,"per 100,000 inhabitants",13 years and younger,,,,,,0.73
2012,"per 100,000 inhabitants",13 years and younger,,,,,,0.91
2013,"per 100,000 inhabitants",13 years and younger,,,,,,0.67
2014,"per 100,000 inhabitants",13 years and younger,,,,,,0.64
2015,"per 100,000 inhabitants",13 years and younger,,,,,,0.62
2016,"per 100,000 inhabitants",13 years and younger,,,,,,0.67
2017,"per 100,000 inhabitants",13 years and younger,,,,,,0.65
