Year,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,,,,(a) mountain green cover index,89.326
2011,,,,(a) mountain green cover index,89.326
2012,,,,(a) mountain green cover index,89.326
2013,,,,(a) mountain green cover index,89.401
2014,,,,(a) mountain green cover index,89.401
2015,,,,(a) mountain green cover index,89.401
2016,,,,(a) mountain green cover index,89.401
2017,,,,(a) mountain green cover index,89.415
2018,,,,(a) mountain green cover index,89.416
2019,,,,(a) mountain green cover index,89.44
2020,,,,(a) mountain green cover index,89.44
2021,,,,(a) mountain green cover index,89.196
2022,,,,(a) mountain green cover index,89.379
2023,,,,(a) mountain green cover index,89.379
2024,,,,(a) mountain green cover index,89.379
2010,,,,(b) proportion of degraded mountain area,1888322.648
2011,,,,(b) proportion of degraded mountain area,1888322.66
2012,,,,(b) proportion of degraded mountain area,1888325.569
2013,,,,(b) proportion of degraded mountain area,1889916.806
2014,,,,(b) proportion of degraded mountain area,1889916.806
2015,,,,(b) proportion of degraded mountain area,1889917.08
2016,,,,(b) proportion of degraded mountain area,1889917.08
2017,,,,(b) proportion of degraded mountain area,1890212.64
2018,,,,(b) proportion of degraded mountain area,1890228.909
2019,,,,(b) proportion of degraded mountain area,1890739.753
2020,,,,(b) proportion of degraded mountain area,1890739.753
2021,,,,(b) proportion of degraded mountain area,1885574.568
2022,,,,(b) proportion of degraded mountain area,1889444.756
2023,,,,(b) proportion of degraded mountain area,1889444.76
2024,,,,(b) proportion of degraded mountain area,1889444.76
