Year,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2021,,,,CO₂ emissions per real GDP,218932.0
2022,,,,CO₂ emissions per real GDP,193459.0
2023,,,,CO₂ emissions per real GDP,182289.0
2010,,,,CO₂ emissions per gross value added (price adjusted) in manufacturing industries,57.9
2011,,,,CO₂ emissions per gross value added (price adjusted) in manufacturing industries,57.0
2012,,,,CO₂ emissions per gross value added (price adjusted) in manufacturing industries,54.7
2013,,,,CO₂ emissions per gross value added (price adjusted) in manufacturing industries,54.3
2014,,,,CO₂ emissions per gross value added (price adjusted) in manufacturing industries,52.8
2015,,,,CO₂ emissions per gross value added (price adjusted) in manufacturing industries,47.8
2016,,,,CO₂ emissions per gross value added (price adjusted) in manufacturing industries,44.9
2017,,,,CO₂ emissions per gross value added (price adjusted) in manufacturing industries,42.2
2018,,,,CO₂ emissions per gross value added (price adjusted) in manufacturing industries,39.0
2019,,,,CO₂ emissions per gross value added (price adjusted) in manufacturing industries,37.3
2020,,,,CO₂ emissions per gross value added (price adjusted) in manufacturing industries,33.8
2021,,,,CO₂ emissions per gross value added (price adjusted) in manufacturing industries,32.8
2022,,,,CO₂ emissions per gross value added (price adjusted) in manufacturing industries,28.5
2023,,,,CO₂ emissions per gross value added (price adjusted) in manufacturing industries,27.1
2024,,,,CO₂ emissions per gross value added (price adjusted) in manufacturing industries,25.1
