Year,Units,Zeitreihe,Value
2010,Millionen EUR,Zusagen,1.9
2011,Millionen EUR,Zusagen,2.4
2012,Millionen EUR,Zusagen,3.1
2013,Millionen EUR,Zusagen,10.1
2014,Millionen EUR,Zusagen,0.1
2015,Millionen EUR,Zusagen,0.1
2016,Millionen EUR,Zusagen,0.1
2017,Millionen EUR,Zusagen,2.3
2018,Millionen EUR,Zusagen,0.1
2019,Millionen EUR,Zusagen,0.1
2020,Millionen EUR,Zusagen,2.0
2021,Millionen EUR,Zusagen,1.8
2010,Millionen EUR,Gesamte öffentliche Bruttoausgaben,2.6
2011,Millionen EUR,Gesamte öffentliche Bruttoausgaben,3.3
2012,Millionen EUR,Gesamte öffentliche Bruttoausgaben,1.8
2013,Millionen EUR,Gesamte öffentliche Bruttoausgaben,10.6
2014,Millionen EUR,Gesamte öffentliche Bruttoausgaben,0.1
2015,Millionen EUR,Gesamte öffentliche Bruttoausgaben,0.0
2016,Millionen EUR,Gesamte öffentliche Bruttoausgaben,0.1
2017,Millionen EUR,Gesamte öffentliche Bruttoausgaben,0.1
2018,Millionen EUR,Gesamte öffentliche Bruttoausgaben,0.5
2019,Millionen EUR,Gesamte öffentliche Bruttoausgaben,0.9
2020,Millionen EUR,Gesamte öffentliche Bruttoausgaben,1.1
2021,Millionen EUR,Gesamte öffentliche Bruttoausgaben,3.1
2010,"Millionen USD, konstante Preise (2021)",Zusagen,2.8
2011,"Millionen USD, konstante Preise (2021)",Zusagen,3.5
2012,"Millionen USD, konstante Preise (2021)",Zusagen,4.4
2013,"Millionen USD, konstante Preise (2021)",Zusagen,13.9
2014,"Millionen USD, konstante Preise (2021)",Zusagen,0.1
2015,"Millionen USD, konstante Preise (2021)",Zusagen,0.1
2016,"Millionen USD, konstante Preise (2021)",Zusagen,0.1
2017,"Millionen USD, konstante Preise (2021)",Zusagen,2.9
2018,"Millionen USD, konstante Preise (2021)",Zusagen,0.1
2019,"Millionen USD, konstante Preise (2021)",Zusagen,0.1
2020,"Millionen USD, konstante Preise (2021)",Zusagen,2.4
2021,"Millionen USD, konstante Preise (2021)",Zusagen,2.2
2010,"Millionen USD, konstante Preise (2021)",Gesamte öffentliche Bruttoausgaben,3.8
2011,"Millionen USD, konstante Preise (2021)",Gesamte öffentliche Bruttoausgaben,4.7
2012,"Millionen USD, konstante Preise (2021)",Gesamte öffentliche Bruttoausgaben,2.5
2013,"Millionen USD, konstante Preise (2021)",Gesamte öffentliche Bruttoausgaben,14.7
2014,"Millionen USD, konstante Preise (2021)",Gesamte öffentliche Bruttoausgaben,0.1
2015,"Millionen USD, konstante Preise (2021)",Gesamte öffentliche Bruttoausgaben,0.0
2016,"Millionen USD, konstante Preise (2021)",Gesamte öffentliche Bruttoausgaben,0.1
2017,"Millionen USD, konstante Preise (2021)",Gesamte öffentliche Bruttoausgaben,0.1
2018,"Millionen USD, konstante Preise (2021)",Gesamte öffentliche Bruttoausgaben,0.7
2019,"Millionen USD, konstante Preise (2021)",Gesamte öffentliche Bruttoausgaben,1.1
2020,"Millionen USD, konstante Preise (2021)",Gesamte öffentliche Bruttoausgaben,1.4
2021,"Millionen USD, konstante Preise (2021)",Gesamte öffentliche Bruttoausgaben,3.7
