Year,Geschlecht,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,,.,,,
2011,,.,,,
2012,,,,,101.6
2013,,,,,99.6
2014,,,,,100.2
2015,,,,,100.5
2016,,,,,100.9
2017,,,,,99.0
2018,,,,,98.3
2019,,,,,98.0
2020,,,,,97.4
2021,,,,,96.6
2022,,,,,98.8
2023,,,,,102.4
2024,,,,,99.7
2010,Weiblich,.,,,
2011,Weiblich,.,,,
2012,Weiblich,,,,98.2
2013,Weiblich,,,,98.6
2014,Weiblich,,,,97.5
2015,Weiblich,,,,97.7
2016,Weiblich,,,,97.8
2017,Weiblich,,,,96.0
2018,Weiblich,,,,95.3
2019,Weiblich,,,,92.7
2020,Weiblich,,,,94.5
2021,Weiblich,,,,91.1
2022,Weiblich,,,,87.0
2023,Weiblich,,,,88.0
2024,Weiblich,,,,97.3
2010,Männlich,.,,,
2011,Männlich,.,,,
2012,Männlich,,,,94.6
2013,Männlich,,,,85.0
2014,Männlich,,,,97.5
2015,Männlich,,,,98.1
2016,Männlich,,,,72.4
2017,Männlich,,,,69.5
2018,Männlich,,,,78.7
2019,Männlich,,,,78.9
2020,Männlich,,,,35.8
2021,Männlich,,,,39.0
2022,Männlich,,,,58.3
2023,Männlich,,,,70.6
2024,Männlich,,,,61.9
2010,Divers,.,,,
2011,Divers,.,,,
2012,Divers,,,,95.0
2013,Divers,,,,92.8
2014,Divers,,,,89.8
2015,Divers,,,,87.0
2016,Divers,,,,84.4
2017,Divers,,,,85.5
2018,Divers,,,,88.1
2019,Divers,,,,88.7
2020,Divers,,,,71.8
2021,Divers,,,,74.8
2022,Divers,,,,78.8
2023,Divers,,,,80.7
2024,Divers,,,,82.4
