Year,Units,Zeitreihe,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Prozent,Jährliche Wachstumsrate des realen BIP,.,,,
2011,Prozent,Jährliche Wachstumsrate des realen BIP,.,,,
2012,Prozent,Jährliche Wachstumsrate des realen BIP,.,,,
2013,Prozent,Jährliche Wachstumsrate des realen BIP,.,,,
2014,Prozent,Jährliche Wachstumsrate des realen BIP,.,,,
2015,Prozent,Jährliche Wachstumsrate des realen BIP,,,,92.17
2016,Prozent,Jährliche Wachstumsrate des realen BIP,.,,,
2017,Prozent,Jährliche Wachstumsrate des realen BIP,,,,93.6
2018,Prozent,Jährliche Wachstumsrate des realen BIP,.,,,
2019,Prozent,Jährliche Wachstumsrate des realen BIP,,,,94.19
2020,Prozent,Jährliche Wachstumsrate des realen BIP,.,,,
2021,Prozent,Jährliche Wachstumsrate des realen BIP,,,,94.92
2022,Prozent,Jährliche Wachstumsrate des realen BIP,.,,,
2023,Prozent,Jährliche Wachstumsrate des realen BIP,,,,91.62
2024,Prozent,Jährliche Wachstumsrate des realen BIP,…,,,
2010,Milliarden EUR,Verfügbares Einkommen privater Haushalte,.,,,
2011,Milliarden EUR,Verfügbares Einkommen privater Haushalte,.,,,
2012,Milliarden EUR,Verfügbares Einkommen privater Haushalte,.,,,
2013,Milliarden EUR,Verfügbares Einkommen privater Haushalte,.,,,
2014,Milliarden EUR,Verfügbares Einkommen privater Haushalte,.,,,
2015,Milliarden EUR,Verfügbares Einkommen privater Haushalte,,,,92.34
2016,Milliarden EUR,Verfügbares Einkommen privater Haushalte,.,,,
2017,Milliarden EUR,Verfügbares Einkommen privater Haushalte,,,,94.33
2018,Milliarden EUR,Verfügbares Einkommen privater Haushalte,.,,,
2019,Milliarden EUR,Verfügbares Einkommen privater Haushalte,,,,91.1
2020,Milliarden EUR,Verfügbares Einkommen privater Haushalte,.,,,
2021,Milliarden EUR,Verfügbares Einkommen privater Haushalte,,,,95.9
2022,Milliarden EUR,Verfügbares Einkommen privater Haushalte,.,,,
2023,Milliarden EUR,Verfügbares Einkommen privater Haushalte,,,,92.39
2024,Milliarden EUR,Verfügbares Einkommen privater Haushalte,…,,,
2010,Milliarden EUR,Konsum privater Haushalte,.,,,
2011,Milliarden EUR,Konsum privater Haushalte,.,,,
2012,Milliarden EUR,Konsum privater Haushalte,.,,,
2013,Milliarden EUR,Konsum privater Haushalte,.,,,
2014,Milliarden EUR,Konsum privater Haushalte,.,,,
