Year,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2015,,,,1) Vertragspartei des Basler Übereinkommens,1.0
2020,,,,1) Vertragspartei des Basler Übereinkommens,1.0
2015,,,,2) Vertragspartei des Montrealer Protokolls,1.0
2020,,,,2) Vertragspartei des Montrealer Protokolls,1.0
2015,,,,3) Vertragspartei des Rotterdamer Übereinkommens,1.0
2020,,,,3) Vertragspartei des Rotterdamer Übereinkommens,1.0
2015,,,,4) Vertragspartei des Stockholmer Übereinkommens,1.0
2020,,,,4) Vertragspartei des Stockholmer Übereinkommens,1.0
2019,.,,,5) Vertragspartei des Minamata Übereinkommens,
2020,,,,5) Vertragspartei des Minamata Übereinkommens,1.0
2021,…,,,5) Vertragspartei des Minamata Übereinkommens,
