Year,Sex,Form of abuse,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2019,Female,,.,,,
2020,Female,,,,,66.4
2021,Female,,…,,,
2019,Male,,.,,,
2020,Male,,,,,31.3
2021,Male,,…,,,
2019,,Physical abuse,.,,,
2020,,Physical abuse,,,,2.1
2021,,Physical abuse,…,,,
2019,Female,Physical abuse,.,,,
2020,Female,Physical abuse,,,,0.2
2021,Female,Physical abuse,…,,,
2019,Male,Physical abuse,.,,,
2020,Male,Physical abuse,,,,75.5
2021,Male,Physical abuse,…,,,
2019,,Psychological abuse,.,,,
2020,,Psychological abuse,,,,22.2
2021,,Psychological abuse,…,,,
2019,Female,Psychological abuse,.,,,
2020,Female,Psychological abuse,,,,1.7
2021,Female,Psychological abuse,…,,,
2019,Male,Psychological abuse,.,,,
2020,Male,Psychological abuse,,,,0.6
2021,Male,Psychological abuse,…,,,
