Year,Units,Value,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series
2010,million tonnes,1212,r,,,raw material consumption (rmc)
2011,million tonnes,1310,r,,,raw material consumption (rmc)
2012,million tonnes,1269,r,,,raw material consumption (rmc)
2013,million tonnes,1241,r,,,raw material consumption (rmc)
2014,million tonnes,1252,r,,,raw material consumption (rmc)
2015,million tonnes,1207,r,,,raw material consumption (rmc)
2016,million tonnes,1246,r,,,raw material consumption (rmc)
2017,million tonnes,1281,r,,,raw material consumption (rmc)
2018,million tonnes,1299,r,,,raw material consumption (rmc)
2019,million tonnes,1285,r,,,raw material consumption (rmc)
2020,million tonnes,1230,r,,,raw material consumption (rmc)
2021,million tonnes,1263,,,,raw material consumption (rmc)
2022,million tonnes,1212,p,,,raw material consumption (rmc)
2010,tonnes per capita,14.8,r,,,raw material consumption (rmc)
2011,tonnes per capita,16.3,r,,,raw material consumption (rmc)
2012,tonnes per capita,15.8,r,,,raw material consumption (rmc)
2013,tonnes per capita,15.4,r,,,raw material consumption (rmc)
2014,tonnes per capita,15.4,r,,,raw material consumption (rmc)
2015,tonnes per capita,14.7,r,,,raw material consumption (rmc)
2016,tonnes per capita,15.1,r,,,raw material consumption (rmc)
2017,tonnes per capita,15.5,r,,,raw material consumption (rmc)
2018,tonnes per capita,15.6,r,,,raw material consumption (rmc)
2019,tonnes per capita,15.5,r,,,raw material consumption (rmc)
2020,tonnes per capita,14.8,r,,,raw material consumption (rmc)
2021,tonnes per capita,15.2,,,,raw material consumption (rmc)
2022,tonnes per capita,14.4,p,,,raw material consumption (rmc)
2010,2020 = 100,110.2,r,,,raw material consumption per real gdp
2011,2020 = 100,114.8,r,,,raw material consumption per real gdp
2012,2020 = 100,110.7,r,,,raw material consumption per real gdp
2013,2020 = 100,107.8,r,,,raw material consumption per real gdp
2014,2020 = 100,106.5,r,,,raw material consumption per real gdp
2015,2020 = 100,101.0,r,,,raw material consumption per real gdp
2016,2020 = 100,101.9,r,,,raw material consumption per real gdp
2017,2020 = 100,102.0,r,,,raw material consumption per real gdp
2018,2020 = 100,102.3,r,,,raw material consumption per real gdp
2019,2020 = 100,100.2,r,,,raw material consumption per real gdp
2020,2020 = 100,100.0,,,,raw material consumption per real gdp
2021,2020 = 100,99.0,p,,,raw material consumption per real gdp
2022,2020 = 100,93.8,p,,,raw material consumption per real gdp
