Year,age group,sex,Value,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2
2010,16 to under 75 years,,0.47,,,
2011,16 to under 75 years,,0.46,,,
2012,16 to under 75 years,,0.51,,,
2013,16 to under 75 years,,0.49,,,
2014,16 to under 75 years,,0.55,,,
2015,16 to under 75 years,,0.55,,,
2016,16 to under 75 years,,0.64,,,
2017,16 to under 75 years,,0.64,,,
2018,16 to under 75 years,,0.70,,,
2019,16 to under 75 years,,0.70,,,
2020,16 to under 75 years,,0.79,,,
2021,16 to under 75 years,,0.79,,,
2022,16 to under 75 years,,0.80,,,
2023,16 to under 75 years,,0.80,,,
2010,16 to under 75 years,female,0.59,,,
2011,16 to under 75 years,female,0.61,,,
2012,16 to under 75 years,female,0.63,,,
2013,16 to under 75 years,female,0.64,,,
2014,16 to under 75 years,female,0.66,,,
2015,16 to under 75 years,female,0.69,,,
2016,16 to under 75 years,female,0.71,,,
2017,16 to under 75 years,female,0.74,,,
2018,16 to under 75 years,female,0.75,,,
2019,16 to under 75 years,female,0.77,,,
2020,16 to under 75 years,female,0.79,,,
2021,16 to under 75 years,female,0.81,,,
2022,16 to under 75 years,female,0.83,,,
2023,16 to under 75 years,female,0.86,,,
2010,16 to under 75 years,male,0.82,,,
2011,16 to under 75 years,male,0.83,,,
2012,16 to under 75 years,male,0.85,,,
2013,16 to under 75 years,male,0.88,,,
2014,16 to under 75 years,male,0.88,,,
2015,16 to under 75 years,male,0.93,,,
2016,16 to under 75 years,male,0.94,,,
2017,16 to under 75 years,male,0.96,,,
2018,16 to under 75 years,male,0.97,,,
2019,16 to under 75 years,male,0.98,,,
2020,16 to under 75 years,male,1.00,,,
2021,16 to under 75 years,male,1.02,,,
2022,16 to under 75 years,male,1.03,,,
2023,16 to under 75 years,male,1.05,,,
2010,16 to under 25 years,,,.,,
2011,16 to under 25 years,,,.,,
2012,16 to under 25 years,,,.,,
2013,16 to under 25 years,,,.,,
2014,16 to under 25 years,,,.,,
2015,16 to under 25 years,,92.17,,,
2016,16 to under 25 years,,,.,,
2017,16 to under 25 years,,93.60,,,
2018,16 to under 25 years,,,.,,
2019,16 to under 25 years,,94.19,,,
2020,16 to under 25 years,,,.,,
2021,16 to under 25 years,,94.92,,,
2022,16 to under 25 years,,,.,,
2023,16 to under 25 years,,91.62,,,
2010,25 to under 65 years,,,.,,
2011,25 to under 65 years,,,.,,
2012,25 to under 65 years,,,.,,
2013,25 to under 65 years,,,.,,
2014,25 to under 65 years,,,.,,
2015,25 to under 65 years,,92.34,,,
2016,25 to under 65 years,,,.,,
2017,25 to under 65 years,,94.33,,,
2018,25 to under 65 years,,,.,,
2019,25 to under 65 years,,91.10,,,
2020,25 to under 65 years,,,.,,
2021,25 to under 65 years,,95.90,,,
2022,25 to under 65 years,,,.,,
2023,25 to under 65 years,,92.39,,,
2010,65 to under 75 years,,,.,,
2011,65 to under 75 years,,,.,,
2012,65 to under 75 years,,,.,,
2013,65 to under 75 years,,,.,,
2014,65 to under 75 years,,,.,,
2015,65 to under 75 years,,91.98,,,
2016,65 to under 75 years,,,.,,
2017,65 to under 75 years,,92.78,,,
2018,65 to under 75 years,,,.,,
2019,65 to under 75 years,,94.33,,,
2020,65 to under 75 years,,,.,,
2021,65 to under 75 years,,93.87,,,
2022,65 to under 75 years,,,.,,
2023,65 to under 75 years,,90.76,,,
