Year,Units,age group,sex,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,number,13 years and younger,,,,,11
2011,number,13 years and younger,,,,,29
2012,number,13 years and younger,,,,,19
2013,number,13 years and younger,,,,,18
2014,number,13 years and younger,,,,,22
2015,number,13 years and younger,,,,,19
2016,number,13 years and younger,,,,,36
2017,number,13 years and younger,,|,,,67
2018,number,13 years and younger,,,,,18
2019,number,13 years and younger,,,,,15
2020,number,13 years and younger,,,,,31
2021,number,13 years and younger,,,,,36
2022,number,13 years and younger,,,,,20
2023,number,13 years and younger,,,,,13
2024,number,13 years and younger,,,,,17
2010,number,13 years and younger,female,,,,2
2011,number,13 years and younger,female,,,,13
2012,number,13 years and younger,female,,,,11
2013,number,13 years and younger,female,,,,6
2014,number,13 years and younger,female,,,,9
2015,number,13 years and younger,female,,,,7
2016,number,13 years and younger,female,,,,15
2017,number,13 years and younger,female,|,,,16
2018,number,13 years and younger,female,,,,9
2019,number,13 years and younger,female,,,,9
2020,number,13 years and younger,female,,,,10
2021,number,13 years and younger,female,,,,17
2022,number,13 years and younger,female,,,,13
2023,number,13 years and younger,female,,,,8
2024,number,13 years and younger,female,,,,11
2010,number,13 years and younger,male,,,,9
2011,number,13 years and younger,male,,,,16
2012,number,13 years and younger,male,,,,8
2013,number,13 years and younger,male,,,,12
2014,number,13 years and younger,male,,,,13
2015,number,13 years and younger,male,,,,12
2016,number,13 years and younger,male,,,,21
2017,number,13 years and younger,male,|,,,51
2018,number,13 years and younger,male,,,,9
2019,number,13 years and younger,male,,,,6
2020,number,13 years and younger,male,,,,21
2021,number,13 years and younger,male,,,,19
2022,number,13 years and younger,male,,,,7
2023,number,13 years and younger,male,,,,5
2024,number,13 years and younger,male,,,,6
2010,number,14 to under 18 years,,,,,108
2011,number,14 to under 18 years,,,,,95
2012,number,14 to under 18 years,,,,,96
2013,number,14 to under 18 years,,,,,92
2014,number,14 to under 18 years,,,,,76
2015,number,14 to under 18 years,,,,,87
2016,number,14 to under 18 years,,,,,111
2017,number,14 to under 18 years,,|,,,53
2018,number,14 to under 18 years,,,,,112
2019,number,14 to under 18 years,,,,,89
2020,number,14 to under 18 years,,,,,86
2021,number,14 to under 18 years,,,,,82
2022,number,14 to under 18 years,,,,,86
2023,number,14 to under 18 years,,,,,67
2024,number,14 to under 18 years,,,,,70
2010,number,14 to under 18 years,female,,,,97
2011,number,14 to under 18 years,female,,,,82
2012,number,14 to under 18 years,female,,,,88
2013,number,14 to under 18 years,female,,,,79
2014,number,14 to under 18 years,female,,,,66
2015,number,14 to under 18 years,female,,,,80
2016,number,14 to under 18 years,female,,,,100
2017,number,14 to under 18 years,female,|,,,49
2018,number,14 to under 18 years,female,,,,96
2019,number,14 to under 18 years,female,,,,74
2020,number,14 to under 18 years,female,,,,62
2021,number,14 to under 18 years,female,,,,64
2022,number,14 to under 18 years,female,,,,72
2023,number,14 to under 18 years,female,,,,61
2024,number,14 to under 18 years,female,,,,55
2010,number,14 to under 18 years,male,,,,11
2011,number,14 to under 18 years,male,,,,13
2012,number,14 to under 18 years,male,,,,8
2013,number,14 to under 18 years,male,,,,13
2014,number,14 to under 18 years,male,,,,10
2015,number,14 to under 18 years,male,,,,7
2016,number,14 to under 18 years,male,,,,11
2017,number,14 to under 18 years,male,|,,,4
2018,number,14 to under 18 years,male,,,,16
2019,number,14 to under 18 years,male,,,,15
2020,number,14 to under 18 years,male,,,,24
2021,number,14 to under 18 years,male,,,,18
2022,number,14 to under 18 years,male,,,,14
2023,number,14 to under 18 years,male,,,,6
2024,number,14 to under 18 years,male,,,,15
2010,number,,,,,,119
2011,number,,,,,,124
2012,number,,,,,,115
2013,number,,,,,,110
2014,number,,,,,,98
2015,number,,,,,,106
2016,number,,,,,,147
2017,number,,,,,,120
2018,number,,,,,,130
2019,number,,,,,,104
2020,number,,,,,,117
2021,number,,,,,,118
2022,number,,,,,,106
2023,number,,,,,,80
2024,number,,,,,,87
2010,number,,female,,,,99
2011,number,,female,,,,95
2012,number,,female,,,,99
2013,number,,female,,,,85
2014,number,,female,,,,75
2015,number,,female,,,,87
2016,number,,female,,,,115
2017,number,,female,,,,65
2018,number,,female,,,,105
2019,number,,female,,,,83
2020,number,,female,,,,72
2021,number,,female,,,,81
2022,number,,female,,,,85
2023,number,,female,,,,69
2024,number,,female,,,,66
2010,number,,male,,,,20
2011,number,,male,,,,29
2012,number,,male,,,,16
2013,number,,male,,,,25
2014,number,,male,,,,23
2015,number,,male,,,,19
2016,number,,male,,,,32
2017,number,,male,|,,,55
2018,number,,male,,,,25
2019,number,,male,,,,21
2020,number,,male,,,,45
2021,number,,male,,,,37
2022,number,,male,,,,21
2023,number,,male,,,,11
2024,number,,male,,,,21
2010,"per 100,000 inhabitants",13 years and younger,,,,,0.1
2011,"per 100,000 inhabitants",13 years and younger,,,,,0.3
2012,"per 100,000 inhabitants",13 years and younger,,,,,0.2
2013,"per 100,000 inhabitants",13 years and younger,,|,,,0.2
2014,"per 100,000 inhabitants",13 years and younger,,,,,0.2
2015,"per 100,000 inhabitants",13 years and younger,,,,,0.2
2016,"per 100,000 inhabitants",13 years and younger,,,,,0.4
2017,"per 100,000 inhabitants",13 years and younger,,|,,,0.7
2018,"per 100,000 inhabitants",13 years and younger,,,,,0.2
2019,"per 100,000 inhabitants",13 years and younger,,,,,0.1
2020,"per 100,000 inhabitants",13 years and younger,,,,,0.3
2021,"per 100,000 inhabitants",13 years and younger,,,,,0.3
2022,"per 100,000 inhabitants",13 years and younger,,,,,0.2
2023,"per 100,000 inhabitants",13 years and younger,,,,,0.1
2024,"per 100,000 inhabitants",13 years and younger,,|,,,0.2
2010,"per 100,000 inhabitants",13 years and younger,female,0,,,0.0
2011,"per 100,000 inhabitants",13 years and younger,female,,,,0.3
2012,"per 100,000 inhabitants",13 years and younger,female,,,,0.2
2013,"per 100,000 inhabitants",13 years and younger,female,|,,,0.1
2014,"per 100,000 inhabitants",13 years and younger,female,,,,0.2
2015,"per 100,000 inhabitants",13 years and younger,female,,,,0.1
2016,"per 100,000 inhabitants",13 years and younger,female,,,,0.3
2017,"per 100,000 inhabitants",13 years and younger,female,|,,,0.3
2018,"per 100,000 inhabitants",13 years and younger,female,,,,0.2
2019,"per 100,000 inhabitants",13 years and younger,female,,,,0.2
2020,"per 100,000 inhabitants",13 years and younger,female,,,,0.2
2021,"per 100,000 inhabitants",13 years and younger,female,,,,0.3
2022,"per 100,000 inhabitants",13 years and younger,female,,,,0.2
2023,"per 100,000 inhabitants",13 years and younger,female,,,,0.1
2024,"per 100,000 inhabitants",13 years and younger,female,|,,,0.2
2010,"per 100,000 inhabitants",13 years and younger,male,,,,0.2
2011,"per 100,000 inhabitants",13 years and younger,male,,,,0.3
2012,"per 100,000 inhabitants",13 years and younger,male,,,,0.2
2013,"per 100,000 inhabitants",13 years and younger,male,|,,,0.2
2014,"per 100,000 inhabitants",13 years and younger,male,,,,0.3
2015,"per 100,000 inhabitants",13 years and younger,male,,,,0.2
2016,"per 100,000 inhabitants",13 years and younger,male,,,,0.4
2017,"per 100,000 inhabitants",13 years and younger,male,|,,,1.0
2018,"per 100,000 inhabitants",13 years and younger,male,,,,0.2
2019,"per 100,000 inhabitants",13 years and younger,male,,,,0.1
2020,"per 100,000 inhabitants",13 years and younger,male,,,,0.4
2021,"per 100,000 inhabitants",13 years and younger,male,,,,0.3
2022,"per 100,000 inhabitants",13 years and younger,male,,,,0.1
2023,"per 100,000 inhabitants",13 years and younger,male,,,,0.1
2024,"per 100,000 inhabitants",13 years and younger,male,|,,,0.1
2010,"per 100,000 inhabitants",14 to under 18 years,,,,,3.3
2011,"per 100,000 inhabitants",14 to under 18 years,,,,,3.0
2012,"per 100,000 inhabitants",14 to under 18 years,,,,,3.0
2013,"per 100,000 inhabitants",14 to under 18 years,,|,,,2.9
2014,"per 100,000 inhabitants",14 to under 18 years,,,,,2.4
2015,"per 100,000 inhabitants",14 to under 18 years,,,,,2.7
2016,"per 100,000 inhabitants",14 to under 18 years,,,,,3.5
2017,"per 100,000 inhabitants",14 to under 18 years,,|,,,1.7
2018,"per 100,000 inhabitants",14 to under 18 years,,,,,3.6
2019,"per 100,000 inhabitants",14 to under 18 years,,,,,2.9
2020,"per 100,000 inhabitants",14 to under 18 years,,,,,2.8
2021,"per 100,000 inhabitants",14 to under 18 years,,,,,2.7
2022,"per 100,000 inhabitants",14 to under 18 years,,,,,2.9
2023,"per 100,000 inhabitants",14 to under 18 years,,,,,2.2
2024,"per 100,000 inhabitants",14 to under 18 years,,|,,,2.3
2010,"per 100,000 inhabitants",14 to under 18 years,female,,,,6.2
2011,"per 100,000 inhabitants",14 to under 18 years,female,,,,5.3
2012,"per 100,000 inhabitants",14 to under 18 years,female,,,,4.3
2013,"per 100,000 inhabitants",14 to under 18 years,female,|,,,5.1
2014,"per 100,000 inhabitants",14 to under 18 years,female,,,,4.2
