Year,Units,time series,Value,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2
2010,million eur,commitments (oda),3345.1,r,,
2011,million eur,commitments (oda),2681.9,r,,
2012,million eur,commitments (oda),2591.8,r,,
2013,million eur,commitments (oda),3778.8,r,,
2014,million eur,commitments (oda),5803.2,r,,
2015,million eur,commitments (oda),5074.6,r,,
2016,million eur,commitments (oda),5323.7,r,,
2017,million eur,commitments (oda),5053.4,r,,
2018,million eur,commitments (oda),5160.6,r,,
2019,million eur,commitments (oda),6063.6,r,,
2020,million eur,commitments (oda),6911.9,r,,
2021,million eur,commitments (oda),6205.6,r,,
2022,million eur,commitments (oda),7684.0,,,
2010,million eur,gross disbursements (oda),2280.2,r,,
2011,million eur,gross disbursements (oda),2198.3,r,,
2012,million eur,gross disbursements (oda),1922.8,r,,
2013,million eur,gross disbursements (oda),2589.4,r,,
2014,million eur,gross disbursements (oda),3438.9,r,,
2015,million eur,gross disbursements (oda),4476.5,r,,
2016,million eur,gross disbursements (oda),4030.8,r,,
2017,million eur,gross disbursements (oda),4011.8,r,,
2018,million eur,gross disbursements (oda),3951.5,r,,
2019,million eur,gross disbursements (oda),4389.7,r,,
2020,million eur,gross disbursements (oda),5039.1,r,,
2021,million eur,gross disbursements (oda),4945.3,r,,
2022,million eur,gross disbursements (oda),6285.3,,,
2010,"million usd, constant prices (2022)",commitments (oda),4520.1,r,,
2011,"million usd, constant prices (2022)",commitments (oda),3585.1,r,,
2012,"million usd, constant prices (2022)",commitments (oda),3413.9,r,,
2013,"million usd, constant prices (2022)",commitments (oda),4881.5,r,,
2014,"million usd, constant prices (2022)",commitments (oda),7359.1,r,,
2015,"million usd, constant prices (2022)",commitments (oda),6317.8,r,,
2016,"million usd, constant prices (2022)",commitments (oda),6541.0,r,,
2017,"million usd, constant prices (2022)",commitments (oda),6116.8,r,,
2018,"million usd, constant prices (2022)",commitments (oda),6123.7,r,,
2019,"million usd, constant prices (2022)",commitments (oda),7045.0,r,,
2020,"million usd, constant prices (2022)",commitments (oda),7882.7,r,,
2021,"million usd, constant prices (2022)",commitments (oda),6870.4,r,,
2022,"million usd, constant prices (2022)",commitments (oda),8080.8,,,
2010,"million usd, constant prices (2022)",gross disbursements (oda),3081.2,r,,
2011,"million usd, constant prices (2022)",gross disbursements (oda),2938.6,r,,
2012,"million usd, constant prices (2022)",gross disbursements (oda),2532.7,r,,
2013,"million usd, constant prices (2022)",gross disbursements (oda),3345.0,r,,
2014,"million usd, constant prices (2022)",gross disbursements (oda),4360.9,r,,
2015,"million usd, constant prices (2022)",gross disbursements (oda),5573.2,r,,
2016,"million usd, constant prices (2022)",gross disbursements (oda),4952.4,r,,
2017,"million usd, constant prices (2022)",gross disbursements (oda),4855.9,r,,
2018,"million usd, constant prices (2022)",gross disbursements (oda),4689.1,r,,
2019,"million usd, constant prices (2022)",gross disbursements (oda),5100.1,r,,
2020,"million usd, constant prices (2022)",gross disbursements (oda),5746.9,r,,
2021,"million usd, constant prices (2022)",gross disbursements (oda),5475.1,r,,
2022,"million usd, constant prices (2022)",gross disbursements (oda),6609.9,,,
