Year,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,,,,(a) implementation of national targets in accordance with aichi biodiversity target 2 of the strategic plan for biodiversity 2011-2020,12171366.240
2011,,,,(a) implementation of national targets in accordance with aichi biodiversity target 2 of the strategic plan for biodiversity 2011-2020,12259124.467
2012,,,,(a) implementation of national targets in accordance with aichi biodiversity target 2 of the strategic plan for biodiversity 2011-2020,12357497.507
2013,,,,(a) implementation of national targets in accordance with aichi biodiversity target 2 of the strategic plan for biodiversity 2011-2020,12458418.937
2014,,,,(a) implementation of national targets in accordance with aichi biodiversity target 2 of the strategic plan for biodiversity 2011-2020,12534161.681
2015,,,,(a) implementation of national targets in accordance with aichi biodiversity target 2 of the strategic plan for biodiversity 2011-2020,12586428.780
2016,,,,(a) implementation of national targets in accordance with aichi biodiversity target 2 of the strategic plan for biodiversity 2011-2020,12828449.534
2017,,,,(a) implementation of national targets in accordance with aichi biodiversity target 2 of the strategic plan for biodiversity 2011-2020,12915156.220
2018,,,,(a) implementation of national targets in accordance with aichi biodiversity target 2 of the strategic plan for biodiversity 2011-2020,13079997.866
2019,,,,(a) implementation of national targets in accordance with aichi biodiversity target 2 of the strategic plan for biodiversity 2011-2020,13362069.354
2020,,,,(a) implementation of national targets in accordance with aichi biodiversity target 2 of the strategic plan for biodiversity 2011-2020,13362069.354
2021,,,,(a) implementation of national targets in accordance with aichi biodiversity target 2 of the strategic plan for biodiversity 2011-2020,13362069.354
2022,,,,(a) implementation of national targets in accordance with aichi biodiversity target 2 of the strategic plan for biodiversity 2011-2020,13410677.803
2023,,,,(a) implementation of national targets in accordance with aichi biodiversity target 2 of the strategic plan for biodiversity 2011-2020,13410677.803
2024,,,,(a) implementation of national targets in accordance with aichi biodiversity target 2 of the strategic plan for biodiversity 2011-2020,13410677.800
2010,,,,(b) implementation of the principles of biodiversity in the seea,34.042
2011,,,,(b) implementation of the principles of biodiversity in the seea,34.287
2012,,,,(b) implementation of the principles of biodiversity in the seea,34.562
2013,,,,(b) implementation of the principles of biodiversity in the seea,34.844
2014,,,,(b) implementation of the principles of biodiversity in the seea,35.056
2015,,,,(b) implementation of the principles of biodiversity in the seea,35.203
2016,,,,(b) implementation of the principles of biodiversity in the seea,35.879
2017,,,,(b) implementation of the principles of biodiversity in the seea,36.122
2018,,,,(b) implementation of the principles of biodiversity in the seea,36.583
2019,,,,(b) implementation of the principles of biodiversity in the seea,37.372
2020,,,,(b) implementation of the principles of biodiversity in the seea,37.372
2021,,,,(b) implementation of the principles of biodiversity in the seea,37.372
2022,,,,(b) implementation of the principles of biodiversity in the seea,37.508
2023,,,,(b) implementation of the principles of biodiversity in the seea,37.508
2024,,,,(b) implementation of the principles of biodiversity in the seea,37.508
