Year,Units,timeseries,fields of work,level of court,Value,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2
2010,percentage,working-age population,,,,.,,
2011,percentage,working-age population,,,,.,,
2012,percentage,working-age population,,,,,,
2013,percentage,working-age population,,,,.,,
2014,percentage,working-age population,,,,.,,
2015,percentage,working-age population,,,,.,,
2016,percentage,working-age population,,,,.,,
2017,percentage,working-age population,,,,,,
2018,percentage,working-age population,,,,.,,
2019,percentage,working-age population,,,,.,,
2020,percentage,working-age population,,,,|,,
2021,percentage,working-age population,,,,…,,
2022,percentage,working-age population,,,,…,,
2023,percentage,working-age population,,,,…,,
2010,percentage,german bundestag (lower chamber),,,18.23,,,
2011,percentage,german bundestag (lower chamber),,,18.55,,,
2012,percentage,german bundestag (lower chamber),,,18.83,,,
2013,percentage,german bundestag (lower chamber),,,19.55,,,
2014,percentage,german bundestag (lower chamber),,,20.53,,,
2015,percentage,german bundestag (lower chamber),,,21.76,,,
2016,percentage,german bundestag (lower chamber),,,22.82,,,
2017,percentage,german bundestag (lower chamber),,,23.98,,,
2018,percentage,german bundestag (lower chamber),,,23.89,,,
2019,percentage,german bundestag (lower chamber),,,23.08,,,
2020,percentage,german bundestag (lower chamber),,,23.52,,,
2021,percentage,german bundestag (lower chamber),,,22.59,,,
2022,percentage,german bundestag (lower chamber),,,24.06,,,
2023,percentage,german bundestag (lower chamber),,,26.35,,,
2010,percentage,bundesrat (upper chamber),,,19.61,,,
2011,percentage,bundesrat (upper chamber),,,19.30,,,
2012,percentage,bundesrat (upper chamber),,,20.37,,,
2013,percentage,bundesrat (upper chamber),,,20.07,,,
2014,percentage,bundesrat (upper chamber),,,21.82,,,
2015,percentage,bundesrat (upper chamber),,,21.09,,,
2016,percentage,bundesrat (upper chamber),,,22.08,,,
2017,percentage,bundesrat (upper chamber),,,22.25,,,
2018,percentage,bundesrat (upper chamber),,,22.46,,,
2019,percentage,bundesrat (upper chamber),,,22.18,,,
2020,percentage,bundesrat (upper chamber),,,23.54,,,
2021,percentage,bundesrat (upper chamber),,,19.73,,,
2022,percentage,bundesrat (upper chamber),,,22.14,r,,
2023,percentage,bundesrat (upper chamber),,,24.06,,,
