Year,Units,type of official development assistance,type of flow,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,million eur,commitments,official development assistance,,,,915.979
2011,million eur,commitments,official development assistance,,,,809.223
2012,million eur,commitments,official development assistance,,,,740.520
2013,million eur,commitments,official development assistance,,,,835.927
2014,million eur,commitments,official development assistance,,,,1115.451
2015,million eur,commitments,official development assistance,,,,1578.019
2016,million eur,commitments,official development assistance,,,,1278.447
2017,million eur,commitments,official development assistance,,,,2141.104
2018,million eur,commitments,official development assistance,,,,1733.447
2019,million eur,commitments,official development assistance,,,,1873.352
2020,million eur,commitments,official development assistance,,,,3043.442
2021,million eur,commitments,official development assistance,,,,2889.194
2022,million eur,commitments,official development assistance,,,,2922.855
2023,million eur,commitments,official development assistance,,,,3486.589
2024,million eur,commitments,official development assistance,,,,2512.359
2010,million eur,gross disbursements,official development assistance,,,,674.991
2011,million eur,gross disbursements,official development assistance,,,,703.802
2012,million eur,gross disbursements,official development assistance,,,,743.479
2013,million eur,gross disbursements,official development assistance,,,,819.911
2014,million eur,gross disbursements,official development assistance,,,,929.041
2015,million eur,gross disbursements,official development assistance,,,,1301.967
2016,million eur,gross disbursements,official development assistance,,,,1210.381
2017,million eur,gross disbursements,official development assistance,,,,1536.772
2018,million eur,gross disbursements,official development assistance,,,,1777.038
2019,million eur,gross disbursements,official development assistance,,,,1571.422
2020,million eur,gross disbursements,official development assistance,,,,2213.092
2021,million eur,gross disbursements,official development assistance,,,,2363.100
2022,million eur,gross disbursements,official development assistance,,,,2751.262
2023,million eur,gross disbursements,official development assistance,,,,2322.643
2024,million eur,gross disbursements,official development assistance,,,,3495.474
2010,million eur,commitments,other official flows,,,,0.000
2011,million eur,commitments,other official flows,,,,0.000
2012,million eur,commitments,other official flows,,,,0.000
2013,million eur,commitments,other official flows,,,,0.000
2014,million eur,commitments,other official flows,,,,0.000
2015,million eur,commitments,other official flows,,,,0.000
2016,million eur,commitments,other official flows,,,,0.000
2017,million eur,commitments,other official flows,,,,0.000
2018,million eur,commitments,other official flows,,,,373.855
2019,million eur,commitments,other official flows,,,,155.770
2020,million eur,commitments,other official flows,,,,182.196
2021,million eur,commitments,other official flows,,,,52.668
2022,million eur,commitments,other official flows,,,,50.000
2023,million eur,commitments,other official flows,,,,0.000
2024,million eur,commitments,other official flows,,,,0.000
2010,million eur,gross disbursements,other official flows,,,,0.000
2011,million eur,gross disbursements,other official flows,,,,0.000
2012,million eur,gross disbursements,other official flows,,,,0.000
2013,million eur,gross disbursements,other official flows,,,,0.000
2014,million eur,gross disbursements,other official flows,,,,0.000
2015,million eur,gross disbursements,other official flows,,,,0.000
2016,million eur,gross disbursements,other official flows,,,,0.000
2017,million eur,gross disbursements,other official flows,,,,0.000
2018,million eur,gross disbursements,other official flows,,,,373.855
2019,million eur,gross disbursements,other official flows,,,,155.770
2020,million eur,gross disbursements,other official flows,,,,182.196
2021,million eur,gross disbursements,other official flows,,,,52.668
2022,million eur,gross disbursements,other official flows,,,,50.000
2023,million eur,gross disbursements,other official flows,,,,0.000
2024,million eur,gross disbursements,other official flows,,,,0.000
2010,"million usd, constant prices (2024)",commitments,official development assistance,,,,1405.173
2011,"million usd, constant prices (2024)",commitments,official development assistance,,,,1226.298
2012,"million usd, constant prices (2024)",commitments,official development assistance,,,,1106.311
2013,"million usd, constant prices (2024)",commitments,official development assistance,,,,1224.397
2014,"million usd, constant prices (2024)",commitments,official development assistance,,,,1603.408
2015,"million usd, constant prices (2024)",commitments,official development assistance,,,,2229.462
2016,"million usd, constant prices (2024)",commitments,official development assistance,,,,1783.725
2017,"million usd, constant prices (2024)",commitments,official development assistance,,,,2944.007
2018,"million usd, constant prices (2024)",commitments,official development assistance,,,,2339.682
2019,"million usd, constant prices (2024)",commitments,official development assistance,,,,2478.610
2020,"million usd, constant prices (2024)",commitments,official development assistance,,,,3957.389
2021,"million usd, constant prices (2024)",commitments,official development assistance,,,,3658.377
2022,"million usd, constant prices (2024)",commitments,official development assistance,,,,3477.692
2023,"million usd, constant prices (2024)",commitments,official development assistance,,,,3888.109
2024,"million usd, constant prices (2024)",commitments,official development assistance,,,,2717.239
2010,"million usd, constant prices (2024)",gross disbursements,official development assistance,,,,1035.482
2011,"million usd, constant prices (2024)",gross disbursements,official development assistance,,,,1066.543
2012,"million usd, constant prices (2024)",gross disbursements,official development assistance,,,,1110.732
2013,"million usd, constant prices (2024)",gross disbursements,official development assistance,,,,1200.938
2014,"million usd, constant prices (2024)",gross disbursements,official development assistance,,,,1335.452
2015,"million usd, constant prices (2024)",gross disbursements,official development assistance,,,,1839.449
2016,"million usd, constant prices (2024)",gross disbursements,official development assistance,,,,1688.757
2017,"million usd, constant prices (2024)",gross disbursements,official development assistance,,,,2113.054
2018,"million usd, constant prices (2024)",gross disbursements,official development assistance,,,,2398.518
2019,"million usd, constant prices (2024)",gross disbursements,official development assistance,,,,2079.130
2020,"million usd, constant prices (2024)",gross disbursements,official development assistance,,,,2877.684
2021,"million usd, constant prices (2024)",gross disbursements,official development assistance,,,,2992.223
2022,"million usd, constant prices (2024)",gross disbursements,official development assistance,,,,3273.526
2023,"million usd, constant prices (2024)",gross disbursements,official development assistance,,,,2590.122
2024,"million usd, constant prices (2024)",gross disbursements,official development assistance,,,,3780.526
2010,"million usd, constant prices (2024)",commitments,other official flows,,,,0.000
2011,"million usd, constant prices (2024)",commitments,other official flows,,,,0.000
2012,"million usd, constant prices (2024)",commitments,other official flows,,,,0.000
2013,"million usd, constant prices (2024)",commitments,other official flows,,,,0.000
2014,"million usd, constant prices (2024)",commitments,other official flows,,,,0.000
