Year,timeseries,legislation,Value
2010,national legislation and policy relevant to ias,convention on biological diversity,1
2011,national legislation and policy relevant to ias,convention on biological diversity,1
2012,national legislation and policy relevant to ias,convention on biological diversity,1
2013,national legislation and policy relevant to ias,convention on biological diversity,1
2014,national legislation and policy relevant to ias,convention on biological diversity,1
2015,national legislation and policy relevant to ias,convention on biological diversity,1
2016,national legislation and policy relevant to ias,convention on biological diversity,1
2017,national legislation and policy relevant to ias,convention on biological diversity,1
2018,national legislation and policy relevant to ias,convention on biological diversity,1
2019,national legislation and policy relevant to ias,convention on biological diversity,1
2020,national legislation and policy relevant to ias,convention on biological diversity,1
2021,national legislation and policy relevant to ias,convention on biological diversity,1
2022,national legislation and policy relevant to ias,convention on biological diversity,1
2010,national legislation and policy relevant to ias,cartagena protocol,1
2011,national legislation and policy relevant to ias,cartagena protocol,1
2012,national legislation and policy relevant to ias,cartagena protocol,1
2013,national legislation and policy relevant to ias,cartagena protocol,1
2014,national legislation and policy relevant to ias,cartagena protocol,1
2015,national legislation and policy relevant to ias,cartagena protocol,1
2016,national legislation and policy relevant to ias,cartagena protocol,1
2017,national legislation and policy relevant to ias,cartagena protocol,1
2018,national legislation and policy relevant to ias,cartagena protocol,1
2019,national legislation and policy relevant to ias,cartagena protocol,1
2020,national legislation and policy relevant to ias,cartagena protocol,1
2021,national legislation and policy relevant to ias,cartagena protocol,1
2022,national legislation and policy relevant to ias,cartagena protocol,1
2010,national legislation and policy relevant to ias,international plant protection convention,1
2011,national legislation and policy relevant to ias,international plant protection convention,1
2012,national legislation and policy relevant to ias,international plant protection convention,1
2013,national legislation and policy relevant to ias,international plant protection convention,1
2014,national legislation and policy relevant to ias,international plant protection convention,1
2015,national legislation and policy relevant to ias,international plant protection convention,1
2016,national legislation and policy relevant to ias,international plant protection convention,1
2017,national legislation and policy relevant to ias,international plant protection convention,1
2018,national legislation and policy relevant to ias,international plant protection convention,1
2019,national legislation and policy relevant to ias,international plant protection convention,1
2020,national legislation and policy relevant to ias,international plant protection convention,1
2021,national legislation and policy relevant to ias,international plant protection convention,1
2022,national legislation and policy relevant to ias,international plant protection convention,1
2010,national legislation and policy relevant to ias,agreement on sanitary and phytosanitary measures of the world trade organisation,1
2011,national legislation and policy relevant to ias,agreement on sanitary and phytosanitary measures of the world trade organisation,1
2012,national legislation and policy relevant to ias,agreement on sanitary and phytosanitary measures of the world trade organisation,1
2013,national legislation and policy relevant to ias,agreement on sanitary and phytosanitary measures of the world trade organisation,1
2014,national legislation and policy relevant to ias,agreement on sanitary and phytosanitary measures of the world trade organisation,1
2015,national legislation and policy relevant to ias,agreement on sanitary and phytosanitary measures of the world trade organisation,1
2016,national legislation and policy relevant to ias,agreement on sanitary and phytosanitary measures of the world trade organisation,1
2017,national legislation and policy relevant to ias,agreement on sanitary and phytosanitary measures of the world trade organisation,1
2018,national legislation and policy relevant to ias,agreement on sanitary and phytosanitary measures of the world trade organisation,1
2019,national legislation and policy relevant to ias,agreement on sanitary and phytosanitary measures of the world trade organisation,1
2020,national legislation and policy relevant to ias,agreement on sanitary and phytosanitary measures of the world trade organisation,1
2021,national legislation and policy relevant to ias,agreement on sanitary and phytosanitary measures of the world trade organisation,1
2022,national legislation and policy relevant to ias,agreement on sanitary and phytosanitary measures of the world trade organisation,1
2010,national legislation and policy relevant to ias,world organisation for animal health,1
2011,national legislation and policy relevant to ias,world organisation for animal health,1
2012,national legislation and policy relevant to ias,world organisation for animal health,1
2013,national legislation and policy relevant to ias,world organisation for animal health,1
2014,national legislation and policy relevant to ias,world organisation for animal health,1
2015,national legislation and policy relevant to ias,world organisation for animal health,1
2016,national legislation and policy relevant to ias,world organisation for animal health,1
2017,national legislation and policy relevant to ias,world organisation for animal health,1
2018,national legislation and policy relevant to ias,world organisation for animal health,1
2019,national legislation and policy relevant to ias,world organisation for animal health,1
2020,national legislation and policy relevant to ias,world organisation for animal health,1
2021,national legislation and policy relevant to ias,world organisation for animal health,1
2022,national legislation and policy relevant to ias,world organisation for animal health,1
2010,national legislation and policy relevant to ias,convention on international trade in endangered species,1
2011,national legislation and policy relevant to ias,convention on international trade in endangered species,1
2012,national legislation and policy relevant to ias,convention on international trade in endangered species,1
2013,national legislation and policy relevant to ias,convention on international trade in endangered species,1
