Year,substance,???;sex,Value
a) drugs,,,37107
a) drugs,,,36848
a) drugs,,,36166
a) drugs,,,40556
a) drugs,,,49795
a) drugs,,,51919
a) drugs,,,52621
a) drugs,,,51806
a) drugs,,male,26656
a) drugs,,male,26241
a) drugs,,male,25566
a) drugs,,male,29266
a) drugs,,male,36515
a) drugs,,male,38689
a) drugs,,male,39318
a) drugs,,male,38925
a) drugs,,female,10451
a) drugs,,female,10607
a) drugs,,female,10600
a) drugs,,female,11290
a) drugs,,female,13280
a) drugs,,female,13230
a) drugs,,female,13303
a) drugs,,female,12881
b) alcohol and other psychoactive substances (total),,,191512
b) alcohol and other psychoactive substances (total),,,192159
b) alcohol and other psychoactive substances (total),,,195976
b) alcohol and other psychoactive substances (total),,,194412
b) alcohol and other psychoactive substances (total),,,185305
b) alcohol and other psychoactive substances (total),,,176185
b) alcohol and other psychoactive substances (total),,,170467
b) alcohol and other psychoactive substances (total),,,165834
b) alcohol and other psychoactive substances (total),,male,142376
b) alcohol and other psychoactive substances (total),,male,141363
b) alcohol and other psychoactive substances (total),,male,143488
b) alcohol and other psychoactive substances (total),,male,143201
b) alcohol and other psychoactive substances (total),,male,135845
b) alcohol and other psychoactive substances (total),,male,129808
b) alcohol and other psychoactive substances (total),,male,125878
b) alcohol and other psychoactive substances (total),,male,122260
b) alcohol and other psychoactive substances (total),,female,49139
b) alcohol and other psychoactive substances (total),,female,50796
b) alcohol and other psychoactive substances (total),,female,52487
b) alcohol and other psychoactive substances (total),,female,51211
b) alcohol and other psychoactive substances (total),,female,49460
b) alcohol and other psychoactive substances (total),,female,46377
b) alcohol and other psychoactive substances (total),,female,44589
b) alcohol and other psychoactive substances (total),,female,43574
b) alcohol and other psychoactive substances (total),,unknown,1
b) alcohol and other psychoactive substances (total),d) other psychoactive substances,,30660
b) alcohol and other psychoactive substances (total),d) other psychoactive substances,,29170
b) alcohol and other psychoactive substances (total),d) other psychoactive substances,,29104
b) alcohol and other psychoactive substances (total),d) other psychoactive substances,,28500
b) alcohol and other psychoactive substances (total),d) other psychoactive substances,,19932
b) alcohol and other psychoactive substances (total),d) other psychoactive substances,,17871
b) alcohol and other psychoactive substances (total),d) other psychoactive substances,,16235
b) alcohol and other psychoactive substances (total),d) other psychoactive substances,,14343
b) alcohol and other psychoactive substances (total),d) other psychoactive substances,female,7008
b) alcohol and other psychoactive substances (total),d) other psychoactive substances,female,6723
b) alcohol and other psychoactive substances (total),d) other psychoactive substances,female,6790
b) alcohol and other psychoactive substances (total),d) other psychoactive substances,female,6429
b) alcohol and other psychoactive substances (total),d) other psychoactive substances,female,4405
b) alcohol and other psychoactive substances (total),d) other psychoactive substances,female,3859
b) alcohol and other psychoactive substances (total),d) other psychoactive substances,female,3367
b) alcohol and other psychoactive substances (total),d) other psychoactive substances,female,3060
b) alcohol and other psychoactive substances (total),d) other psychoactive substances,male,23652
b) alcohol and other psychoactive substances (total),d) other psychoactive substances,male,22447
b) alcohol and other psychoactive substances (total),d) other psychoactive substances,male,22314
b) alcohol and other psychoactive substances (total),d) other psychoactive substances,male,22071
b) alcohol and other psychoactive substances (total),d) other psychoactive substances,male,15527
b) alcohol and other psychoactive substances (total),d) other psychoactive substances,male,14012
b) alcohol and other psychoactive substances (total),d) other psychoactive substances,male,12868
b) alcohol and other psychoactive substances (total),d) other psychoactive substances,male,11283
b) alcohol and other psychoactive substances (total),d) other psychoactive substances,unknown,1
b) alcohol and other psychoactive substances (total),c) alcohol,,160852
b) alcohol and other psychoactive substances (total),c) alcohol,,162989
b) alcohol and other psychoactive substances (total),c) alcohol,,166872
b) alcohol and other psychoactive substances (total),c) alcohol,,165912
b) alcohol and other psychoactive substances (total),c) alcohol,,165373
b) alcohol and other psychoactive substances (total),c) alcohol,,158314
b) alcohol and other psychoactive substances (total),c) alcohol,,154232
b) alcohol and other psychoactive substances (total),c) alcohol,,151491
b) alcohol and other psychoactive substances (total),c) alcohol,female,42131
b) alcohol and other psychoactive substances (total),c) alcohol,female,44073
b) alcohol and other psychoactive substances (total),c) alcohol,female,45697
b) alcohol and other psychoactive substances (total),c) alcohol,female,44782
b) alcohol and other psychoactive substances (total),c) alcohol,female,45055
b) alcohol and other psychoactive substances (total),c) alcohol,female,42518
b) alcohol and other psychoactive substances (total),c) alcohol,female,41222
b) alcohol and other psychoactive substances (total),c) alcohol,female,40514
b) alcohol and other psychoactive substances (total),c) alcohol,male,118721
b) alcohol and other psychoactive substances (total),c) alcohol,male,118916
b) alcohol and other psychoactive substances (total),c) alcohol,male,121174
b) alcohol and other psychoactive substances (total),c) alcohol,male,121130
b) alcohol and other psychoactive substances (total),c) alcohol,male,120318
b) alcohol and other psychoactive substances (total),c) alcohol,male,115796
b) alcohol and other psychoactive substances (total),c) alcohol,male,113010
b) alcohol and other psychoactive substances (total),c) alcohol,male,110977
